日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,21,阴,西北风,1级,24.5,7
2019-09-02,23,21,阴,东北风,2级,22.0,2
2019-09-03,28,21,阴,东南风,1级,24.5,7
2019-09-04,31,22,晴,东南风,1级,26.5,9
2019-09-05,33,22,多云,西南风,1级,27.5,11
2019-09-06,34,23,晴,西南风,2级,28.5,11
2019-09-07,35,23,晴,东南风,2级,29.0,12
2019-09-08,36,24,晴,东南风,2级,30.0,12
2019-09-09,36,25,多云,东南风,2级,30.5,11
2019-09-10,36,26,多云,西北风,3级,31.0,10
2019-09-11,36,25,晴,西南风,3级,30.5,11
2019-09-12,37,25,晴,东南风,2级,31.0,12
2019-09-13,37,25,晴,东南风,1级,31.0,12
2019-09-14,35,25,晴,西南风,2级,30.0,10
2019-09-15,35,24,晴,西北风,2级,29.5,11
2019-09-16,33,23,多云,西北风,2级,28.0,10
2019-09-17,33,22,晴,东南风,2级,27.5,11
2019-09-18,32,21,晴,西南风,2级,26.5,11
2019-09-19,31,19,晴,东南风,2级,25.0,12
2019-09-20,31,17,多云,西南风,2级,24.0,14
2019-09-21,31,17,多云,东北风,1级,24.0,14
2019-09-22,30,17,晴,东南风,2级,23.5,13
2019-09-23,32,16,晴,西南风,2级,24.0,16
2019-09-24,31,16,多云,东南风,1级,23.5,15
2019-09-25,30,16,晴,西南风,1级,23.0,14
2019-09-26,27,19,阴,东南风,1级,23.0,8
2019-09-27,31,18,多云,东南风,2级,24.5,13
2019-09-28,32,17,晴,东南风,2级,24.5,15
2019-09-29,33,17,晴,东南风,1级,25.0,16
2019-09-30,34,17,晴,东南风,2级,25.5,17
2019-08-01,35,26,多云,东南风,1级,30.5,9
2019-08-02,34,26,阴,东南风,1级,30.0,8
2019-08-03,34,26,多云,东北风,2级,30.0,8
2019-08-04,36,25,多云,东北风,2级,30.5,11
2019-08-05,36,26,多云,东南风,3级,31.0,10
2019-08-06,36,26,多云,东南风,2级,31.0,10
2019-08-07,37,26,多云,西北风,1级,31.5,11
2019-08-08,37,26,多云,东北风,3级,31.5,11
2019-08-09,36,26,多云,西南风,2级,31.0,10
2019-08-10,35,27,多云,西风,3级,31.0,8
2019-08-11,35,26,多云,西南风,2级,30.5,9
2019-08-12,37,25,多云,东南风,2级,31.0,12
2019-08-13,35,26,大雨,西南风,2级,30.5,9
2019-08-14,35,26,小雨,西北风,2级,30.5,9
2019-08-15,35,25,阴,东南风,2级,30.0,10
2019-08-16,36,25,晴,东南风,1级,30.5,11
2019-08-17,37,26,晴,东南风,2级,31.5,11
2019-08-18,36,25,多云,东北风,1级,30.5,11
2019-08-19,36,26,晴,东南风,1级,31.0,10
2019-08-20,37,25,阴,东南风,2级,31.0,12
2019-08-21,37,25,多云,西南风,3级,31.0,12
2019-08-22,36,24,晴,东南风,1级,30.0,12
2019-08-23,35,25,多云,东南风,2级,30.0,10
2019-08-24,36,26,阴,东北风,3级,31.0,10
2019-08-25,35,26,多云,东北风,2级,30.5,9
2019-08-26,34,26,阴,东南风,2级,30.0,8
2019-08-27,36,26,多云,西南风,2级,31.0,10
2019-08-28,35,26,多云,西北风,3级,30.5,9
2019-08-29,31,22,阴,东北风,2级,26.5,9
2019-08-30,29,22,阴,东南风,2级,25.5,7
2019-08-31,33,22,阴,东南风,1级,27.5,11
2019-07-01,31,25,小雨,东南风,1级,28.0,6
2019-07-02,34,26,多云,东南风,3级,30.0,8
2019-07-03,32,25,小雨,东北风,3级,28.5,7
2019-07-04,30,25,小雨,西北风,1级,27.5,5
2019-07-05,30,24,小雨,西南风,1级,27.0,6
2019-07-06,34,25,多云,西南风,2级,29.5,9
2019-07-07,27,22,暴雨,东北风,4级,24.5,5
2019-07-08,22,20,暴雨,东北风,2级,21.0,2
2019-07-09,22,20,大雨,西北风,2级,21.0,2
2019-07-10,29,21,阴,东南风,2级,25.0,8
2019-07-11,32,23,多云,东北风,2级,27.5,9
2019-07-12,28,24,小雨,东北风,1级,26.0,4
2019-07-13,25,23,小雨,西风,1级,24.0,2
2019-07-14,24,22,中雨,东南风,1级,23.0,2
2019-07-15,30,23,阴,东南风,1级,26.5,7
2019-07-16,33,26,小雨,东北风,2级,29.5,7
2019-07-17,34,26,多云,东南风,2级,30.0,8
2019-07-18,35,25,阴,东南风,2级,30.0,10
2019-07-19,31,26,小雨,西南风,1级,28.5,5
2019-07-20,30,26,中雨,西南风,1级,28.0,4
2019-07-21,33,26,多云,东南风,1级,29.5,7
2019-07-22,34,26,阴,东南风,2级,30.0,8
2019-07-23,32,25,中雨,东北风,2级,28.5,7
2019-07-24,34,25,多云,东南风,2级,29.5,9
2019-07-25,36,27,晴,东南风,3级,31.5,9
2019-07-26,36,26,晴,西南风,1级,31.0,10
2019-07-27,37,26,阴,东南风,2级,31.5,11
2019-07-28,35,26,中雨,东南风,微风,30.5,9
2019-07-29,35,26,晴,东北风,1级,30.5,9
2019-07-30,36,26,多云,东南风,2级,31.0,10
2019-07-31,36,26,多云,西北风,2级,31.0,10
2019-06-01,23,20,中雨,东北风,1级,21.5,3
2019-06-02,30,19,多云,西南风,2级,24.5,11
2019-06-03,33,21,晴,东南风,1级,27.0,12
2019-06-04,35,23,晴,东南风,1级,29.0,12
2019-06-05,33,26,阴,东南风,2级,29.5,7
2019-06-06,30,23,阴,西南风,3级,26.5,7
2019-06-07,28,23,阴,东北风,2级,25.5,5
2019-06-08,26,23,阴,西北风,2级,24.5,3
2019-06-09,27,22,阴,东南风,1级,24.5,5
2019-06-10,30,22,阴,东南风,2级,26.0,8
2019-06-11,30,23,阴,东北风,2级,26.5,7
2019-06-12,27,21,中雨,东南风,3级,24.0,6
2019-06-13,22,18,小雨,东南风,1级,20.0,4
2019-06-14,30,19,多云,东南风,2级,24.5,11
2019-06-15,31,20,多云,东南风,2级,25.5,11
2019-06-16,32,23,多云,东南风,2级,27.5,9
2019-06-17,30,23,小雨,东北风,1级,26.5,7
2019-06-18,34,25,中雨,西南风,2级,29.5,9
2019-06-19,34,26,阴,东南风,2级,30.0,8
2019-06-20,36,27,多云,东北风,1级,31.5,9
2019-06-21,31,25,阴,西南风,1级,28.0,6
2019-06-22,25,22,大雨,东北风,3级,23.5,3
2019-06-23,24,21,阴,东南风,2级,22.5,3
2019-06-24,26,22,阴,西北风,1级,24.0,4
2019-06-25,29,22,多云,西南风,1级,25.5,7
2019-06-26,31,24,多云,东南风,2级,27.5,7
2019-06-27,34,25,多云,东南风,3级,29.5,9
2019-06-28,36,27,阴,东南风,1级,31.5,9
2019-06-29,35,25,阴,西北风,3级,30.0,10
2019-06-30,33,25,多云,西北风,2级,29.0,8
2019-05-01,24,14,多云,东南风,1级,19.0,10
2019-05-02,22,14,多云,东南风,1级,18.0,8
2019-05-03,27,16,晴,东南风,2级,21.5,11
2019-05-04,26,19,阴,东南风,1级,22.5,7
2019-05-05,20,16,阴,东北风,3级,18.0,4
2019-05-06,19,14,阴,东北风,4级,16.5,5
2019-05-07,17,13,阴,东南风,3级,15.0,4
2019-05-08,20,13,阴,西风,1级,16.5,7
2019-05-09,25,17,多云,西南风,1级,21.0,8
2019-05-10,29,18,多云,东南风,3级,23.5,11
2019-05-11,30,18,多云,东南风,1级,24.0,12
2019-05-12,29,20,阴,东北风,3级,24.5,9
2019-05-13,20,18,阴,西北风,1级,19.0,2
2019-05-14,24,21,阴,东北风,2级,22.5,3
2019-05-15,27,21,阴,西北风,2级,24.0,6
2019-05-16,26,22,阴,东北风,2级,24.0,4
2019-05-17,27,21,阴,西南风,2级,24.0,6
2019-05-18,27,23,阴,东北风,2级,25.0,4
2019-05-19,26,19,阴,东南风,1级,22.5,7
2019-05-20,23,16,阴,西南风,2级,19.5,7
2019-05-21,24,18,多云,西南风,1级,21.0,6
2019-05-22,28,18,多云,西南风,2级,23.0,10
2019-05-23,30,20,晴,东南风,2级,25.0,10
2019-05-24,31,23,阴,东南风,2级,27.0,8
2019-05-25,29,23,阴,东南风,2级,26.0,6
2019-05-26,30,23,阴,东北风,2级,26.5,7
2019-05-27,26,21,阴,东南风,1级,23.5,5
2019-05-28,23,17,多云,东南风,2级,20.0,6
2019-05-29,26,19,晴,东南风,2级,22.5,7
2019-05-30,24,21,阴,西北风,2级,22.5,3
2019-05-31,22,20,阴,东南风,1级,21.0,2
2019-04-01,19,12,多云,东南风,2级,15.5,7
2019-04-02,12,11,阴,东北风,2级,11.5,1
2019-04-03,13,12,阴,西南风,1级,12.5,1
2019-04-04,15,12,阴,西南风,1级,13.5,3
2019-04-05,24,13,多云,西南风,2级,18.5,11
2019-04-06,28,15,多云,西南风,1级,21.5,13
2019-04-07,33,18,晴,东南风,1级,25.5,15
2019-04-08,33,19,晴,东南风,4级,26.0,14
2019-04-09,34,12,多云,西北风,6级,23.0,22
2019-04-10,12,11,阴,东南风,2级,11.5,1
2019-04-11,17,9,阴,东北风,2级,13.0,8
2019-04-12,17,14,阴,东北风,3级,15.5,3
2019-04-13,17,14,阴,东北风,1级,15.5,3
2019-04-14,18,14,阴,东北风,2级,16.0,4
2019-04-15,21,15,阴,东南风,1级,18.0,6
2019-04-16,22,13,阴,西南风,1级,17.5,9
2019-04-17,26,16,多云,东南风,4级,21.0,10
2019-04-18,25,20,阴,东北风,3级,22.5,5
2019-04-19,24,20,阴,东南风,2级,22.0,4
2019-04-20,25,21,阴,东北风,1级,23.0,4
2019-04-21,27,20,阴,西北风,4级,23.5,7
2019-04-22,24,20,阴,东南风,1级,22.0,4
2019-04-23,26,20,阴,西南风,1级,23.0,6
2019-04-24,29,20,阴,西南风,1级,24.5,9
2019-04-25,30,20,阴,西南风,1级,25.0,10
2019-04-26,30,19,阴,东北风,1级,24.5,11
2019-04-27,18,17,阴,东北风,1级,17.5,1
2019-04-28,20,17,阴,东北风,3级,18.5,3
2019-04-29,16,14,阴,西北风,3级,15.0,2
2019-04-30,16,14,阴,西北风,3级,15.0,2
2019-03-01,9,9,阴,东南风,2级,9.0,0
2019-03-02,9,7,阴,西南风,3级,8.0,2
2019-03-03,14,4,多云,西南风,1级,9.0,10
2019-03-04,18,4,阴,东北风,4级,11.0,14
2019-03-05,12,8,阴,西北风,4级,10.0,4
2019-03-06,12,8,阴,东南风,1级,10.0,4
2019-03-07,12,7,阴,东北风,1级,9.5,5
2019-03-08,9,7,阴,东北风,1级,8.0,2
2019-03-09,11,7,阴,西南风,3级,9.0,4
2019-03-10,18,8,阴,西南风,2级,13.0,10
2019-03-11,23,7,晴,西南风,2级,15.0,16
2019-03-12,24,10,多云,东南风,2级,17.0,14
2019-03-13,19,12,阴,东北风,2级,15.5,7
2019-03-14,18,11,阴,西南风,1级,14.5,7
2019-03-15,21,11,多云,西南风,2级,16.0,10
2019-03-16,15,11,阴,东南风,2级,13.0,4
2019-03-17,13,10,阴,东南风,2级,11.5,3
2019-03-18,20,11,多云,东南风,1级,15.5,9
2019-03-19,22,18,多云,东北风,2级,20.0,4
2019-03-20,32,20,阴,东北风,1级,26.0,12
2019-03-21,21,13,阴,东北风,1级,17.0,8
2019-03-22,10,9,阴,西北风,2级,9.5,1
2019-03-23,10,6,阴,东南风,1级,8.0,4
2019-03-24,11,8,阴,西南风,1级,9.5,3
2019-03-25,20,8,多云,东北风,3级,14.0,12
2019-03-26,13,12,阴,东南风,2级,12.5,1
2019-03-27,22,16,阴,东北风,1级,19.0,6
2019-03-28,17,14,阴,西南风,2级,15.5,3
2019-03-29,18,11,阴,东南风,1级,14.5,7
2019-03-30,24,10,阴,东风,3级,17.0,14
2019-03-31,14,9,阴,东南风,2级,11.5,5
2019-02-01,7,3,多云,东北风,3级,5.0,4
2019-02-02,20,12,多云,东北风,2级,16.0,8
