日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-03,32,20,晴,东南风,2级,26.0,12
2019-09-04,31,20,晴,西南风,2级,25.5,11
2019-09-05,31,20,晴,西南风,1级,25.5,11
2019-09-06,32,20,晴,西南风,1级,26.0,12
2019-09-07,34,20,晴,西南风,2级,27.0,14
2019-09-08,35,21,晴,东南风,2级,28.0,14
2019-09-09,33,21,多云,东南风,2级,27.0,12
2019-09-10,20,18,阴,西北风,2级,19.0,2
2019-09-11,20,17,阴,西北风,2级,18.5,3
2019-09-12,20,16,阴,西南风,1级,18.0,4
2019-09-13,27,18,阴,西南风,1级,22.5,9
2019-09-14,27,18,多云,东南风,微风,22.5,9
2019-09-15,29,17,多云,东南风,2级,23.0,12
2019-09-16,27,18,阴,东南风,2级,22.5,9
2019-09-17,27,17,多云,西北风,3级,22.0,10
2019-09-18,26,17,晴,西南风,1级,21.5,9
2019-09-20,22,17,阴,东北风,2级,19.5,5
2019-09-21,28,17,多云,西北风,2级,22.5,11
2019-09-22,27,18,晴,西南风,2级,22.5,9
2019-09-23,30,19,多云,西北风,1级,24.5,11
2019-09-24,32,17,晴,西北风,2级,24.5,15
2019-09-26,30,17,多云,西南风,2级,23.5,13
2019-09-27,28,18,晴,东北风,1级,23.0,10
2019-09-28,30,17,多云,东南风,2级,23.5,13
2019-09-29,30,18,晴,东南风,2级,24.0,12
2019-08-02,29,23,阴,东南风,1级,26.0,6
2019-08-03,28,22,阴,东北风,1级,25.0,6
2019-08-04,25,22,暴雨,东南风,2级,23.5,3
2019-08-05,28,23,小雨,西北风,1级,25.5,5
2019-08-06,31,23,阴,东南风,2级,27.0,8
2019-08-07,31,24,多云,东南风,1级,27.5,7
2019-08-08,32,24,阴,东南风,1级,28.0,8
2019-08-09,31,23,阴,西北风,2级,27.0,8
2019-08-11,28,23,阴,西北风,2级,25.5,5
2019-08-12,32,23,阴,西南风,1级,27.5,9
2019-08-13,30,23,阴,西南风,1级,26.5,7
2019-08-14,34,24,多云,东南风,2级,29.0,10
2019-08-15,33,22,晴,东北风,4级,27.5,11
2019-08-16,30,21,晴,东南风,微风,25.5,9
2019-08-17,32,21,晴,西南风,2级,26.5,11
2019-08-18,33,22,晴,东南风,3级,27.5,11
2019-08-19,32,22,多云,东南风,3级,27.0,10
2019-08-20,28,22,小雨,西北风,2级,25.0,6
2019-08-21,33,21,晴,西南风,2级,27.0,12
2019-08-23,34,22,多云,东南风,2级,28.0,12
2019-08-24,22,19,小雨,东北风,1级,20.5,3
2019-08-25,26,20,阴,东南风,2级,23.0,6
2019-08-29,32,20,晴,西北风,1级,26.0,12
2019-08-30,32,19,晴,东南风,1级,25.5,13
2019-08-31,33,19,晴,东南风,2级,26.0,14
2019-07-01,35,24,晴,东南风,2级,29.5,11
2019-07-02,37,24,多云,西南风,2级,30.5,13
2019-07-03,36,24,晴,西南风,2级,30.0,12
2019-07-04,37,27,多云,西北风,1级,32.0,10
2019-07-05,36,22,阴,东北风,1级,29.0,14
2019-07-06,29,20,多云,东南风,3级,24.5,9
2019-07-07,28,22,多云,东北风,2级,25.0,6
2019-07-10,27,20,阴,西南风,微风,23.5,7
2019-07-11,29,21,多云,东南风,2级,25.0,8
2019-07-12,34,22,晴,东南风,1级,28.0,12
2019-07-13,36,24,晴,东北风,3级,30.0,12
2019-07-14,33,25,多云,东北风,2级,29.0,8
2019-07-15,34,25,多云,东南风,1级,29.5,9
2019-07-16,29,24,阴,东北风,1级,26.5,5
2019-07-17,31,24,阴,东南风,2级,27.5,7
2019-07-18,32,24,阴,西南风,1级,28.0,8
2019-07-20,28,24,中雨,东南风,2级,26.0,4
2019-07-21,35,27,多云,东南风,1级,31.0,8
2019-07-22,29,25,中雨,西北风,1级,27.0,4
2019-07-23,36,25,晴,东南风,3级,30.5,11
2019-07-24,36,26,多云,西北风,2级,31.0,10
2019-07-25,37,26,多云,东南风,3级,31.5,11
2019-07-26,37,26,晴,东南风,3级,31.5,11
2019-07-27,35,26,多云,东南风,3级,30.5,9
2019-07-28,36,26,阴,东南风,3级,31.0,10
2019-07-29,27,22,大雨,东北风,1级,24.5,5
2019-07-30,34,24,阴,东南风,2级,29.0,10
2019-07-31,34,26,晴,西南风,1级,30.0,8
2019-06-01,31,19,多云,东南风,2级,25.0,12
2019-06-02,34,22,晴,东南风,1级,28.0,12
2019-06-03,34,22,晴,南风,2级,28.0,12
2019-06-04,25,22,多云,东北风,3级,23.5,3
2019-06-05,23,20,阴,东北风,2级,21.5,3
2019-06-06,22,18,阴,东北风,2级,20.0,4
2019-06-07,29,22,阴,西南风,3级,25.5,7
2019-06-08,34,21,晴,东南风,2级,27.5,13
2019-06-10,33,21,晴,东南风,3级,27.0,12
2019-06-11,35,25,晴,东南风,4级,30.0,10
2019-06-15,32,22,多云,东北风,3级,27.0,10
2019-06-16,24,20,阴,东北风,2级,22.0,4
2019-06-17,32,24,多云,西北风,2级,28.0,8
2019-06-18,37,25,晴,东北风,2级,31.0,12
2019-06-20,32,25,阴,东南风,2级,28.5,7
2019-06-22,33,24,多云,东南风,2级,28.5,9
2019-06-23,37,25,阴,东南风,3级,31.0,12
2019-06-24,37,25,多云,东南风,4级,31.0,12
2019-06-25,36,24,阴,东南风,4级,30.0,12
2019-06-26,34,24,多云,东南风,2级,29.0,10
2019-06-27,35,23,阴,东南风,2级,29.0,12
2019-06-28,32,23,阴,东南风,3级,27.5,9
2019-06-29,36,24,晴,东北风,5级,30.0,12
2019-06-30,35,22,晴,东南风,3级,28.5,13
2019-05-02,28,14,晴,东南风,3级,21.0,14
2019-05-03,27,15,多云,东南风,3级,21.0,12
2019-05-04,27,17,多云,东南风,3级,22.0,10
2019-05-05,23,11,阴,东南风,4级,17.0,12
2019-05-06,22,11,阴,东南风,3级,16.5,11
2019-05-08,26,15,阴,西北风,4级,20.5,11
2019-05-09,29,16,多云,东南风,3级,22.5,13
2019-05-10,28,15,多云,西南风,2级,21.5,13
2019-05-13,24,14,晴,东南风,3级,19.0,10
2019-05-14,24,15,多云,西南风,1级,19.5,9
2019-05-15,30,18,阴,东南风,4级,24.0,12
2019-05-17,33,20,多云,东南风,5级,26.5,13
2019-05-18,25,19,阴,东南风,3级,22.0,6
2019-05-19,25,15,多云,西北风,4级,20.0,10
2019-05-20,29,17,晴,西南风,1级,23.0,12
2019-05-21,32,18,晴,南风,3级,25.0,14
2019-05-22,38,24,晴,东南风,3级,31.0,14
2019-05-23,38,24,晴,东南风,3级,31.0,14
2019-05-24,33,22,阴,东南风,3级,27.5,11
2019-05-26,32,19,阴,东北风,2级,25.5,13
2019-05-27,29,18,晴,东南风,3级,23.5,11
2019-05-28,32,19,晴,东南风,3级,25.5,13
2019-05-29,33,20,晴,东南风,5级,26.5,13
2019-05-30,32,17,多云,东南风,3级,24.5,15
