日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,13,晴,东北风,1级,20.5,15
2019-09-02,28,13,晴,东北风,1级,20.5,15
2019-09-03,28,12,晴,东北风,2级,20.0,16
2019-09-04,30,17,多云,东北风,2级,23.5,13
2019-09-05,29,18,阴,东北风,1级,23.5,11
2019-09-06,26,18,阴,东北风,2级,22.0,8
2019-09-07,22,18,阴,东北风,5级,20.0,4
2019-09-08,27,12,阴,东北风,2级,19.5,15
2019-09-09,27,14,晴,东北风,2级,20.5,13
2019-09-10,21,7,阴,东北风,2级,14.0,14
2019-09-11,23,8,晴,东南风,1级,15.5,15
2019-09-12,22,13,阴,东北风,1级,17.5,9
2019-09-13,19,12,阴,西北风,3级,15.5,7
2019-09-14,23,7,晴,东北风,1级,15.0,16
2019-09-15,25,8,阴,西南风,1级,16.5,17
2019-09-16,20,3,晴,东北风,1级,11.5,17
2019-09-17,23,4,多云,西北风,6级,13.5,19
2019-09-18,17,2,晴,东北风,1级,9.5,15
2019-09-19,23,7,阴,东北风,1级,15.0,16
2019-09-20,23,6,多云,东北风,2级,14.5,17
2019-09-21,22,5,晴,东北风,2级,13.5,17
2019-09-22,22,5,晴,东北风,2级,13.5,17
2019-09-23,24,5,晴,东北风,1级,14.5,19
2019-09-24,23,4,晴,东北风,1级,13.5,19
2019-09-25,27,8,晴,东北风,1级,17.5,19
2019-09-26,28,8,晴,东北风,1级,18.0,20
2019-09-27,28,8,多云,东北风,1级,18.0,20
2019-09-28,25,8,晴,西南风,1级,16.5,17
2019-09-29,24,8,多云,东北风,1级,16.0,16
2019-09-30,27,11,阴,西北风,1级,19.0,16
2019-08-01,29,21,多云,东南风,1级,25.0,8
2019-08-02,32,20,阴,东南风,2级,26.0,12
2019-08-03,22,19,暴雨,东南风,2级,20.5,3
2019-08-04,28,19,阴,东北风,1级,23.5,9
2019-08-05,30,21,多云,东北风,1级,25.5,9
2019-08-06,29,22,小雨,东北风,2级,25.5,7
2019-08-07,31,21,阴,东南风,4级,26.0,10
2019-08-08,26,20,小雨,西北风,1级,23.0,6
2019-08-09,29,20,多云,东北风,2级,24.5,9
2019-08-10,29,21,小雨,东南风,1级,25.0,8
2019-08-11,23,21,中雨,东北风,2级,22.0,2
2019-08-12,25,20,小雨,东北风,2级,22.5,5
2019-08-13,30,21,小雨,东南风,1级,25.5,9
2019-08-14,23,20,暴雨,东南风,1级,21.5,3
2019-08-15,22,19,中雨,东北风,2级,20.5,3
2019-08-16,24,17,小雨,西北风,2级,20.5,7
2019-08-17,21,16,暴雨,东南风,1级,18.5,5
2019-08-18,26,14,阴,东北风,1级,20.0,12
2019-08-19,29,14,阴,东北风,2级,21.5,15
2019-08-20,26,19,多云,东北风,2级,22.5,7
2019-08-21,25,14,多云,东北风,1级,19.5,11
2019-08-22,24,14,多云,东北风,1级,19.0,10
2019-08-23,23,14,多云,西风,1级,18.5,9
2019-08-24,24,13,多云,东北风,2级,18.5,11
2019-08-25,27,16,晴,东北风,2级,21.5,11
2019-08-26,26,16,多云,东南风,2级,21.0,10
2019-08-27,27,16,阴,东北风,2级,21.5,11
2019-08-28,26,13,阴,东南风,1级,19.5,13
2019-08-29,20,13,小雨,西南风,1级,16.5,7
2019-08-30,23,13,阴,西南风,2级,18.0,10
2019-08-31,26,13,多云,东北风,1级,19.5,13
2019-07-01,22,14,小雨,北风,微风,18.0,8
2019-07-02,30,16,多云,西南风,3级,23.0,14
2019-07-03,30,17,多云,东南风,2级,23.5,13
2019-07-04,32,18,晴,西南风,1级,25.0,14
2019-07-05,29,19,阴,东北风,2级,24.0,10
2019-07-06,33,18,多云,东北风,2级,25.5,15
2019-07-07,29,17,雷阵雨,东北风,3级,23.0,12
2019-07-08,31,17,多云,东北风,2级,24.0,14
2019-07-09,32,18,多云,东北风,2级,25.0,14
2019-07-10,31,18,阴,西北风,4级,24.5,13
2019-07-11,27,18,多云,东北风,2级,22.5,9
2019-07-12,29,17,小雨,东北风,2级,23.0,12
2019-07-13,25,18,小雨,东北风,2级,21.5,7
2019-07-14,28,18,小雨,东北风,1级,23.0,10
2019-07-15,28,17,阴,东北风,1级,22.5,11
2019-07-16,30,18,多云,西南风,1级,24.0,12
2019-07-17,29,18,阴,东南风,1级,23.5,11
2019-07-18,29,19,阴,东北风,1级,24.0,10
2019-07-19,32,20,多云,东北风,2级,26.0,12
2019-07-20,35,22,多云,西南风,1级,28.5,13
2019-07-21,23,19,大雨,东南风,1级,21.0,4
2019-07-22,32,23,晴,东北风,1级,27.5,9
2019-07-23,28,21,阴,东南风,1级,24.5,7
2019-07-24,32,24,阴,东南风,1级,28.0,8
2019-07-25,28,21,阴,东南风,1级,24.5,7
2019-07-26,31,21,多云,东北风,2级,26.0,10
2019-07-27,32,21,多云,西南风,2级,26.5,11
2019-07-28,33,22,晴,东北风,1级,27.5,11
2019-07-29,32,23,阴,东北风,1级,27.5,9
2019-07-30,31,21,小雨,东北风,1级,26.0,10
2019-07-31,32,20,多云,西南风,2级,26.0,12
2019-06-01,26,13,晴,南风,微风,19.5,13
2019-06-02,28,13,阴,东南风,2级,20.5,15
2019-06-03,21,12,阴,东北风,1级,16.5,9
2019-06-04,25,13,阴,东北风,1级,19.0,12
2019-06-05,27,13,阴,东北风,1级,20.0,14
2019-06-06,29,14,阴,东北风,2级,21.5,15
2019-06-07,31,16,多云,西北风,2级,23.5,15
2019-06-08,24,16,阴,东南风,3级,20.0,8
2019-06-09,22,11,阴,东北风,1级,16.5,11
2019-06-10,24,14,阴,东南风,1级,19.0,10
2019-06-11,25,14,阴,东北风,2级,19.5,11
2019-06-12,29,16,晴,西南风,1级,22.5,13
2019-06-13,24,16,小雨,东南风,3级,20.0,8
2019-06-14,25,11,阴,西北风,2级,18.0,14
2019-06-15,17,9,小雨,东北风,4级,13.0,8
2019-06-16,20,11,晴,东北风,2级,15.5,9
2019-06-17,24,13,多云,东北风,2级,18.5,11
2019-06-18,28,13,多云,西南风,3级,20.5,15
2019-06-19,30,15,晴,西南风,2级,22.5,15
2019-06-20,25,12,阴,东北风,2级,18.5,13
2019-06-21,24,11,晴,东北风,3级,17.5,13
2019-06-22,25,11,小雨,东北风,2级,18.0,14
2019-06-23,29,13,晴,东北风,2级,21.0,16
2019-06-24,32,17,晴,西北风,微风,24.5,15
2019-06-25,32,16,多云,西南风,4级,24.0,16
