日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,22,17,阴,东南风,3级,19.5,5
2019-09-02,19,16,阴,东北风,3级,17.5,3
2019-09-03,24,16,阵雨,东南风,3级,20.0,8
2019-09-04,24,16,多云,东南风,2级,20.0,8
2019-09-05,20,17,阴,东南风,1级,18.5,3
2019-09-06,24,18,阴,东北风,1级,21.0,6
2019-09-07,26,18,多云,西南风,2级,22.0,8
2019-09-08,24,18,多云,西南风,2级,21.0,6
2019-09-09,23,17,阴,东南风,3级,20.0,6
2019-09-10,23,18,阴,东北风,2级,20.5,5
2019-09-11,22,17,阴,南风,微风,19.5,5
2019-09-12,22,18,阴,西南风,1级,20.0,4
2019-09-13,26,18,多云,西南风,2级,22.0,8
2019-09-14,26,16,多云,西南风,1级,21.0,10
2019-09-15,25,16,阴,西南风,3级,20.5,9
2019-09-16,25,16,多云,西南风,1级,20.5,9
2019-09-17,26,16,多云,西南风,1级,21.0,10
2019-09-18,25,15,多云,东北风,3级,20.0,10
2019-09-19,23,15,阴,西南风,2级,19.0,8
2019-09-20,19,14,阴,东北风,4级,16.5,5
2019-09-21,17,14,阴,东北风,3级,15.5,3
2019-09-22,21,12,多云,东南风,2级,16.5,9
2019-09-23,19,12,阴,西北风,微风,15.5,7
2019-09-24,19,12,阴,东南风,3级,15.5,7
2019-09-25,17,14,阴,东北风,3级,15.5,3
2019-09-26,18,13,阴,东南风,微风,15.5,5
2019-09-27,20,12,多云,西南风,1级,16.0,8
2019-09-28,22,11,多云,西南风,1级,16.5,11
2019-09-29,24,14,晴,西南风,2级,19.0,10
2019-09-30,25,14,多云,西南风,1级,19.5,11
2019-08-01,26,18,阴,东南风,3级,22.0,8
2019-08-02,28,17,多云,东北风,1级,22.5,11
2019-08-03,25,17,中雨,东南风,2级,21.0,8
2019-08-04,24,18,阴,东南风,3级,21.0,6
2019-08-05,22,18,阴,东南风,2级,20.0,4
2019-08-06,26,17,小雨,东南风,3级,21.5,9
2019-08-07,23,17,小雨,东南风,1级,20.0,6
2019-08-08,25,17,阴,东南风,2级,21.0,8
2019-08-09,26,17,阴,西南风,3级,21.5,9
2019-08-10,25,18,多云,西南风,1级,21.5,7
2019-08-11,28,18,多云,西南风,1级,23.0,10
2019-08-12,29,17,多云,西南风,2级,23.0,12
2019-08-13,29,17,阴,东南风,2级,23.0,12
2019-08-14,26,17,阴,东北风,3级,21.5,9
2019-08-15,27,18,阴,西南风,2级,22.5,9
2019-08-16,28,17,阴,西南风,1级,22.5,11
