日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,22,多云,西南风,4级,24.5,5
2019-09-02,27,21,晴,西南风,4级,24.0,6
2019-09-03,28,19,晴,西南风,1级,23.5,9
2019-09-04,28,20,多云,东北风,3级,24.0,8
2019-09-05,25,21,阴,西南风,2级,23.0,4
2019-09-06,26,20,多云,东南风,1级,23.0,6
2019-09-07,24,21,阴,西北风,3级,22.5,3
2019-09-08,27,19,晴,东南风,1级,23.0,8
2019-09-09,26,19,晴,东北风,3级,22.5,7
2019-09-10,21,14,阴,东北风,3级,17.5,7
2019-09-11,24,14,多云,东北风,3级,19.0,10
2019-09-12,23,19,阴,东南风,1级,21.0,4
2019-09-13,21,16,阴,东北风,3级,18.5,5
2019-09-14,24,15,多云,东南风,1级,19.5,9
2019-09-15,24,15,晴,西南风,3级,19.5,9
2019-09-16,21,10,晴,东北风,3级,15.5,11
2019-09-17,22,10,阴,东北风,4级,16.0,12
2019-09-18,19,13,晴,西南风,2级,16.0,6
2019-09-19,21,17,阴,南风,3级,19.0,4
2019-09-20,24,14,阴,南风,微风,19.0,10
2019-09-21,24,13,多云,东北风,3级,18.5,11
2019-09-22,23,11,晴,东北风,3级,17.0,12
2019-09-23,24,14,晴,西南风,1级,19.0,10
2019-09-24,25,11,晴,北风,微风,18.0,14
2019-09-25,24,15,晴,西南风,2级,19.5,9
2019-09-26,23,15,晴,东南风,1级,19.0,8
2019-09-27,24,16,晴,西南风,2级,20.0,8
2019-09-28,25,18,晴,西南风,4级,21.5,7
2019-09-29,24,17,晴,西南风,1级,20.5,7
2019-09-30,27,18,晴,西南风,4级,22.5,9
2019-08-01,32,25,多云,西南风,3级,28.5,7
2019-08-02,29,23,小雨,东南风,3级,26.0,6
2019-08-03,27,24,阴,西北风,3级,25.5,3
2019-08-04,29,24,多云,东南风,1级,26.5,5
2019-08-05,29,25,小雨,东南风,1级,27.0,4
2019-08-06,29,24,阴,西北风,3级,26.5,5
2019-08-07,29,25,阴,西北风,3级,27.0,4
2019-08-08,28,24,小雨,西南风,1级,26.0,4
2019-08-09,29,24,多云,西南风,1级,26.5,5
2019-08-10,30,24,阴,东南风,2级,27.0,6
2019-08-11,23,23,中雨,东北风,4级,23.0,0
2019-08-12,28,22,小雨,东北风,3级,25.0,6
2019-08-13,24,23,中雨,东南风,1级,23.5,1
2019-08-14,22,20,小雨,东北风,3级,21.0,2
2019-08-15,28,20,小雨,西北风,2级,24.0,8
2019-08-16,28,20,多云,西北风,2级,24.0,8
2019-08-17,26,20,阴,西南风,1级,23.0,6
2019-08-18,27,20,多云,西南风,1级,23.5,7
2019-08-19,29,21,多云,东南风,1级,25.0,8
2019-08-20,29,24,阴,西南风,3级,26.5,5
2019-08-21,28,22,多云,西南风,2级,25.0,6
2019-08-22,27,20,多云,西南风,3级,23.5,7
2019-08-23,27,18,晴,东北风,2级,22.5,9
2019-08-24,27,19,阴,东北风,1级,23.0,8
2019-08-25,28,22,晴,西南风,3级,25.0,6
2019-08-26,27,21,阴,东南风,2级,24.0,6
2019-08-27,27,21,多云,西南风,2级,24.0,6
2019-08-28,26,17,多云,东北风,3级,21.5,9
2019-08-29,23,17,多云,西北风,1级,20.0,6
2019-08-30,26,18,多云,东南风,1级,22.0,8
2019-08-31,27,20,晴,西南风,2级,23.5,7
2019-07-01,28,20,晴,西南风,3级,24.0,8
2019-07-02,26,22,阴,南风,1级,24.0,4
2019-07-03,28,21,晴,西南风,4级,24.5,7
2019-07-04,31,24,多云,西南风,3级,27.5,7
2019-07-05,32,22,阴,东南风,3级,27.0,10
2019-07-06,29,21,小雨,东南风,2级,25.0,8
2019-07-07,28,22,多云,西北风,1级,25.0,6
2019-07-08,29,21,多云,东南风,2级,25.0,8
2019-07-09,29,21,阴,西北风,2级,25.0,8
2019-07-10,28,21,多云,西南风,2级,24.5,7
2019-07-11,27,21,多云,西南风,3级,24.0,6
2019-07-12,27,22,多云,西南风,2级,24.5,5
2019-07-13,27,21,多云,东南风,1级,24.0,6
2019-07-14,27,21,大雨,西北风,1级,24.0,6
2019-07-15,27,22,多云,西南风,2级,24.5,5
2019-07-16,27,23,多云,西南风,3级,25.0,4
2019-07-17,28,23,阴,西南风,3级,25.5,5
2019-07-18,28,23,多云,西南风,3级,25.5,5
2019-07-19,29,23,晴,西南风,2级,26.0,6
2019-07-20,30,25,多云,西南风,3级,27.5,5
2019-07-21,32,25,阴,西南风,3级,28.5,7
2019-07-22,33,27,多云,西南风,4级,30.0,6
2019-07-23,30,26,小雨,西南风,2级,28.0,4
2019-07-24,30,27,晴,西南风,3级,28.5,3
2019-07-25,31,26,阴,西南风,4级,28.5,5
2019-07-26,30,25,晴,西南风,2级,27.5,5
2019-07-27,33,25,晴,西南风,3级,29.0,8
2019-07-28,31,27,阴,西南风,3级,29.0,4
2019-07-29,33,25,阴,东南风,4级,29.0,8
2019-07-30,29,26,小雨,西南风,5级,27.5,3
2019-07-31,30,26,多云,西南风,2级,28.0,4
2019-06-01,22,19,阴,西南风,3级,20.5,3
2019-06-02,27,19,多云,东南风,3级,23.0,8
2019-06-03,25,16,阴,东北风,3级,20.5,9
2019-06-04,25,18,多云,西北风,2级,21.5,7
2019-06-05,24,18,多云,西南风,1级,21.0,6
2019-06-06,24,18,阴,西南风,2级,21.0,6
2019-06-07,23,19,晴,西南风,4级,21.0,4
2019-06-08,26,17,阴,西南风,3级,21.5,9
2019-06-09,22,15,阴,东北风,2级,18.5,7
2019-06-10,22,17,多云,西南风,1级,19.5,5
2019-06-11,21,18,多云,西南风,3级,19.5,3
2019-06-12,26,20,多云,东南风,2级,23.0,6
2019-06-13,24,19,小雨,东南风,4级,21.5,5
2019-06-14,24,17,阴,东北风,3级,20.5,7
2019-06-15,23,15,多云,东北风,5级,19.0,8
2019-06-16,24,17,多云,东北风,2级,20.5,7
2019-06-17,25,19,多云,西南风,3级,22.0,6
2019-06-18,27,19,阴,东南风,3级,23.0,8
2019-06-19,24,20,多云,西南风,3级,22.0,4
2019-06-20,28,19,多云,西北风,3级,23.5,9
2019-06-21,27,17,晴,东北风,3级,22.0,10
2019-06-22,28,18,晴,东北风,3级,23.0,10
2019-06-23,30,20,晴,西南风,2级,25.0,10
2019-06-24,29,21,多云,东南风,3级,25.0,8
2019-06-25,28,22,多云,东南风,4级,25.0,6
2019-06-26,28,21,多云,西南风,3级,24.5,7
2019-06-27,28,22,多云,西南风,2级,25.0,6
2019-06-28,25,22,阴,西南风,3级,23.5,3
2019-06-29,25,18,小雨,西北风,2级,21.5,7
2019-06-30,26,17,晴,西北风,3级,21.5,9
2019-05-01,22,10,晴,西北风,1级,16.0,12
2019-05-02,22,12,晴,东南风,3级,17.0,10
2019-05-03,22,16,晴,西南风,4级,19.0,6
2019-05-04,23,12,阴,西南风,5级,17.5,11
2019-05-05,16,7,阴,东北风,3级,11.5,9
2019-05-06,21,10,晴,西南风,4级,15.5,11
2019-05-07,22,16,晴,西南风,4级,19.0,6
2019-05-08,17,13,阴,西南风,5级,15.0,4
2019-05-09,23,15,晴,西南风,3级,19.0,8
2019-05-10,25,13,多云,西南风,2级,19.0,12
2019-05-11,23,13,晴,西南风,3级,18.0,10
2019-05-12,26,13,多云,东南风,5级,19.5,13
2019-05-13,17,12,晴,南风,4级,14.5,5
2019-05-14,21,15,晴,南风,2级,18.0,6
2019-05-15,24,15,多云,东南风,3级,19.5,9
2019-05-16,23,18,晴,西南风,4级,20.5,5
2019-05-17,24,16,晴,东南风,3级,20.0,8
2019-05-18,22,17,晴,东南风,1级,19.5,5
2019-05-19,21,12,阴,西南风,3级,16.5,9
2019-05-20,20,13,多云,西北风,2级,16.5,7
2019-05-21,23,14,晴,西南风,2级,18.5,9
2019-05-22,27,16,晴,西南风,2级,21.5,11
2019-05-23,31,20,晴,西南风,4级,25.5,11
2019-05-24,32,22,多云,西南风,4级,27.0,10
2019-05-25,32,18,多云,东南风,5级,25.0,14
2019-05-26,24,11,阴,西南风,5级,17.5,13
2019-05-27,22,14,阴,西南风,2级,18.0,8
2019-05-28,26,14,晴,西北风,1级,20.0,12
2019-05-29,24,19,阴,西南风,3级,21.5,5
2019-05-30,23,14,阴,东北风,1级,18.5,9
2019-05-31,23,18,晴,西南风,4级,20.5,5
2019-04-01,11,2,晴,西北风,4级,6.5,9
2019-04-02,12,2,多云,东北风,2级,7.0,10
2019-04-03,10,8,晴,西南风,5级,9.0,2
2019-04-04,11,6,多云,东北风,1级,8.5,5
2019-04-05,14,6,多云,西风,1级,10.0,8
2019-04-06,16,2,多云,东北风,3级,9.0,14
2019-04-07,14,2,多云,东北风,3级,8.0,12
2019-04-08,14,3,晴,西北风,2级,8.5,11
2019-04-09,14,6,阴,西北风,2级,10.0,8
2019-04-10,17,4,阴,西北风,3级,10.5,13
2019-04-11,14,8,晴,西南风,4级,11.0,6
2019-04-12,13,9,多云,东南风,4级,11.0,4
2019-04-13,12,6,阴,西南风,2级,9.0,6
2019-04-14,15,10,晴,东南风,3级,12.5,5
2019-04-15,15,12,晴,西南风,6级,13.5,3
2019-04-16,18,11,多云,东南风,3级,14.5,7
2019-04-17,21,11,多云,西南风,5级,16.0,10
2019-04-18,14,5,晴,东北风,4级,9.5,9
2019-04-19,16,9,晴,西南风,2级,12.5,7
