日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,23,阴,东南风,3级,26.0,6
2019-09-02,27,22,阴,东南风,1级,24.5,5
2019-09-03,28,22,阵雨,东南风,1级,25.0,6
2019-09-04,32,21,多云,西南风,2级,26.5,11
2019-09-05,32,21,多云,东北风,微风,26.5,11
2019-09-06,32,21,多云,南风,微风,26.5,11
2019-09-07,33,20,晴,南风,微风,26.5,13
2019-09-08,35,20,晴,北风,微风,27.5,15
2019-09-09,34,23,晴,东北风,1级,28.5,11
2019-09-10,35,23,晴,西北风,2级,29.0,12
2019-09-11,36,24,多云,西北风,1级,30.0,12
2019-09-12,35,24,多云,北风,微风,29.5,11
2019-09-13,35,24,晴,北风,微风,29.5,11
2019-09-14,36,23,晴,北风,微风,29.5,13
2019-09-15,35,22,晴,北风,微风,28.5,13
2019-09-16,33,21,晴,东南风,1级,27.0,12
2019-09-17,33,20,晴,南风,微风,26.5,13
2019-09-18,34,19,晴,北风,微风,26.5,15
2019-09-19,30,15,晴,东北风,微风,22.5,15
2019-09-20,29,15,晴,东北风,1级,22.0,14
2019-09-21,27,16,晴,东南风,2级,21.5,11
2019-09-22,27,14,晴,东北风,1级,20.5,13
2019-09-23,29,14,晴,北风,微风,21.5,15
2019-09-24,30,14,晴,东北风,1级,22.0,16
2019-09-25,31,15,晴,西北风,1级,23.0,16
2019-09-26,31,15,晴,东北风,1级,23.0,16
2019-09-27,31,15,晴,西北风,1级,23.0,16
2019-09-28,31,16,晴,北风,微风,23.5,15
2019-09-29,32,17,晴,东北风,1级,24.5,15
2019-09-30,33,19,晴,东南风,1级,26.0,14
2019-08-01,34,25,多云,东南风,2级,29.5,9
2019-08-02,33,25,多云,北风,微风,29.0,8
2019-08-03,34,24,阴,北风,微风,29.0,10
2019-08-04,34,24,多云,北风,微风,29.0,10
2019-08-05,35,23,阴,西北风,1级,29.0,12
2019-08-06,34,25,多云,北风,微风,29.5,9
2019-08-07,36,24,晴,东北风,1级,30.0,12
2019-08-08,35,24,晴,东北风,1级,29.5,11
2019-08-09,34,24,阴,西南风,1级,29.0,10
2019-08-10,28,25,小雨,西北风,1级,26.5,3
2019-08-11,33,24,小雨,西北风,微风,28.5,9
2019-08-12,35,25,晴,东南风,3级,30.0,10
2019-08-13,35,24,多云,南风,微风,29.5,11
2019-08-14,34,24,多云,北风,微风,29.0,10
2019-08-15,33,24,多云,北风,1级,28.5,9
2019-08-16,34,24,多云,西北风,1级,29.0,10
2019-08-17,35,24,晴,南风,微风,29.5,11
2019-08-18,35,23,阴,西北风,2级,29.0,12
2019-08-19,35,23,晴,西北风,1级,29.0,12
2019-08-20,35,23,晴,北风,微风,29.0,12
2019-08-21,35,23,晴,南风,微风,29.0,12
2019-08-22,35,23,阴,东南风,1级,29.0,12
2019-08-23,35,25,阴,西北风,微风,30.0,10
2019-08-24,36,25,阴,西北风,1级,30.5,11
2019-08-25,32,25,阴,西北风,1级,28.5,7
2019-08-26,34,25,多云,东北风,2级,29.5,9
2019-08-27,33,25,晴,北风,微风,29.0,8
2019-08-28,36,25,多云,北风,微风,30.5,11
2019-08-29,31,23,阴,西北风,2级,27.0,8
2019-08-30,31,22,阴,南风,微风,26.5,9
2019-08-31,30,23,阴,北风,微风,26.5,7
2019-07-01,33,25,小雨,东北风,1级,29.0,8
2019-07-02,34,24,大雨,西北风,1级,29.0,10
2019-07-03,32,25,大雨,北风,微风,28.5,7
2019-07-04,29,24,小雨,北风,微风,26.5,5
2019-07-05,26,24,暴雨,南风,微风,25.0,2
2019-07-06,28,24,大雨,西北风,2级,26.0,4
2019-07-07,28,24,大雨,南风,微风,26.0,4
2019-07-08,27,22,小雨,东南风,1级,24.5,5
2019-07-09,22,21,暴雨,西北风,微风,21.5,1
2019-07-10,25,21,小雨,北风,微风,23.0,4
2019-07-11,31,23,阴,北风,微风,27.0,8
2019-07-12,31,24,阴,西北风,3级,27.5,7
2019-07-13,27,22,小雨,东南风,1级,24.5,5
