日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,9,多云,西南风,微风,18.5,19
2019-09-02,31,8,晴,东南风,2级,19.5,23
2019-09-03,32,9,晴,东南风,2级,20.5,23
2019-09-04,29,11,晴,西南风,2级,20.0,18
2019-09-05,30,10,晴,东南风,2级,20.0,20
2019-09-06,31,10,晴,西南风,2级,20.5,21
2019-09-07,32,11,晴,西北风,1级,21.5,21
2019-09-08,31,14,晴,西北风,1级,22.5,17
2019-09-09,22,12,阴,西北风,3级,17.0,10
2019-09-10,17,10,阴,西北风,微风,13.5,7
2019-09-11,18,10,阴,东南风,3级,14.0,8
2019-09-12,19,13,阴,东南风,3级,16.0,6
2019-09-13,23,4,阴,西南风,2级,13.5,19
2019-09-14,24,7,晴,西南风,1级,15.5,17
2019-09-15,24,5,阴,西北风,2级,14.5,19
2019-09-16,23,7,晴,西南风,1级,15.0,16
2019-09-17,26,2,阴,东南风,1级,14.0,24
2019-09-18,22,4,晴,西北风,1级,13.0,18
2019-09-19,24,7,阴,西南风,2级,15.5,17
2019-09-20,26,6,阴,西北风,3级,16.0,20
2019-09-21,26,7,多云,东北风,1级,16.5,19
2019-09-22,26,5,晴,西北风,2级,15.5,21
2019-09-23,27,5,晴,西北风,2级,16.0,22
2019-09-24,28,5,多云,西北风,1级,16.5,23
2019-09-25,28,6,晴,东南风,1级,17.0,22
2019-09-26,26,4,晴,西北风,1级,15.0,22
2019-09-27,24,4,多云,西南风,2级,14.0,20
2019-09-28,26,7,多云,西南风,2级,16.5,19
2019-09-29,27,10,晴,西南风,1级,18.5,17
2019-09-30,25,7,晴,东南风,2级,16.0,18
2019-08-01,30,15,中雨,西南风,2级,22.5,15
2019-08-02,27,14,阴,东南风,1级,20.5,13
2019-08-03,29,17,多云,东南风,2级,23.0,12
2019-08-04,24,17,阴,东南风,2级,20.5,7
2019-08-05,26,17,小雨,东南风,1级,21.5,9
2019-08-06,28,17,小雨,东南风,3级,22.5,11
2019-08-07,26,13,多云,西北风,1级,19.5,13
2019-08-08,29,18,晴,东南风,3级,23.5,11
2019-08-09,25,17,大雨,东北风,1级,21.0,8
2019-08-10,24,18,阴,东南风,3级,21.0,6
2019-08-11,26,16,多云,西南风,1级,21.0,10
2019-08-12,26,17,多云,东南风,1级,21.5,9
2019-08-13,26,14,多云,西北风,1级,20.0,12
2019-08-14,29,12,多云,西南风,2级,20.5,17
2019-08-15,30,12,晴,西南风,2级,21.0,18
2019-08-16,22,9,多云,西北风,2级,15.5,13
2019-08-17,24,8,晴,西北风,1级,16.0,16
2019-08-18,27,11,晴,东南风,3级,19.0,16
2019-08-19,27,16,阴,东南风,4级,21.5,11
2019-08-20,20,11,中雨,东南风,2级,15.5,9
2019-08-21,25,10,晴,西北风,2级,17.5,15
2019-08-22,25,8,多云,西北风,1级,16.5,17
2019-08-23,26,11,晴,西北风,2级,18.5,15
2019-08-24,28,11,多云,西南风,1级,19.5,17
2019-08-25,27,13,晴,东南风,3级,20.0,14
2019-08-26,23,10,阴,西北风,1级,16.5,13
2019-08-27,27,9,多云,西北风,2级,18.0,18
2019-08-28,23,8,多云,西北风,4级,15.5,15
2019-08-29,22,7,多云,西北风,4级,14.5,15
2019-08-30,25,6,晴,西北风,2级,15.5,19
2019-08-31,27,5,晴,西南风,1级,16.0,22
2019-07-01,28,13,多云,东南风,1级,20.5,15
2019-07-02,28,12,小雨,东南风,2级,20.0,16
2019-07-03,31,11,晴,西北风,1级,21.0,20
2019-07-04,33,16,阴,东北风,1级,24.5,17
2019-07-05,22,13,中雨,东北风,1级,17.5,9
2019-07-06,21,13,阴,东北风,3级,17.0,8
2019-07-07,24,13,多云,东南风,2级,18.5,11
2019-07-08,27,13,阴,东南风,2级,20.0,14
2019-07-09,20,14,阴,东南风,微风,17.0,6
2019-07-10,26,13,阴,西南风,1级,19.5,13
2019-07-11,27,13,多云,东南风,微风,20.0,14
2019-07-12,30,13,阴,西南风,2级,21.5,17
2019-07-13,29,14,小雨,东南风,2级,21.5,15
2019-07-14,30,14,多云,东南风,3级,22.0,16
2019-07-15,31,16,多云,东南风,3级,23.5,15
2019-07-16,28,16,阴,西南风,1级,22.0,12
2019-07-17,20,16,中雨,东南风,2级,18.0,4
2019-07-18,29,20,多云,东南风,2级,24.5,9
2019-07-19,27,19,阴,东南风,2级,23.0,8
2019-07-20,26,19,小雨,西南风,1级,22.5,7
2019-07-21,34,19,多云,西南风,2级,26.5,15
2019-07-22,27,20,阴,西南风,3级,23.5,7
2019-07-23,31,17,小雨,东北风,微风,24.0,14
2019-07-24,30,17,阴,西南风,2级,23.5,13
2019-07-25,32,17,多云,西南风,2级,24.5,15
2019-07-26,33,19,晴,东南风,3级,26.0,14
2019-07-27,30,18,多云,东南风,3级,24.0,12
2019-07-28,30,21,多云,东南风,3级,25.5,9
2019-07-29,24,15,小雨,西南风,2级,19.5,9
2019-07-30,30,13,晴,西南风,1级,21.5,17
2019-07-31,29,13,多云,西南风,1级,21.0,16
2019-06-01,24,11,多云,北风,微风,17.5,13
2019-06-02,27,7,晴,西北风,5级,17.0,20
2019-06-03,26,10,晴,西北风,微风,18.0,16
2019-06-04,25,10,阴,东南风,1级,17.5,15
2019-06-05,26,11,阴,西南风,1级,18.5,15
2019-06-06,26,11,多云,东南风,4级,18.5,15
2019-06-07,28,9,多云,西北风,3级,18.5,19
2019-06-08,26,8,晴,西北风,4级,17.0,18
2019-06-09,25,9,晴,西北风,2级,17.0,16
2019-06-10,28,11,晴,西南风,1级,19.5,17
2019-06-11,31,16,晴,东南风,4级,23.5,15
2019-06-12,28,15,雷阵雨,西北风,2级,21.5,13
2019-06-13,24,11,小雨,东南风,2级,17.5,13
2019-06-14,28,7,晴,西北风,1级,17.5,21
2019-06-15,28,13,阴,东南风,3级,20.5,15
2019-06-16,15,12,小雨,西南风,微风,13.5,3
2019-06-17,25,13,雷阵雨,西南风,1级,19.0,12
2019-06-18,28,14,中雨,东南风,2级,21.0,14
2019-06-19,29,15,阴,东南风,2级,22.0,14
2019-06-20,32,15,多云,东南风,3级,23.5,17
2019-06-21,25,15,阴,东南风,4级,20.0,10
2019-06-22,30,16,多云,西南风,2级,23.0,14
2019-06-23,31,15,多云,东南风,3级,23.0,16
2019-06-24,30,16,多云,东南风,1级,23.0,14
2019-06-25,29,16,阴,东南风,3级,22.5,13
2019-06-26,29,16,阴,东南风,3级,22.5,13
2019-06-27,25,17,雷阵雨,西北风,3级,21.0,8
2019-06-28,27,13,多云,西南风,2级,20.0,14
2019-06-29,24,11,多云,西北风,3级,17.5,13
2019-06-30,22,10,多云,西北风,2级,16.0,12
2019-05-01,22,2,晴,东北风,1级,12.0,20
2019-05-02,24,2,晴,西南风,1级,13.0,22
2019-05-03,25,9,多云,东南风,3级,17.0,16
2019-05-04,25,4,阴,西南风,1级,14.5,21
2019-05-05,14,-3,多云,东北风,1级,5.5,17
2019-05-06,18,0,晴,西北风,2级,9.0,18
2019-05-07,23,4,晴,东南风,1级,13.5,19
2019-05-08,23,3,阴,西北风,2级,13.0,20
2019-05-09,24,6,晴,西北风,1级,15.0,18
2019-05-10,24,4,多云,东北风,2级,14.0,20
2019-05-11,23,8,阴,西北风,2级,15.5,15
2019-05-12,13,2,阴,西北风,4级,7.5,11
2019-05-13,19,1,晴,东南风,3级,10.0,18
2019-05-14,26,8,晴,东南风,5级,17.0,18
2019-05-15,24,4,阴,西南风,2级,14.0,20
2019-05-16,29,9,晴,东南风,4级,19.0,20
2019-05-17,28,12,多云,东北风,1级,20.0,16
2019-05-18,16,10,阴,东南风,4级,13.0,6
2019-05-19,13,3,多云,西北风,4级,8.0,10
2019-05-20,18,4,晴,西北风,3级,11.0,14
2019-05-21,24,5,晴,西北风,2级,14.5,19
2019-05-22,30,8,阴,东北风,2级,19.0,22
2019-05-23,34,11,晴,西南风,2级,22.5,23
2019-05-24,30,11,阴,东南风,3级,20.5,19
2019-05-25,28,13,晴,西北风,2级,20.5,15
2019-05-26,20,7,阴,西北风,4级,13.5,13
2019-05-27,20,5,晴,西北风,2级,12.5,15
2019-05-28,27,7,晴,西北风,2级,17.0,20
2019-05-29,29,11,多云,东南风,2级,20.0,18
2019-05-30,21,3,多云,西北风,2级,12.0,18
2019-05-31,24,8,晴,西南风,3级,16.0,16
2019-04-01,11,-6,晴,东南风,3级,2.5,17
2019-04-02,12,-6,晴,西北风,1级,3.0,18
2019-04-03,18,-3,晴,西南风,2级,7.5,21
2019-04-04,23,-3,多云,西北风,3级,10.0,26
2019-04-05,14,-1,多云,东南风,3级,6.5,15
2019-04-06,16,-1,多云,西北风,2级,7.5,17
2019-04-07,12,-3,多云,北风,微风,4.5,15
2019-04-08,10,-3,阴,东南风,3级,3.5,13
2019-04-09,4,-5,阴,西南风,微风,-0.5,9
2019-04-10,11,-3,多云,西北风,2级,4.0,14
2019-04-11,13,-4,多云,东北风,1级,4.5,17
2019-04-12,17,0,多云,西北风,1级,8.5,17
2019-04-13,13,-2,多云,西北风,4级,5.5,15
2019-04-14,18,-1,晴,东北风,1级,8.5,19
