日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,14,晴,西南风,1级,20.0,12
2019-09-02,27,15,多云,东北风,2级,21.0,12
2019-09-03,29,14,晴,东北风,1级,21.5,15
2019-09-04,28,16,晴,东北风,2级,22.0,12
2019-09-05,28,16,阴,西风,3级,22.0,12
2019-09-06,25,16,阴,东北风,1级,20.5,9
2019-09-07,21,18,阴,东北风,4级,19.5,3
2019-09-08,26,14,多云,西北风,2级,20.0,12
2019-09-09,26,12,多云,东北风,2级,19.0,14
2019-09-10,20,7,阴,东北风,2级,13.5,13
2019-09-11,22,8,晴,东北风,2级,15.0,14
2019-09-12,22,14,阴,东南风,2级,18.0,8
2019-09-13,22,11,阴,西南风,2级,16.5,11
2019-09-14,21,6,晴,西北风,2级,13.5,15
2019-09-15,23,9,晴,东北风,1级,16.0,14
2019-09-16,19,3,晴,北风,微风,11.0,16
2019-09-17,23,5,晴,西北风,6级,14.0,18
2019-09-18,16,3,晴,东北风,1级,9.5,13
2019-09-19,21,4,阴,东北风,2级,12.5,17
2019-09-20,24,8,晴,东北风,2级,16.0,16
2019-09-21,21,5,晴,东北风,2级,13.0,16
2019-09-22,21,4,晴,西南风,1级,12.5,17
2019-09-23,23,5,晴,东北风,1级,14.0,18
2019-09-24,22,4,晴,东北风,2级,13.0,18
2019-09-25,26,9,晴,西北风,1级,17.5,17
2019-09-26,28,9,多云,东北风,2级,18.5,19
2019-09-27,28,8,多云,东北风,1级,18.0,20
2019-09-28,26,9,晴,东南风,1级,17.5,17
2019-09-29,23,7,阴,东北风,2级,15.0,16
2019-09-30,27,13,阴,东北风,1级,20.0,14
2019-08-01,29,20,多云,西南风,3级,24.5,9
2019-08-02,29,21,小雨,东南风,2级,25.0,8
2019-08-03,24,20,中雨,西南风,2级,22.0,4
2019-08-04,29,19,阴,东北风,1级,24.0,10
2019-08-05,29,20,多云,东北风,1级,24.5,9
2019-08-06,31,22,阴,东北风,2级,26.5,9
2019-08-07,31,22,阴,东北风,3级,26.5,9
2019-08-08,27,20,小雨,西北风,1级,23.5,7
2019-08-09,28,19,多云,东北风,1级,23.5,9
2019-08-10,29,21,阴,东南风,1级,25.0,8
2019-08-11,22,20,大雨,东南风,3级,21.0,2
2019-08-12,24,20,小雨,东北风,4级,22.0,4
2019-08-13,28,22,阴,北风,微风,25.0,6
2019-08-14,27,21,阴,东南风,1级,24.0,6
2019-08-15,24,20,中雨,东北风,2级,22.0,4
2019-08-16,24,18,阴,西南风,2级,21.0,6
2019-08-17,22,16,小雨,西南风,3级,19.0,6
2019-08-18,25,16,阴,北风,微风,20.5,9
2019-08-19,24,15,小雨,东北风,2级,19.5,9
2019-08-20,25,19,小雨,东南风,2级,22.0,6
2019-08-21,25,16,阴,东南风,1级,20.5,9
2019-08-22,25,15,晴,西北风,1级,20.0,10
2019-08-23,21,14,小雨,西北风,1级,17.5,7
2019-08-24,24,13,小雨,东北风,1级,18.5,11
2019-08-25,25,16,阴,东北风,1级,20.5,9
2019-08-26,27,18,小雨,东南风,1级,22.5,9
2019-08-27,25,16,小雨,东北风,1级,20.5,9
2019-08-28,26,14,中雨,东北风,2级,20.0,12
2019-08-29,22,13,小雨,西北风,1级,17.5,9
2019-08-30,21,14,阴,东北风,1级,17.5,7
2019-08-31,25,12,阴,东北风,2级,18.5,13
2019-07-01,17,14,小雨,西南风,1级,15.5,3
2019-07-02,28,17,阴,东南风,2级,22.5,11
2019-07-03,27,17,阵雨,东南风,1级,22.0,10
2019-07-04,29,18,阴,西南风,2级,23.5,11
2019-07-05,32,19,多云,东南风,2级,25.5,13
2019-07-06,31,19,多云,东北风,2级,25.0,12
2019-07-07,30,18,小雨,东北风,3级,24.0,12
2019-07-08,30,16,多云,东北风,1级,23.0,14
2019-07-09,31,16,晴,东北风,2级,23.5,15
2019-07-10,29,17,多云,东北风,2级,23.0,12
2019-07-11,26,17,阴,西北风,1级,21.5,9
2019-07-12,27,18,大雨,东北风,1级,22.5,9
2019-07-13,26,18,阴,南风,微风,22.0,8
2019-07-14,26,18,阴,西南风,1级,22.0,8
2019-07-15,26,18,小雨,西南风,2级,22.0,8
2019-07-16,29,20,阴,西南风,1级,24.5,9
2019-07-17,29,20,阴,南风,微风,24.5,9
2019-07-18,29,19,阴,北风,微风,24.0,10
2019-07-19,31,21,晴,东北风,2级,26.0,10
2019-07-20,34,22,多云,东北风,1级,28.0,12
2019-07-21,25,21,大雨,西北风,2级,23.0,4
2019-07-22,32,22,多云,西南风,1级,27.0,10
2019-07-23,27,22,小雨,东南风,1级,24.5,5
2019-07-24,31,22,阴,东南风,2级,26.5,9
2019-07-25,28,20,阴,东北风,3级,24.0,8
2019-07-26,30,21,小雨,东北风,2级,25.5,9
2019-07-27,31,22,晴,西南风,1级,26.5,9
2019-07-28,33,23,多云,东南风,2级,28.0,10
2019-07-29,32,24,多云,东南风,1级,28.0,8
2019-07-30,29,22,中雨,西南风,2级,25.5,7
2019-07-31,31,23,阴,西南风,3级,27.0,8
2019-06-01,17,13,晴,西南风,1级,15.0,4
2019-06-02,22,14,晴,西南风,3级,18.0,8
2019-06-03,25,15,阴,东北风,2级,20.0,10
2019-06-04,23,15,阴,东南风,1级,19.0,8
2019-06-05,27,13,多云,西北风,2级,20.0,14
2019-06-06,29,15,阴,东北风,2级,22.0,14
2019-06-07,29,16,多云,西南风,2级,22.5,13
2019-06-08,24,15,阴,东南风,2级,19.5,9
2019-06-09,20,13,阴,东北风,1级,16.5,7
2019-06-10,23,14,多云,东南风,1级,18.5,9
2019-06-11,24,14,阴,西南风,1级,19.0,10
2019-06-12,27,16,阵雨,西南风,2级,21.5,11
2019-06-13,23,15,小雨,西南风,4级,19.0,8
2019-06-14,21,12,中雨,西北风,2级,16.5,9
2019-06-15,18,9,中雨,西北风,2级,13.5,9
2019-06-16,20,11,多云,南风,微风,15.5,9
2019-06-17,24,14,晴,东北风,1级,19.0,10
2019-06-18,26,14,多云,东北风,2级,20.0,12
2019-06-19,28,17,多云,西南风,3级,22.5,11
2019-06-20,23,11,小雨,东北风,2级,17.0,12
2019-06-21,23,12,晴,东北风,2级,17.5,11
2019-06-22,22,13,阴,东北风,2级,17.5,9
2019-06-23,27,14,阴,东北风,2级,20.5,13
2019-06-24,31,18,晴,东南风,1级,24.5,13
2019-06-25,31,16,阴,西南风,3级,23.5,15
2019-06-26,31,16,晴,西南风,2级,23.5,15
2019-06-27,31,18,晴,东南风,微风,24.5,13
2019-06-28,28,17,阴,西南风,2级,22.5,11
2019-06-29,25,15,小雨,西北风,1级,20.0,10
2019-06-30,23,13,阴,西北风,1级,18.0,10
2019-05-01,16,1,晴,西北风,2级,8.5,15
2019-05-02,20,1,多云,东北风,2级,10.5,19
2019-05-03,27,9,晴,西北风,1级,18.0,18
2019-05-04,28,11,阴,西南风,4级,19.5,17
2019-05-05,11,-2,阴,西南风,1级,4.5,13
2019-05-06,15,2,雨夹雪,西北风,2级,8.5,13
2019-05-07,15,6,晴,西南风,1级,10.5,9
2019-05-08,25,4,多云,西北风,2级,14.5,21
2019-05-09,25,7,晴,西北风,1级,16.0,18
2019-05-10,28,7,晴,西南风,2级,17.5,21
2019-05-11,29,8,晴,西南风,3级,18.5,21
2019-05-12,28,11,晴,东南风,1级,19.5,17
2019-05-13,12,6,阴,南风,3级,9.0,6
2019-05-14,25,8,晴,西南风,2级,16.5,17
2019-05-15,27,12,多云,西南风,3级,19.5,15
2019-05-16,24,13,多云,西南风,4级,18.5,11
2019-05-17,28,15,多云,西南风,3级,21.5,13
2019-05-18,26,14,晴,西北风,1级,20.0,12
2019-05-19,25,9,阴,西南风,4级,17.0,16
2019-05-20,14,7,阴,西南风,4级,10.5,7
2019-05-21,15,6,多云,东北风,2级,10.5,9
2019-05-22,22,7,多云,西北风,1级,14.5,15
2019-05-23,28,13,晴,西北风,2级,20.5,15
2019-05-24,31,18,晴,西南风,5级,24.5,13
2019-05-25,31,14,多云,西南风,3级,22.5,17
2019-05-26,25,8,多云,西南风,5级,16.5,17
2019-05-27,17,7,阴,西南风,2级,12.0,10
2019-05-28,16,8,阴,西北风,3级,12.0,8
2019-05-29,21,11,晴,东南风,1级,16.0,10
2019-05-30,20,8,阴,南风,微风,14.0,12
2019-05-31,22,11,多云,西南风,4级,16.5,11
2019-04-01,6,-8,多云,西北风,1级,-1.0,14
2019-04-02,7,-7,多云,东北风,2级,0.0,14
2019-04-03,13,1,晴,西南风,4级,7.0,12
2019-04-04,17,-2,阴,西北风,3级,7.5,19
2019-04-05,9,-3,晴,东北风,1级,3.0,12
2019-04-06,11,-5,多云,西北风,1级,3.0,16
2019-04-07,12,-5,晴,西北风,1级,3.5,17
2019-04-08,10,-4,多云,东北风,2级,3.0,14
2019-04-09,13,-2,多云,东北风,3级,5.5,15
2019-04-10,13,-4,阴,东北风,2级,4.5,17
2019-04-11,15,-1,多云,东北风,1级,7.0,16
2019-04-12,18,2,多云,西南风,4级,10.0,16
2019-04-13,15,-2,阴,西北风,1级,6.5,17
2019-04-14,10,-3,阴,西北风,1级,3.5,13
2019-04-15,20,4,晴,西南风,2级,12.0,16
2019-04-16,22,5,晴,西南风,3级,13.5,17
2019-04-17,21,1,阴,西南风,5级,11.0,20
2019-04-18,11,-4,晴,东北风,2级,3.5,15
2019-04-19,16,-2,晴,东北风,1级,7.0,18
2019-04-20,9,-2,阴,西南风,3级,3.5,11
2019-04-21,17,-1,多云,东北风,2级,8.0,18
2019-04-22,22,8,阴,西南风,3级,15.0,14
2019-04-23,22,9,阴,东北风,2级,15.5,13
2019-04-24,14,1,阴,东南风,1级,7.5,13
2019-04-25,11,-2,阴,东北风,2级,4.5,13
2019-04-26,15,-4,晴,东北风,2级,5.5,19
2019-04-27,19,2,多云,东北风,1级,10.5,17
2019-04-28,18,2,阴,西南风,3级,10.0,16
2019-04-29,17,5,阴,东南风,2级,11.0,12
2019-04-30,14,3,阴,东南风,2级,8.5,11
2019-03-01,9,-8,多云,西北风,1级,0.5,17
2019-03-02,11,-5,晴,西北风,2级,3.0,16
2019-03-03,12,-3,晴,北风,微风,4.5,15
2019-03-04,10,-2,阴,东北风,1级,4.0,12
2019-03-05,10,-3,雾,西南风,2级,3.5,13
2019-03-06,4,-12,阴,西北风,2级,-4.0,16
2019-03-07,6,-9,晴,北风,微风,-1.5,15
2019-03-08,12,-3,晴,西南风,3级,4.5,15
2019-03-09,10,-5,多云,东北风,1级,2.5,15
2019-03-10,10,-4,阴,东北风,1级,3.0,14
2019-03-11,8,-8,多云,西北风,3级,0.0,16
2019-03-12,2,-10,多云,西北风,4级,-4.0,12
2019-03-13,2,-9,阴,西北风,2级,-3.5,11
2019-03-14,5,-9,阴,西北风,1级,-2.0,14
