日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,23,0,雷雨,北风,2级,11.5,23
2019-09-02,23,0,雷雨,北风,2级,11.5,23
2019-09-03,23,0,雷雨,北风,2级,11.5,23
2019-09-04,23,0,雷雨,北风,2级,11.5,23
2019-09-05,23,0,雷雨,北风,2级,11.5,23
2019-09-06,23,0,雷雨,北风,2级,11.5,23
2019-09-07,23,0,雷雨,北风,2级,11.5,23
2019-09-08,23,0,雷雨,北风,2级,11.5,23
2019-09-09,31,24,阴,东北风,2级,27.5,7
2019-09-10,30,24,阴,东北风,1级,27.0,6
2019-09-11,23,0,雷雨,北风,2级,11.5,23
2019-09-12,23,0,雷雨,北风,2级,11.5,23
2019-09-13,23,0,雷雨,北风,2级,11.5,23
2019-09-14,23,0,雷雨,北风,2级,11.5,23
2019-09-15,23,0,雷雨,北风,2级,11.5,23
2019-09-16,23,0,雷雨,北风,2级,11.5,23
2019-09-17,23,0,雷雨,北风,2级,11.5,23
2019-09-18,23,0,雷雨,北风,2级,11.5,23
2019-09-19,23,0,雷雨,北风,2级,11.5,23
2019-09-20,23,0,雷雨,北风,2级,11.5,23
2019-09-21,23,0,雷雨,北风,2级,11.5,23
2019-09-22,23,0,雷雨,北风,2级,11.5,23
2019-09-23,23,0,雷雨,北风,2级,11.5,23
2019-09-24,23,0,雷雨,北风,2级,11.5,23
2019-09-25,23,0,雷雨,北风,2级,11.5,23
2019-09-26,28,17,多云,东北风,1级,22.5,11
2019-09-27,23,0,雷雨,北风,2级,11.5,23
2019-09-28,23,0,雷雨,北风,2级,11.5,23
2019-09-29,23,0,雷雨,北风,2级,11.5,23
2019-09-30,23,0,雷雨,北风,2级,11.5,23
2019-08-01,23,0,零散雷雨,,,11.5,23
2019-08-02,24,0,零散雷雨,东风,2级,12.0,24
2019-08-03,24,0,零散雷雨,东风,2级,12.0,24
2019-08-04,24,0,雷雨,东南偏东风,2级,12.0,24
2019-08-05,24,0,雷雨,东北偏东风,2级,12.0,24
2019-08-06,24,0,雷雨,东北风,2级,12.0,24
2019-08-07,24,0,雷雨,东北偏北风,2级,12.0,24
2019-08-08,24,0,零散雷雨,北风,2级,12.0,24
2019-08-09,24,0,雷雨,西北偏北风,2级,12.0,24
2019-08-10,23,0,雷雨,北风,2级,11.5,23
2019-08-11,23,0,雷雨,北风,2级,11.5,23
2019-08-12,23,0,雷雨,北风,2级,11.5,23
2019-08-13,23,0,雷雨,北风,2级,11.5,23
2019-08-14,23,0,雷雨,北风,2级,11.5,23
2019-08-15,23,0,雷雨,北风,2级,11.5,23
2019-08-16,23,0,雷雨,北风,2级,11.5,23
2019-08-17,23,0,雷雨,北风,2级,11.5,23
2019-08-18,37,26,多云,东北风,2级,31.5,11
2019-08-19,23,0,雷雨,北风,2级,11.5,23
2019-08-20,23,0,雷雨,北风,2级,11.5,23
2019-08-21,23,0,雷雨,北风,2级,11.5,23
2019-08-22,23,0,雷雨,北风,2级,11.5,23
2019-08-23,23,0,雷雨,北风,2级,11.5,23
2019-08-24,23,0,雷雨,北风,2级,11.5,23
2019-08-25,23,0,雷雨,北风,2级,11.5,23
2019-08-26,23,0,雷雨,北风,2级,11.5,23
2019-08-27,23,0,雷雨,北风,2级,11.5,23
2019-08-28,23,0,雷雨,北风,2级,11.5,23
2019-08-29,33,21,阴,西南风,2级,27.0,12
2019-08-30,23,0,雷雨,北风,2级,11.5,23
2019-08-31,23,0,雷雨,北风,2级,11.5,23
2019-07-01,22,0,局部多云,西风,2级,11.0,22
2019-07-02,23,0,局部多云,北风,2级,11.5,23
2019-07-03,32,22,晴,东南风,1级,27.0,10
2019-07-04,23,19,雨,东北风,2级,21.0,4
2019-07-05,21,0,局部多云,,,10.5,21
2019-07-06,22,0,多云,西北偏西风,2级,11.0,22
2019-07-07,22,0,零散雷雨,东北偏北风,2级,11.0,22
2019-07-08,23,18,雨,东风,2级,20.5,5
2019-07-09,29,19,少云,西北风,2级,24.0,10
2019-07-10,31,22,少云,西南风,2级,26.5,9
2019-07-11,28,21,零散雷雨,东北风,2级,24.5,7
2019-07-12,21,0,局部多云,,,10.5,21
2019-07-13,21,0,局部多云,西北风,2级,10.5,21
2019-07-14,33,23,阴,东北风,1级,28.0,10
2019-07-15,23,0,零散雷雨,东北风,2级,11.5,23
2019-07-16,23,0,雷雨,东北偏东风,2级,11.5,23
2019-07-17,23,0,雷雨,东风,2级,11.5,23
2019-07-18,23,0,雷雨,东北偏东风,2级,11.5,23
2019-07-19,23,0,零散雷雨,东北风,2级,11.5,23
2019-07-20,31,24,零散雷雨,东风,2级,27.5,7
2019-07-21,32,26,零散雷雨,东风,2级,29.0,6
2019-07-22,32,24,雷雨,东北风,2级,28.0,8
2019-07-23,29,24,雷雨,北风,1级,26.5,5
2019-07-24,29,23,零散雷雨,西风,2级,26.0,6
2019-07-25,29,23,雷雨,东南风,2级,26.0,6
2019-07-26,32,24,零散雷雨,东南风,2级,28.0,8
2019-07-27,34,26,局部多云,东南偏东风,2级,30.0,8
2019-07-28,33,24,零散雷雨,东南偏东风,2级,28.5,9
2019-07-29,32,24,局部雷雨,东南偏东风,2级,28.0,8
2019-07-30,29,23,雷雨,,2级,26.0,6
2019-07-31,29,22,零散雷雨,西北偏北风,2级,25.5,7
2019-06-01,29,17,阴天,西风,2级,23.0,12
2019-06-02,31,18,局部多云,西南偏西风,2级,24.5,13
2019-06-03,34,19,局部多云,东南风,2级,26.5,15
2019-06-04,35,22,阴天,东南偏东风,3级,28.5,13
2019-06-05,26,19,雨,东北风,3级,22.5,7
2019-06-06,19,0,晴,,,9.5,19
2019-06-07,22,0,雷雨,东北偏东风,2级,11.0,22
2019-06-08,22,0,零散雷雨,东北偏东风,2级,11.0,22
2019-06-09,22,0,局部多云,西南偏西风,1级,11.0,22
2019-06-10,23,0,多云,,,11.5,23
2019-06-11,20,0,零散阵雨,东北偏东风,3级,10.0,20
2019-06-12,19,0,少云,东风,2级,9.5,19
2019-06-13,21,0,少云,东南风,2级,10.5,21
2019-06-14,22,0,阴天,东南偏东风,2级,11.0,22
2019-06-15,21,0,雨,东风,3级,10.5,21
2019-06-16,19,0,阵雨,东北风,2级,9.5,19
2019-06-17,21,0,零散阵雨,北风,2级,10.5,21
2019-06-18,22,0,雨,,,11.0,22
2019-06-19,23,0,雷雨,东北风,2级,11.5,23
2019-06-20,23,0,雷雨,东北偏北风,2级,11.5,23
2019-06-21,23,0,雷雨,,,11.5,23
2019-06-22,21,0,零散阵雨,东北偏东风,3级,10.5,21
2019-06-23,21,0,多云,,,10.5,21
2019-06-24,21,0,多云,西北偏北风,1级,10.5,21
2019-06-25,21,0,局部多云,西北偏西风,2级,10.5,21
2019-06-26,23,0,阴天,东南偏南风,2级,11.5,23
2019-06-27,23,0,雨,东北偏东风,2级,11.5,23
2019-06-28,21,0,雨,北风,2级,10.5,21
2019-06-29,20,0,阵雨,西北偏北风,2级,10.0,20
2019-06-30,21,0,局部多云,西北偏西风,2级,10.5,21
2019-05-01,18,0,晴,无持续风向,小于3级,9.0,18
2019-05-02,18,0,小雨,无持续风向,小于3级,9.0,18
2019-05-03,18,0,晴,无持续风向,小于3级,9.0,18
2019-05-04,19,0,小雨,无持续风向,小于3级,9.5,19
2019-05-05,18,0,中雨,无持续风向,小于3级,9.0,18
2019-05-06,13,0,小雨,无持续风向,小于3级,6.5,13
2019-05-07,13,0,晴,无持续风向,小于3级,6.5,13
2019-05-08,16,0,晴,微风,小于3级,8.0,16
2019-05-09,17,0,晴,微风,小于3级,8.5,17
2019-05-10,20,0,小雨,微风,小于3级,10.0,20
2019-05-11,20,0,多云,微风,小于3级,10.0,20
2019-05-12,20,0,小雨,微风,小于3级,10.0,20
2019-05-13,19,0,中雨,微风,小于3级,9.5,19
2019-05-14,0,0,,,,0.0,0
2019-05-15,19,0,阵雨,东北偏北风,2级,9.5,19
2019-05-16,19,0,零散阵雨,东北偏东风,2级,9.5,19
2019-05-17,21,0,雷雨,东北偏东风,2级,10.5,21
2019-05-18,19,0,阵雨,东北风,3级,9.5,19
2019-05-19,17,0,零散阵雨,东北风,3级,8.5,17
2019-05-20,15,0,零散阵雨,,,7.5,15
2019-05-21,14,0,多云,东南偏东风,2级,7.0,14
2019-05-22,16,0,少云,,,8.0,16
2019-05-23,19,0,多云,东风,2级,9.5,19
2019-05-24,18,0,多云,东风,2级,9.0,18
2019-05-25,19,0,零散阵雨,西南风,2级,9.5,19
2019-05-26,19,0,局部多云,北风,2级,9.5,19
2019-05-27,19,0,阴天,东北风,3级,9.5,19
