日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,24,13,阴,东南风,2级,18.5,11
2019-09-02,23,12,晴,西北风,4级,17.5,11
2019-09-03,26,13,阵雨,西北风,2级,19.5,13
2019-09-04,29,13,晴,东北风,2级,21.0,16
2019-09-05,22,12,多云,西北风,4级,17.0,10
2019-09-06,23,10,多云,西北风,2级,16.5,13
2019-09-07,18,13,多云,东北风,1级,15.5,5
2019-09-08,25,11,晴,东南风,2级,18.0,14
2019-09-09,27,9,多云,东南风,2级,18.0,18
2019-09-10,16,6,多云,西北风,6级,11.0,10
2019-09-11,14,6,阴,西北风,3级,10.0,8
2019-09-12,19,3,晴,东南风,3级,11.0,16
2019-09-13,21,6,晴,东北风,2级,13.5,15
2019-09-14,23,6,晴,东南风,2级,14.5,17
2019-09-15,24,4,阴,东北风,2级,14.0,20
2019-09-16,24,4,多云,东南风,3级,14.0,20
2019-09-17,20,8,多云,西北风,4级,14.0,12
2019-09-18,23,10,晴,东南风,2级,16.5,13
2019-09-19,24,7,晴,东南风,2级,15.5,17
2019-09-20,26,7,多云,东南风,2级,16.5,19
2019-09-21,27,7,晴,东南风,3级,17.0,20
2019-09-22,28,7,晴,东南风,2级,17.5,21
2019-09-23,27,7,晴,东北风,2级,17.0,20
2019-09-24,27,8,晴,东南风,2级,17.5,19
2019-09-25,26,7,阴,东南风,2级,16.5,19
2019-09-26,28,7,晴,东南风,1级,17.5,21
2019-09-27,28,7,晴,东北风,2级,17.5,21
2019-09-28,28,10,晴,东北风,2级,19.0,18
2019-09-29,27,6,多云,东南风,1级,16.5,21
2019-09-30,20,6,多云,西北风,5级,13.0,14
2019-08-01,32,14,晴,西北风,2级,23.0,18
2019-08-02,31,15,晴,西北风,3级,23.0,16
2019-08-03,33,16,晴,西北风,3级,24.5,17
2019-08-04,33,18,多云,西北风,4级,25.5,15
2019-08-05,31,19,多云,东北风,2级,25.0,12
2019-08-06,32,14,多云,东北风,2级,23.0,18
2019-08-07,32,15,晴,西北风,1级,23.5,17
2019-08-08,33,14,晴,东北风,3级,23.5,19
2019-08-09,35,15,晴,东北风,2级,25.0,20
2019-08-10,26,12,扬沙,西北风,6级,19.0,14
2019-08-11,26,14,晴,东南风,2级,20.0,12
2019-08-12,30,11,晴,东南风,2级,20.5,19
2019-08-13,32,12,晴,东北风,2级,22.0,20
2019-08-14,33,15,多云,西北风,4级,24.0,18
2019-08-15,26,15,阴,西北风,3级,20.5,11
2019-08-16,25,14,晴,东北风,2级,19.5,11
2019-08-17,24,11,多云,西北风,4级,17.5,13
2019-08-18,19,10,阴,西北风,3级,14.5,9
2019-08-19,23,14,多云,西北风,3级,18.5,9
2019-08-20,22,12,多云,西北风,1级,17.0,10
2019-08-21,25,13,阴,西北风,1级,19.0,12
2019-08-22,27,15,多云,东南风,2级,21.0,12
2019-08-23,29,11,晴,东北风,2级,20.0,18
2019-08-24,24,13,多云,西北风,4级,18.5,11
2019-08-25,22,8,多云,西北风,2级,15.0,14
2019-08-26,27,14,阴,东南风,2级,20.5,13
2019-08-27,29,11,晴,东北风,2级,20.0,18
2019-08-28,32,13,晴,东南风,2级,22.5,19
2019-08-29,32,16,阴,东南风,2级,24.0,16
2019-08-30,33,13,晴,东北风,2级,23.0,20
2019-08-31,26,16,阴,东南风,3级,21.0,10
2019-07-01,32,15,晴,东北风,2级,23.5,17
2019-07-02,34,16,晴,西北风,2级,25.0,18
2019-07-03,34,15,晴,西北风,4级,24.5,19
2019-07-04,27,18,多云,西北风,4级,22.5,9
2019-07-05,26,14,小雨,西北风,4级,20.0,12
2019-07-06,30,15,多云,东南风,2级,22.5,15
2019-07-07,34,15,晴,东北风,2级,24.5,19
2019-07-08,29,20,阴,西北风,1级,24.5,9
2019-07-09,27,15,阴,西北风,3级,21.0,12
2019-07-10,32,15,多云,西南风,2级,23.5,17
2019-07-11,27,10,阴,西北风,2级,18.5,17
2019-07-12,31,12,晴,东南风,2级,21.5,19
2019-07-13,32,13,多云,东北风,2级,22.5,19
2019-07-14,31,15,晴,东北风,3级,23.0,16
2019-07-15,29,16,阴,西北风,3级,22.5,13
2019-07-16,32,14,晴,东北风,1级,23.0,18
2019-07-17,34,15,晴,东南风,2级,24.5,19
2019-07-18,29,17,小雨,西北风,3级,23.0,12
2019-07-19,32,16,多云,西南风,4级,24.0,16
2019-07-20,31,14,阴,西南风,4级,22.5,17
2019-07-21,30,14,阴,东北风,3级,22.0,16
2019-07-22,27,13,多云,西北风,2级,20.0,14
2019-07-23,31,15,多云,东北风,2级,23.0,16
2019-07-24,31,16,多云,西北风,1级,23.5,15
2019-07-25,21,13,阴,西北风,2级,17.0,8
2019-07-26,25,13,多云,西北风,2级,19.0,12
2019-07-27,29,15,晴,西北风,3级,22.0,14
2019-07-28,27,14,晴,东南风,2级,20.5,13
2019-07-29,31,12,晴,东南风,2级,21.5,19
2019-07-30,32,15,晴,西南风,2级,23.5,17
2019-07-31,27,17,多云,东南风,2级,22.0,10
2019-06-01,28,11,多云,西北风,2级,19.5,17
2019-06-02,27,13,多云,西北风,3级,20.0,14
2019-06-03,22,15,多云,西北风,4级,18.5,7
2019-06-04,27,11,晴,西北风,3级,19.0,16
2019-06-05,25,12,晴,西北风,3级,18.5,13
2019-06-06,29,13,晴,东南风,3级,21.0,16
2019-06-07,21,14,多云,西北风,3级,17.5,7
2019-06-08,28,11,阴,东南风,3级,19.5,17
2019-06-09,23,12,多云,西北风,3级,17.5,11
2019-06-10,24,9,多云,东北风,3级,16.5,15
2019-06-11,18,13,阴,西北风,3级,15.5,5
2019-06-12,20,10,小雨,东北风,3级,15.0,10
2019-06-13,14,11,中雨,西北风,3级,12.5,3
2019-06-14,25,10,晴,东南风,1级,17.5,15
2019-06-15,28,13,晴,西北风,3级,20.5,15
2019-06-16,29,14,多云,东北风,2级,21.5,15
2019-06-17,26,14,晴,东北风,2级,20.0,12
2019-06-18,28,13,晴,东南风,2级,20.5,15
2019-06-19,30,14,晴,东北风,1级,22.0,16
2019-06-20,23,13,阴,东北风,3级,18.0,10
2019-06-21,21,15,阴,东南风,2级,18.0,6
2019-06-22,30,15,晴,东北风,2级,22.5,15
2019-06-23,26,14,多云,西北风,4级,20.0,12
2019-06-24,26,14,多云,东北风,2级,20.0,12
2019-06-25,25,14,晴,西北风,2级,19.5,11
2019-06-26,28,14,晴,东北风,2级,21.0,14
2019-06-27,29,13,晴,西北风,2级,21.0,16
2019-06-28,30,13,晴,西北风,2级,21.5,17
2019-06-29,32,15,晴,西北风,2级,23.5,17
2019-06-30,33,17,晴,西北风,4级,25.0,16
2019-05-01,14,6,阴,西北风,3级,10.0,8
2019-05-02,22,6,多云,东北风,2级,14.0,16
2019-05-03,22,6,晴,东北风,2级,14.0,16
2019-05-04,9,5,阴,东北风,3级,7.0,4
2019-05-05,13,5,阴,西北风,3级,9.0,8
2019-05-06,16,5,阴,东北风,2级,10.5,11
2019-05-07,17,5,阴,东北风,2级,11.0,12
2019-05-08,20,6,多云,东北风,2级,13.0,14
2019-05-09,22,6,多云,西北风,2级,14.0,16
2019-05-10,23,4,晴,西北风,4级,13.5,19
2019-05-11,20,5,晴,东北风,2级,12.5,15
2019-05-12,18,11,扬沙,东北风,2级,14.5,7
2019-05-13,21,7,多云,西北风,3级,14.0,14
2019-05-14,12,6,阴,西北风,4级,9.0,6
2019-05-15,24,5,晴,西北风,1级,14.5,19
2019-05-16,13,2,多云,西北风,1级,7.5,11
2019-05-17,10,2,多云,西北风,4级,6.0,8
2019-05-18,17,3,晴,东南风,3级,10.0,14
2019-05-19,20,7,多云,东南风,3级,13.5,13
2019-05-20,26,9,晴,东南风,3级,17.5,17
2019-05-21,28,9,晴,东南风,3级,18.5,19
2019-05-22,30,8,晴,东南风,3级,19.0,22
2019-05-23,15,8,阴,西北风,4级,11.5,7
2019-05-24,16,5,多云,西北风,3级,10.5,11
2019-05-25,24,6,晴,东南风,3级,15.0,18
2019-05-26,23,7,多云,东南风,3级,15.0,16
2019-05-27,21,8,阴,东北风,2级,14.5,13
2019-05-28,14,8,多云,西北风,3级,11.0,6
