日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,16,2,多云,东北风,3级,9.0,14
2019-09-02,18,5,阴,东南风,3级,11.5,13
2019-09-03,16,3,阵雨,东北风,1级,9.5,13
2019-09-04,16,3,阴,东南风,3级,9.5,13
2019-09-05,19,4,阴,东南风,2级,11.5,15
2019-09-06,15,5,阴,东北风,5级,10.0,10
2019-09-07,11,5,阴,东南风,2级,8.0,6
2019-09-08,18,6,阴,西南风,3级,12.0,12
2019-09-09,17,5,阴,东南风,2级,11.0,12
2019-09-10,15,5,阴,西南风,1级,10.0,10
2019-09-11,17,7,阴,西南风,2级,12.0,10
2019-09-12,18,7,阴,西南风,3级,12.5,11
2019-09-13,8,5,阴,东南风,2级,6.5,3
2019-09-14,15,3,阴,西南风,4级,9.0,12
2019-09-15,12,5,阴,东北风,微风,8.5,7
2019-09-16,14,4,阴,东南风,3级,9.0,10
2019-09-17,9,5,阴,东南风,3级,7.0,4
2019-09-18,13,3,小雨,西北风,3级,8.0,10
2019-09-19,5,0,阴,东北风,2级,2.5,5
2019-09-20,5,0,阴,西南风,2级,2.5,5
2019-09-21,8,-1,雨夹雪,西南风,2级,3.5,9
2019-09-22,11,1,阴,西南风,2级,6.0,10
2019-09-23,5,0,阴,东南风,2级,2.5,5
2019-09-24,6,-2,阴,东南风,1级,2.0,8
2019-09-25,7,-4,阴,西北风,3级,1.5,11
2019-09-26,9,-5,晴,西北风,1级,2.0,14
2019-09-27,10,-4,多云,西南风,2级,3.0,14
2019-09-28,7,-3,多云,西南风,2级,2.0,10
2019-09-29,8,0,阴,东北风,微风,4.0,8
2019-09-30,8,1,阴,西北风,1级,4.5,7
2019-08-01,16,4,阴,东南风,3级,10.0,12
2019-08-02,13,1,阴,东南风,2级,7.0,12
2019-08-03,16,3,多云,东南风,2级,9.5,13
2019-08-04,14,6,中雨,东北风,3级,10.0,8
2019-08-05,11,2,小雨,东南风,3级,6.5,9
2019-08-06,14,2,多云,东南风,2级,8.0,12
2019-08-07,14,5,小雨,西南风,2级,9.5,9
2019-08-08,12,1,小雨,东北风,3级,6.5,11
2019-08-09,13,2,晴,西北风,3级,7.5,11
2019-08-10,16,1,晴,西南风,2级,8.5,15
2019-08-11,18,1,晴,西南风,1级,9.5,17
2019-08-12,18,4,晴,西南风,1级,11.0,14
2019-08-13,13,0,小雨,东北风,3级,6.5,13
2019-08-14,15,-1,晴,东北风,2级,7.0,16
2019-08-15,17,2,晴,西南风,2级,9.5,15
2019-08-16,20,4,多云,西南风,3级,12.0,16
2019-08-17,21,8,阴,东南风,1级,14.5,13
2019-08-18,19,9,小雨,西南风,1级,14.0,10
2019-08-19,19,7,阴,西南风,3级,13.0,12
