日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,17,晴,东南风,2级,24.0,14
2019-09-02,32,18,晴,南风,2级,25.0,14
2019-09-03,31,18,晴,东南风,3级,24.5,13
2019-09-04,31,19,晴,东南风,1级,25.0,12
2019-09-05,30,19,晴,东南风,1级,24.5,11
2019-09-06,32,19,晴,东南风,2级,25.5,13
2019-09-07,31,19,多云,东南风,1级,25.0,12
2019-09-08,33,21,多云,东北风,2级,27.0,12
2019-09-09,31,19,多云,东南风,2级,25.0,12
2019-09-10,23,15,阴,西北风,1级,19.0,8
2019-09-11,25,17,阴,东南风,1级,21.0,8
2019-09-12,26,18,阴,西南风,2级,22.0,8
2019-09-13,25,16,阴,东北风,1级,20.5,9
2019-09-14,28,17,晴,东南风,2级,22.5,11
2019-09-15,28,15,多云,西北风,1级,21.5,13
2019-09-16,27,12,晴,东南风,1级,19.5,15
2019-09-17,26,12,晴,西北风,2级,19.0,14
2019-09-18,23,12,晴,东南风,1级,17.5,11
2019-09-19,24,13,阴,西南风,2级,18.5,11
2019-09-20,27,14,阴,东北风,1级,20.5,13
2019-09-21,27,13,多云,西南风,1级,20.0,14
2019-09-22,29,12,晴,东北风,1级,20.5,17
2019-09-23,31,14,晴,西北风,1级,22.5,17
2019-09-24,31,13,晴,东南风,1级,22.0,18
2019-09-25,31,15,晴,西北风,1级,23.0,16
2019-09-26,29,13,晴,东南风,2级,21.0,16
2019-09-27,28,13,多云,西南风,2级,20.5,15
2019-09-28,29,16,阴,东南风,1级,22.5,13
2019-09-29,31,16,多云,东南风,2级,23.5,15
2019-09-30,30,16,晴,东南风,微风,23.0,14
2019-08-01,32,24,多云,西南风,1级,28.0,8
2019-08-02,25,21,小雨,东南风,1级,23.0,4
2019-08-03,30,22,阴,东南风,1级,26.0,8
2019-08-04,29,22,阴,东南风,2级,25.5,7
2019-08-05,29,23,大雨,东南风,1级,26.0,6
2019-08-06,28,23,小雨,东南风,1级,25.5,5
2019-08-07,28,22,阴,西北风,1级,25.0,6
2019-08-08,32,23,多云,东南风,2级,27.5,9
2019-08-09,31,23,阴,东南风,2级,27.0,8
2019-08-10,28,22,暴雨,东北风,1级,25.0,6
2019-08-11,25,20,小雨,东北风,3级,22.5,5
2019-08-12,22,20,暴雨,东北风,4级,21.0,2
2019-08-13,23,21,小雨,西北风,1级,22.0,2
2019-08-14,30,20,多云,东南风,2级,25.0,10
2019-08-15,32,21,晴,西南风,1级,26.5,11
2019-08-16,29,18,阴,西北风,1级,23.5,11
