日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,12,多云,西南风,3级,20.0,16
2019-09-02,31,11,晴,东北风,1级,21.0,20
2019-09-03,30,11,晴,东南风,2级,20.5,19
2019-09-04,30,11,晴,东南风,2级,20.5,19
2019-09-05,31,12,晴,东北风,2级,21.5,19
2019-09-06,31,13,晴,东北风,3级,22.0,18
2019-09-07,32,16,晴,东南风,1级,24.0,16
2019-09-08,34,15,晴,东南风,2级,24.5,19
2019-09-09,32,18,阴,东北风,2级,25.0,14
2019-09-10,22,16,阴,东北风,2级,19.0,6
2019-09-11,15,15,阴,东北风,2级,15.0,0
2019-09-12,19,14,阴,西南风,1级,16.5,5
2019-09-13,20,13,阴,东南风,2级,16.5,7
2019-09-14,20,13,阴,西南风,3级,16.5,7
2019-09-15,25,12,多云,西南风,1级,18.5,13
2019-09-16,26,12,多云,东南风,2级,19.0,14
2019-09-17,23,11,多云,东南风,微风,17.0,12
2019-09-18,25,12,多云,东南风,3级,18.5,13
2019-09-19,18,12,阴,西南风,2级,15.0,6
2019-09-20,22,9,阴,东北风,2级,15.5,13
2019-09-21,25,9,晴,东北风,2级,17.0,16
2019-09-22,26,9,晴,南风,微风,17.5,17
2019-09-23,25,8,多云,东南风,1级,16.5,17
2019-09-24,27,8,晴,东北风,1级,17.5,19
2019-09-25,27,8,晴,东北风,1级,17.5,19
2019-09-26,26,8,晴,西南风,1级,17.0,18
2019-09-27,25,10,晴,东南风,2级,17.5,15
2019-09-28,25,10,多云,东北风,1级,17.5,15
2019-09-29,27,12,阴,东北风,1级,19.5,15
2019-09-30,27,12,晴,东北风,1级,19.5,15
2019-08-01,34,19,多云,东北风,3级,26.5,15
2019-08-02,31,18,阴,东北风,4级,24.5,13
2019-08-03,25,19,阴,东北风,2级,22.0,6
2019-08-04,27,18,小雨,西南风,1级,22.5,9
2019-08-05,30,20,阴,南风,微风,25.0,10
2019-08-06,30,18,阴,东南风,2级,24.0,12
2019-08-07,32,18,多云,东北风,3级,25.0,14
2019-08-08,31,20,阴,东南风,1级,25.5,11
2019-08-09,28,18,阴,东南风,1级,23.0,10
2019-08-10,30,18,阴,东北风,2级,24.0,12
2019-08-11,30,18,多云,东北风,3级,24.0,12
2019-08-12,31,18,晴,东北风,3级,24.5,13
2019-08-13,32,20,晴,东北风,3级,26.0,12
2019-08-14,32,19,多云,西南风,1级,25.5,13
2019-08-15,33,16,晴,东南风,1级,24.5,17
2019-08-16,27,14,晴,东北风,2级,20.5,13
2019-08-17,28,13,晴,西南风,1级,20.5,15
2019-08-18,32,17,阴,东北风,2级,24.5,15
2019-08-19,32,20,多云,西北风,3级,26.0,12
2019-08-20,25,19,小雨,西南风,2级,22.0,6
2019-08-21,31,18,晴,东北风,3级,24.5,13
2019-08-22,23,18,阴,西南风,1级,20.5,5
2019-08-23,26,18,阴,西南风,2级,22.0,8
2019-08-24,17,16,中雨,东北风,1级,16.5,1
2019-08-25,26,18,阴,东北风,3级,22.0,8
2019-08-26,24,16,小雨,西北风,1级,20.0,8
2019-08-27,29,14,多云,西北风,微风,21.5,15
2019-08-28,30,11,晴,东北风,3级,20.5,19
2019-08-29,27,8,晴,西北风,3级,17.5,19
2019-08-30,28,12,多云,东北风,1级,20.0,16
2019-08-31,29,13,晴,西北风,1级,21.0,16
2019-07-01,32,15,多云,北风,微风,23.5,17
2019-07-02,35,19,多云,西北风,2级,27.0,16
2019-07-03,35,20,晴,东北风,4级,27.5,15
2019-07-04,35,21,多云,西南风,3级,28.0,14
2019-07-05,35,16,阴,西北风,2级,25.5,19
2019-07-06,28,15,晴,东北风,4级,21.5,13
2019-07-07,29,16,晴,东北风,4级,22.5,13
2019-07-08,28,18,阴,东南风,3级,23.0,10
2019-07-09,24,14,小雨,西南风,2级,19.0,10
2019-07-10,27,16,阴,西北风,3级,21.5,11
2019-07-11,27,18,阴,东南风,2级,22.5,9
2019-07-12,31,15,多云,东南风,1级,23.0,16
2019-07-13,33,18,多云,东北风,2级,25.5,15
2019-07-14,34,19,阴,西北风,1级,26.5,15
2019-07-15,33,20,阴,东北风,3级,26.5,13
2019-07-16,27,19,阴,东南风,2级,23.0,8
2019-07-17,31,20,多云,西南风,2级,25.5,11
2019-07-18,34,20,多云,东北风,3级,27.0,14
2019-07-19,32,22,阴,西南风,2级,27.0,10
2019-07-20,29,19,小雨,东北风,1级,24.0,10
2019-07-21,35,21,阴,东北风,2级,28.0,14
2019-07-22,24,20,中雨,东北风,1级,22.0,4
2019-07-23,33,19,晴,西南风,1级,26.0,14
2019-07-24,33,20,多云,东北风,1级,26.5,13
2019-07-25,34,20,晴,东南风,1级,27.0,14
2019-07-26,37,21,晴,东南风,2级,29.0,16
2019-07-27,35,23,多云,东北风,3级,29.0,12
2019-07-28,36,23,阴,西北风,3级,29.5,13
2019-07-29,27,17,小雨,东南风,2级,22.0,10
2019-07-30,33,17,多云,东北风,1级,25.0,16
2019-07-31,34,18,晴,西北风,3级,26.0,16
2019-06-01,31,12,多云,西北风,1级,21.5,19
2019-06-02,34,12,晴,西北风,1级,23.0,22
2019-06-03,33,14,多云,西南风,1级,23.5,19
2019-06-04,31,17,阴,东北风,2级,24.0,14
2019-06-05,18,15,阴,东北风,1级,16.5,3
2019-06-06,27,16,多云,东北风,4级,21.5,11
2019-06-07,28,15,阴,东北风,1级,21.5,13
2019-06-08,32,12,多云,东南风,1级,22.0,20
2019-06-09,30,14,晴,北风,3级,22.0,16
2019-06-10,32,15,阴,西南风,1级,23.5,17
2019-06-11,32,19,阴,东南风,3级,25.5,13
2019-06-12,29,17,雷阵雨,西北风,3级,23.0,12
2019-06-13,31,14,多云,西北风,2级,22.5,17
2019-06-14,33,16,晴,东北风,1级,24.5,17
2019-06-15,32,19,阴,东北风,3级,25.5,13
2019-06-16,27,16,阴,东北风,2级,21.5,11
2019-06-17,32,18,多云,东北风,3级,25.0,14
2019-06-18,34,21,多云,西南风,1级,27.5,13
2019-06-19,34,20,阴,东北风,2级,27.0,14
2019-06-20,32,18,阴,东北风,3级,25.0,14
2019-06-21,29,19,阴,东南风,2级,24.0,10
2019-06-22,31,20,多云,东南风,3级,25.5,11
2019-06-23,33,19,阴,南风,微风,26.0,14
2019-06-24,31,17,阴,西南风,3级,24.0,14
2019-06-25,32,17,晴,东南风,1级,24.5,15
2019-06-26,32,22,多云,东北风,2级,27.0,10
2019-06-27,28,18,小雨,西北风,5级,23.0,10
2019-06-28,29,16,阴,西南风,2级,22.5,13
2019-06-29,33,16,多云,北风,3级,24.5,17
2019-06-30,31,15,多云,西北风,1级,23.0,16
2019-05-01,22,4,阴,西北风,2级,13.0,18
2019-05-02,24,7,晴,西南风,1级,15.5,17
2019-05-03,26,10,阴,西南风,1级,18.0,16
2019-05-04,27,12,晴,东北风,4级,19.5,15
2019-05-05,22,7,阴,东南风,2级,14.5,15
2019-05-06,18,8,阴,东南风,1级,13.0,10
2019-05-07,22,9,阴,西南风,3级,15.5,13
2019-05-08,18,7,阴,西北风,3级,12.5,11
2019-05-09,25,11,多云,西北风,1级,18.0,14
2019-05-10,22,9,阴,西南风,2级,15.5,13
2019-05-11,26,11,阴,西南风,2级,18.5,15
2019-05-12,19,3,扬沙,西北风,2级,11.0,16
2019-05-13,23,7,晴,西南风,3级,15.0,16
2019-05-14,23,10,阴,西北风,2级,16.5,13
2019-05-15,30,10,多云,西北风,2级,20.0,20
2019-05-16,28,10,阴,东北风,1级,19.0,18
2019-05-17,30,14,晴,东南风,1级,22.0,16
2019-05-18,28,13,阴,东南风,3级,20.5,15
2019-05-19,20,5,多云,西北风,4级,12.5,15
2019-05-20,24,4,晴,西南风,3级,14.0,20
2019-05-21,30,9,晴,西北风,1级,19.5,21
2019-05-22,32,10,晴,西南风,1级,21.0,22
2019-05-23,34,13,晴,西南风,4级,23.5,21
2019-05-24,31,14,多云,东北风,1级,22.5,17
2019-05-25,35,17,晴,东北风,3级,26.0,18
2019-05-26,29,11,晴,西北风,2级,20.0,18
2019-05-27,24,9,多云,东北风,2级,16.5,15
2019-05-28,28,10,晴,西南风,2级,19.0,18
2019-05-29,30,13,多云,东南风,1级,21.5,17
2019-05-30,30,11,晴,东北风,4级,20.5,19
2019-05-31,29,13,晴,西南风,1级,21.0,16
2019-04-01,19,1,晴,东北风,3级,10.0,18
2019-04-02,21,1,阴,东北风,5级,11.0,20
2019-04-03,20,4,多云,南风,微风,12.0,16
2019-04-04,23,3,阴,东北风,1级,13.0,20
2019-04-05,28,6,多云,西南风,1级,17.0,22
2019-04-06,21,6,阴,东北风,3级,13.5,15
2019-04-07,24,6,多云,西南风,1级,15.0,18
2019-04-08,16,3,阴,东北风,3级,9.5,13
2019-04-09,7,0,阴,东南风,2级,3.5,7
2019-04-10,16,2,阴,西北风,2级,9.0,14
2019-04-11,15,0,阴,东北风,1级,7.5,15
2019-04-12,14,4,阴,西南风,3级,9.0,10
2019-04-13,14,1,阴,西北风,2级,7.5,13
2019-04-14,19,0,阴,西南风,2级,9.5,19
2019-04-15,22,4,阴,东北风,3级,13.0,18
2019-04-16,24,6,阴,西南风,2级,15.0,18
2019-04-17,27,14,晴,东南风,1级,20.5,13
2019-04-18,23,6,晴,东北风,4级,14.5,17
2019-04-19,15,7,阴,东南风,1级,11.0,8
2019-04-20,13,6,阴,东南风,1级,9.5,7
2019-04-21,26,10,阴,东北风,3级,18.0,16
2019-04-22,23,10,阴,西南风,3级,16.5,13
2019-04-23,28,13,晴,东南风,1级,20.5,15
2019-04-24,27,10,阴,东北风,1级,18.5,17
2019-04-25,18,5,阴,东北风,3级,11.5,13
2019-04-26,17,6,阴,东北风,4级,11.5,11
2019-04-27,9,4,晴,东北风,2级,6.5,5
2019-04-28,16,4,阴,东南风,1级,10.0,12
2019-04-29,24,8,多云,西北风,2级,16.0,16
2019-04-30,20,3,晴,西北风,3级,11.5,17
2019-03-01,14,0,多云,东南风,3级,7.0,14
2019-03-02,13,-1,阴,西南风,2级,6.0,14
2019-03-03,13,0,多云,西南风,1级,6.5,13
2019-03-04,15,0,多云,西南风,微风,7.5,15
2019-03-05,15,-5,晴,东北风,2级,5.0,20
2019-03-06,12,-7,晴,东北风,3级,2.5,19
2019-03-07,11,-3,多云,西南风,1级,4.0,14
2019-03-08,13,-2,阴,东南风,2级,5.5,15
2019-03-09,15,-2,晴,东北风,3级,6.5,17
2019-03-10,12,-4,晴,西北风,2级,4.0,16
2019-03-11,14,-3,晴,西北风,2级,5.5,17
2019-03-12,12,-3,晴,西南风,3级,4.5,15
2019-03-13,13,-3,晴,西北风,3级,5.0,16
2019-03-14,15,-5,晴,西北风,3级,5.0,20
2019-03-15,18,-2,晴,西北风,3级,8.0,20
2019-03-16,21,0,晴,北风,2级,10.5,21
2019-03-17,18,4,阴,西北风,1级,11.0,14
2019-03-18,18,2,阴,西北风,1级,10.0,16
2019-03-19,22,8,多云,东北风,3级,15.0,14
2019-03-20,16,1,阴,西北风,7级,8.5,15
2019-03-21,10,-5,晴,西北风,2级,2.5,15
2019-03-22,13,-6,晴,西南风,2级,3.5,19
2019-03-23,11,-4,晴,西北风,1级,3.5,15
2019-03-24,16,-2,阴,西北风,2级,7.0,18
2019-03-25,19,0,晴,西北风,2级,9.5,19
2019-03-26,21,1,多云,西南风,2级,11.0,20
2019-03-27,21,1,阴,西南风,2级,11.0,20
2019-03-28,13,2,阴,东北风,2级,7.5,11
2019-03-29,14,-3,阴,东北风,4级,5.5,17
2019-03-30,11,-4,晴,西北风,3级,3.5,15
2019-03-31,14,-2,晴,西南风,2级,6.0,16
2019-02-01,3,-10,晴,西北风,1级,-3.5,13
2019-02-02,4,-8,阴,西北风,3级,-2.0,12
2019-02-03,6,-11,阴,西北风,2级,-2.5,17
2019-02-04,12,-6,晴,西南风,2级,3.0,18
2019-02-05,11,-7,多云,东北风,1级,2.0,18
2019-02-06,8,-11,阴,西北风,2级,-1.5,19
2019-02-07,0,-7,阴,西北风,1级,-3.5,7
2019-02-08,0,-11,阴,西北风,2级,-5.5,11
2019-02-09,-1,-8,阴,西南风,1级,-4.5,7
2019-02-10,0,-10,阴,东南风,2级,-5.0,10
2019-02-11,5,-9,多云,东南风,4级,-2.0,14
2019-02-12,5,-9,多云,东北风,2级,-2.0,14
2019-02-13,-3,-5,阴,东北风,3级,-4.0,2
2019-02-14,0,-9,阴,西南风,微风,-4.5,9
2019-02-15,2,-13,晴,西南风,2级,-5.5,15
2019-02-16,3,-11,晴,西北风,4级,-4.0,14
2019-02-17,4,-6,阴,西北风,1级,-1.0,10
2019-02-18,0,-6,阴,东南风,2级,-3.0,6
2019-02-19,6,-9,多云,西北风,2级,-1.5,15
2019-02-20,10,-9,多云,西北风,2级,0.5,19
