日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,18,晴,东南风,2级,24.5,13
2019-09-02,32,18,晴,西南风,微风,25.0,14
2019-09-03,32,18,晴,东南风,2级,25.0,14
2019-09-04,29,18,多云,西南风,1级,23.5,11
2019-09-05,30,18,晴,西南风,1级,24.0,12
2019-09-06,32,19,晴,东南风,2级,25.5,13
2019-09-07,32,21,晴,西南风,3级,26.5,11
2019-09-08,34,22,多云,东南风,2级,28.0,12
2019-09-09,33,22,多云,东北风,3级,27.5,11
2019-09-10,25,18,阴,东北风,1级,21.5,7
2019-09-11,24,18,阴,北风,微风,21.0,6
2019-09-12,20,18,阴,东南风,2级,19.0,2
2019-09-13,23,17,阴,西北风,2级,20.0,6
2019-09-14,29,18,多云,西南风,1级,23.5,11
2019-09-15,28,17,多云,西南风,4级,22.5,11
2019-09-16,26,16,多云,东南风,2级,21.0,10
2019-09-17,25,16,阴,西南风,3级,20.5,9
2019-09-18,24,13,晴,东南风,2级,18.5,11
2019-09-19,23,16,阴,东南风,2级,19.5,7
2019-09-20,24,16,阴,西南风,2级,20.0,8
2019-09-21,27,14,晴,东北风,2级,20.5,13
2019-09-22,27,14,晴,西南风,2级,20.5,13
2019-09-23,29,15,晴,西南风,2级,22.0,14
2019-09-24,30,15,晴,东风,1级,22.5,15
2019-09-25,30,13,晴,南风,微风,21.5,17
2019-09-26,30,13,晴,东南风,1级,21.5,17
2019-09-27,29,16,晴,东南风,2级,22.5,13
2019-09-28,30,18,晴,西南风,1级,24.0,12
2019-09-29,31,20,晴,东南风,2级,25.5,11
2019-09-30,30,20,晴,东南风,1级,25.0,10
2019-08-01,34,23,多云,东南风,4级,28.5,11
2019-08-02,27,23,小雨,东北风,1级,25.0,4
2019-08-03,30,23,阴,东北风,2级,26.5,7
2019-08-04,29,24,中雨,东北风,微风,26.5,5
2019-08-05,31,24,中雨,东北风,1级,27.5,7
2019-08-06,32,24,阴,东南风,1级,28.0,8
2019-08-07,29,24,小雨,东南风,1级,26.5,5
2019-08-08,32,24,多云,东南风,1级,28.0,8
2019-08-09,31,25,中雨,西北风,3级,28.0,6
2019-08-10,28,23,小雨,东南风,2级,25.5,5
2019-08-11,24,22,中雨,西北风,5级,23.0,2
2019-08-12,24,21,中雨,西北风,4级,22.5,3
2019-08-13,26,21,小雨,东南风,1级,23.5,5
2019-08-14,31,21,多云,东南风,2级,26.0,10
2019-08-15,33,22,晴,西南风,2级,27.5,11
2019-08-16,29,19,多云,西北风,2级,24.0,10
2019-08-17,31,19,晴,西南风,2级,25.0,12
2019-08-18,31,20,晴,西南风,2级,25.5,11
2019-08-19,32,21,多云,东南风,2级,26.5,11
2019-08-20,27,20,阴,东北风,2级,23.5,7
2019-08-21,30,19,晴,西北风,1级,24.5,11
2019-08-22,29,20,阴,西南风,1级,24.5,9
2019-08-23,31,20,多云,东北风,2级,25.5,11
2019-08-24,30,20,阴,西北风,2级,25.0,10
2019-08-25,29,20,多云,西南风,2级,24.5,9
2019-08-26,27,20,阴,西北风,1级,23.5,7
2019-08-27,32,19,阴,西南风,3级,25.5,13
2019-08-28,31,18,晴,西北风,2级,24.5,13
2019-08-29,29,18,晴,南风,微风,23.5,11
2019-08-30,30,17,晴,东南风,1级,23.5,13
2019-08-31,30,17,晴,西南风,1级,23.5,13
2019-07-01,35,22,晴,东南风,3级,28.5,13
2019-07-02,38,23,多云,东南风,2级,30.5,15
2019-07-03,36,23,晴,东南风,2级,29.5,13
2019-07-04,38,27,晴,西南风,4级,32.5,11
2019-07-05,39,22,多云,东北风,2级,30.5,17
2019-07-06,22,20,小雨,西北风,2级,21.0,2
2019-07-07,27,21,阴,东北风,2级,24.0,6
2019-07-08,29,20,阴,东南风,2级,24.5,9
2019-07-09,30,22,阴,东南风,1级,26.0,8
2019-07-10,28,20,阴,东北风,1级,24.0,8
2019-07-11,29,20,多云,北风,微风,24.5,9
2019-07-12,34,23,晴,西南风,2级,28.5,11
2019-07-13,34,24,晴,东南风,2级,29.0,10
2019-07-14,31,22,多云,东南风,3级,26.5,9
2019-07-15,34,23,多云,东南风,2级,28.5,11
2019-07-16,33,24,阴,东北风,2级,28.5,9
2019-07-17,31,24,阴,东南风,2级,27.5,7
2019-07-18,33,24,多云,东南风,3级,28.5,9
2019-07-19,33,24,多云,东南风,3级,28.5,9
2019-07-20,30,25,阴,东南风,1级,27.5,5
2019-07-21,36,25,晴,西南风,2级,30.5,11
2019-07-22,35,25,阴,北风,微风,30.0,10
2019-07-23,33,25,阴,东南风,1级,29.0,8
2019-07-24,37,27,晴,东南风,3级,32.0,10
2019-07-25,34,26,阴,西南风,3级,30.0,8
2019-07-26,37,26,晴,西南风,2级,31.5,11
2019-07-27,37,27,晴,东南风,1级,32.0,10
2019-07-28,35,29,阴,西南风,2级,32.0,6
2019-07-29,31,22,大雨,东北风,微风,26.5,9
2019-07-30,32,25,多云,西南风,3级,28.5,7
2019-07-31,34,26,多云,西南风,2级,30.0,8
2019-06-01,30,20,阴,东南风,2级,25.0,10
2019-06-02,35,22,多云,东南风,1级,28.5,13
2019-06-03,33,21,多云,东南风,2级,27.0,12
2019-06-04,26,19,阴,东北风,4级,22.5,7
2019-06-05,26,20,阴,东北风,1级,23.0,6
2019-06-06,24,16,阴,东北风,1级,20.0,8
2019-06-07,31,21,阴,西南风,2级,26.0,10
2019-06-08,34,19,晴,东南风,2级,26.5,15
2019-06-09,30,18,晴,东南风,2级,24.0,12
2019-06-10,33,19,晴,东南风,3级,26.0,14
2019-06-11,35,23,晴,东南风,2级,29.0,12
2019-06-12,37,24,晴,西南风,3级,30.5,13
2019-06-13,32,20,阴,东南风,2级,26.0,12
2019-06-14,36,19,晴,东南风,3级,27.5,17
2019-06-15,32,21,阴,东南风,3级,26.5,11
2019-06-16,23,16,小雨,东北风,3级,19.5,7
2019-06-17,32,21,晴,东北风,2级,26.5,11
2019-06-18,37,23,晴,东北风,2级,30.0,14
2019-06-19,31,24,多云,东北风,2级,27.5,7
2019-06-20,33,23,阴,北风,微风,28.0,10
2019-06-21,29,21,晴,东南风,3级,25.0,8
