日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,19,多云,西南风,2级,24.5,11
2019-09-02,30,20,多云,西北风,3级,25.0,10
2019-09-03,32,19,多云,西北风,2级,25.5,13
2019-09-04,30,21,多云,西北风,3级,25.5,9
2019-09-05,31,21,多云,西北风,1级,26.0,10
2019-09-06,33,21,多云,东北风,微风,27.0,12
2019-09-07,33,22,晴,东南风,1级,27.5,11
2019-09-08,32,24,多云,东南风,1级,28.0,8
2019-09-09,33,23,晴,西北风,2级,28.0,10
2019-09-10,32,23,阴,西北风,2级,27.5,9
2019-09-11,32,24,多云,西南风,2级,28.0,8
2019-09-12,34,25,多云,东南风,2级,29.5,9
2019-09-13,34,21,阴,西北风,3级,27.5,13
2019-09-14,27,21,多云,西北风,2级,24.0,6
2019-09-15,29,19,多云,西北风,2级,24.0,10
2019-09-16,23,19,阴,西北风,3级,21.0,4
2019-09-17,21,18,阴,西北风,5级,19.5,3
2019-09-18,20,18,小雨,西北风,2级,19.0,2
2019-09-19,27,19,多云,西北风,2级,23.0,8
2019-09-20,26,17,阴,西北风,2级,21.5,9
2019-09-21,30,16,晴,西北风,3级,23.0,14
2019-09-22,30,16,晴,西北风,1级,23.0,14
2019-09-23,31,17,多云,西南风,2级,24.0,14
2019-09-24,31,20,阴,西北风,1级,25.5,11
2019-09-25,27,18,阴,西北风,1级,22.5,9
2019-09-26,31,18,晴,西南风,2级,24.5,13
2019-09-27,31,17,晴,西北风,3级,24.0,14
2019-09-28,32,17,晴,西南风,1级,24.5,15
2019-09-29,33,16,晴,东南风,1级,24.5,17
2019-09-30,35,17,晴,东南风,1级,26.0,18
2019-08-01,34,24,阴,西北风,1级,29.0,10
2019-08-02,34,24,阴,西北风,3级,29.0,10
2019-08-03,32,24,阴,西北风,2级,28.0,8
2019-08-04,34,24,阴,西北风,2级,29.0,10
2019-08-05,35,25,多云,西北风,1级,30.0,10
2019-08-06,34,24,阴,东南风,1级,29.0,10
2019-08-07,28,24,小雨,西北风,微风,26.0,4
2019-08-08,34,25,阴,西北风,2级,29.5,9
2019-08-09,35,24,多云,西北风,3级,29.5,11
2019-08-10,36,23,多云,西南风,2级,29.5,13
2019-08-11,35,24,多云,西北风,2级,29.5,11
2019-08-12,37,24,多云,西南风,微风,30.5,13
2019-08-13,37,24,多云,西北风,3级,30.5,13
2019-08-14,37,25,晴,东南风,1级,31.0,12
2019-08-15,37,23,多云,西南风,1级,30.0,14
2019-08-16,39,24,晴,东南风,2级,31.5,15
2019-08-17,36,25,多云,西南风,2级,30.5,11
2019-08-18,36,25,多云,西北风,微风,30.5,11
2019-08-19,38,25,多云,西南风,1级,31.5,13
2019-08-20,38,25,阴,东南风,1级,31.5,13
2019-08-21,36,24,阴,东北风,2级,30.0,12
2019-08-22,34,24,阴,东北风,2级,29.0,10
2019-08-23,34,25,多云,西北风,2级,29.5,9
2019-08-24,35,24,多云,西北风,2级,29.5,11
2019-08-25,38,24,多云,西北风,2级,31.0,14
2019-08-26,34,24,多云,西北风,2级,29.0,10
2019-08-27,27,23,小雨,西北风,3级,25.0,4
2019-08-28,27,22,小雨,西北风,2级,24.5,5
2019-08-29,35,21,晴,东北风,1级,28.0,14
2019-08-30,32,20,多云,东南风,1级,26.0,12
2019-08-31,27,19,阴,西北风,2级,23.0,8
2019-07-01,33,21,阴,西南风,1级,27.0,12
2019-07-02,35,22,阴,西北风,1级,28.5,13
2019-07-03,34,23,多云,西南风,1级,28.5,11
2019-07-04,27,20,阴,西北风,2级,23.5,7
2019-07-05,32,21,晴,东南风,2级,26.5,11
2019-07-06,35,23,阴,东南风,1级,29.0,12
2019-07-07,33,24,小雨,东南风,1级,28.5,9
2019-07-08,25,20,小雨,西北风,1级,22.5,5
2019-07-09,29,20,多云,西北风,1级,24.5,9
2019-07-10,32,21,多云,西北风,2级,26.5,11
2019-07-11,29,22,阴,西南风,1级,25.5,7
2019-07-12,25,20,中雨,西北风,2级,22.5,5
2019-07-13,32,20,多云,东南风,1级,26.0,12
2019-07-14,32,20,多云,东南风,2级,26.0,12
2019-07-15,33,22,多云,西南风,1级,27.5,11
2019-07-16,31,24,阴,西南风,3级,27.5,7
2019-07-17,32,24,阴,西北风,2级,28.0,8
2019-07-18,27,23,小雨,西北风,2级,25.0,4
2019-07-19,32,23,多云,东北风,1级,27.5,9
2019-07-20,34,24,阴,西南风,1级,29.0,10
2019-07-21,33,25,阴,西北风,1级,29.0,8
2019-07-22,35,25,多云,西南风,2级,30.0,10
2019-07-23,35,24,小雨,东北风,1级,29.5,11
2019-07-24,35,25,阴,西北风,1级,30.0,10
2019-07-25,36,23,多云,东南风,2级,29.5,13
2019-07-26,36,26,多云,东南风,2级,31.0,10
2019-07-27,35,26,晴,西南风,2级,30.5,9
2019-07-28,36,27,多云,东南风,2级,31.5,9
2019-07-29,36,25,多云,西北风,1级,30.5,11
2019-07-30,33,24,阴,西南风,2级,28.5,9
2019-07-31,34,23,阴,西北风,1级,28.5,11
2019-06-01,29,19,阴,西南风,2级,24.0,10
2019-06-02,33,19,晴,东南风,2级,26.0,14
2019-06-03,33,20,晴,西南风,2级,26.5,13
2019-06-04,35,23,晴,东南风,2级,29.0,12
2019-06-05,28,21,阴,北风,2级,24.5,7
2019-06-06,30,21,多云,东南风,2级,25.5,9
2019-06-07,31,22,多云,东南风,1级,26.5,9
2019-06-08,31,23,阴,西北风,2级,27.0,8
2019-06-09,31,23,阴,东南风,1级,27.0,8
2019-06-10,33,22,多云,西北风,1级,27.5,11
2019-06-11,28,19,阴,西北风,3级,23.5,9
2019-06-12,24,17,小雨,西北风,1级,20.5,7
2019-06-13,29,17,晴,西南风,1级,23.0,12
2019-06-14,32,18,多云,东南风,2级,25.0,14
2019-06-15,28,19,阴,西北风,2级,23.5,9
2019-06-16,23,20,阴,东南风,2级,21.5,3
2019-06-17,24,20,小雨,西南风,1级,22.0,4
2019-06-18,30,22,阴,东南风,2级,26.0,8
2019-06-19,29,24,阴,西南风,2级,26.5,5
2019-06-20,29,21,雾,西北风,3级,25.0,8
2019-06-21,24,21,阴,西北风,2级,22.5,3
2019-06-22,25,21,阴,西北风,2级,23.0,4
2019-06-23,31,20,多云,西北风,1级,25.5,11
2019-06-24,30,20,阴,北风,1级,25.0,10
2019-06-25,30,21,多云,东南风,1级,25.5,9
2019-06-26,31,22,多云,西南风,2级,26.5,9
2019-06-27,32,24,多云,西南风,1级,28.0,8
2019-06-28,26,21,小雨,西北风,3级,23.5,5
2019-06-29,27,21,小雨,西南风,2级,24.0,6
2019-06-30,33,22,多云,东北风,1级,27.5,11
2019-05-01,27,14,阴,西南风,1级,20.5,13
2019-05-02,27,13,阴,西南风,2级,20.0,14
2019-05-03,28,15,多云,东南风,2级,21.5,13
2019-05-04,30,16,阴,东南风,2级,23.0,14
2019-05-05,21,13,阴,西北风,1级,17.0,8
2019-05-06,16,13,阴,西北风,3级,14.5,3
2019-05-07,17,10,阴,西北风,1级,13.5,7
2019-05-08,25,13,阴,西南风,1级,19.0,12
2019-05-09,24,14,阴,西南风,1级,19.0,10
2019-05-10,30,15,多云,东南风,1级,22.5,15
2019-05-11,30,17,多云,西南风,1级,23.5,13
2019-05-12,23,16,阴,东南风,1级,19.5,7
2019-05-13,21,15,阴,南风,微风,18.0,6
2019-05-14,16,16,阴,西北风,1级,16.0,0
2019-05-15,27,16,多云,西南风,1级,21.5,11
2019-05-16,26,17,阴,北风,3级,21.5,9
2019-05-17,31,18,多云,西南风,1级,24.5,13
2019-05-18,27,20,阴,西北风,1级,23.5,7
2019-05-19,25,18,阴,西北风,3级,21.5,7
2019-05-20,21,16,阴,南风,微风,18.5,5
2019-05-21,21,13,阴,西北风,1级,17.0,8
2019-05-22,32,15,阴,西南风,1级,23.5,17
2019-05-23,32,17,晴,东南风,1级,24.5,15
2019-05-24,30,20,阴,西北风,2级,25.0,10
2019-05-25,23,19,阴,西南风,1级,21.0,4
2019-05-26,31,21,晴,东南风,2级,26.0,10
2019-05-27,31,18,晴,西北风,1级,24.5,13
2019-05-28,23,15,阴,西北风,4级,19.0,8
2019-05-29,20,16,阴,东南风,2级,18.0,4
2019-05-30,22,16,阴,东南风,2级,19.0,6
2019-05-31,28,17,多云,东南风,1级,22.5,11
2019-04-01,22,10,晴,东南风,3级,16.0,12
2019-04-02,11,9,阴,西北风,3级,10.0,2
2019-04-03,20,10,阴,东南风,1级,15.0,10
2019-04-04,21,9,多云,东南风,2级,15.0,12
2019-04-05,28,11,多云,东南风,2级,19.5,17
2019-04-06,30,12,晴,西南风,2级,21.0,18
2019-04-07,30,15,晴,东南风,2级,22.5,15
2019-04-08,30,15,多云,东南风,2级,22.5,15
2019-04-09,15,7,阴,东北风,2级,11.0,8
2019-04-10,13,6,阴,西南风,2级,9.5,7
2019-04-11,20,8,阴,东南风,2级,14.0,12
2019-04-12,20,11,多云,东南风,1级,15.5,9
2019-04-13,20,14,多云,东南风,微风,17.0,6
2019-04-14,21,9,阴,北风,1级,15.0,12
2019-04-15,21,10,多云,东南风,2级,15.5,11
2019-04-16,29,12,多云,东南风,2级,20.5,17
2019-04-17,27,15,雾,西南风,2级,21.0,12
2019-04-18,30,18,多云,东南风,2级,24.0,12
2019-04-19,23,17,阴,西北风,2级,20.0,6
2019-04-20,18,16,阴,西北风,1级,17.0,2
2019-04-21,20,14,阴,西北风,2级,17.0,6
2019-04-22,23,14,阴,西南风,2级,18.5,9
2019-04-23,23,16,阴,东南风,1级,19.5,7
2019-04-24,23,17,阴,西南风,1级,20.0,6
2019-04-25,28,16,多云,东南风,2级,22.0,12
2019-04-26,19,11,阴,西北风,3级,15.0,8
2019-04-27,14,11,阴,西南风,1级,12.5,3
2019-04-28,16,11,阴,西北风,2级,13.5,5
2019-04-29,21,12,阴,东南风,1级,16.5,9
2019-04-30,27,13,多云,西南风,1级,20.0,14
2019-03-01,9,5,阴,西北风,1级,7.0,4
2019-03-02,11,1,阴,西南风,2级,6.0,10
2019-03-03,16,4,晴,东南风,1级,10.0,12
2019-03-04,14,4,雾,西北风,2级,9.0,10
2019-03-05,13,7,阴,东北风,1级,10.0,6
2019-03-06,19,6,多云,东北风,2级,12.5,13
2019-03-07,16,5,阴,西北风,2级,10.5,11
2019-03-08,12,3,阴,西南风,2级,7.5,9
2019-03-09,18,2,阴,东南风,1级,10.0,16
2019-03-10,21,6,晴,东南风,微风,13.5,15
2019-03-11,21,6,阴,东北风,1级,13.5,15
2019-03-12,23,8,多云,东南风,1级,15.5,15
2019-03-13,12,7,阴,西北风,3级,9.5,5
2019-03-14,21,7,多云,西南风,2级,14.0,14
2019-03-15,23,8,阴,东南风,1级,15.5,15
2019-03-16,22,10,阴,东南风,2级,16.0,12
2019-03-17,15,6,阴,东南风,2级,10.5,9
2019-03-18,22,9,晴,西南风,2级,15.5,13
2019-03-19,17,12,多云,西南风,1级,14.5,5
2019-03-20,27,12,多云,东南风,1级,19.5,15
2019-03-21,16,4,阴,西北风,2级,10.0,12
2019-03-22,7,3,阴,西北风,2级,5.0,4
2019-03-23,19,5,阴,东南风,1级,12.0,14
2019-03-24,15,3,阴,东南风,2级,9.0,12
2019-03-25,21,6,多云,东北风,2级,13.5,15
2019-03-26,22,9,阴,东南风,2级,15.5,13
2019-03-27,25,13,多云,东南风,1级,19.0,12
2019-03-28,25,10,阴,东南风,2级,17.5,15
2019-03-29,24,8,多云,西北风,1级,16.0,16
2019-03-30,17,7,阴,西北风,3级,12.0,10
2019-03-31,20,6,阴,东南风,1级,13.0,14
2019-02-01,8,3,雾,东南风,3级,5.5,5
2019-02-02,7,7,多云,北风,2级,7.0,0
2019-02-03,14,3,雾,西南风,2级,8.5,11
2019-02-04,14,1,多云,西南风,1级,7.5,13
2019-02-05,16,6,阴,东南风,2级,11.0,10
2019-02-06,10,3,多云,西北风,2级,6.5,7
2019-02-07,6,0,阴,西北风,4级,3.0,6
2019-02-08,0,-1,阴,西北风,1级,-0.5,1
2019-02-09,1,0,小雪,北风,3级,0.5,1
2019-02-10,1,-2,雨夹雪,东南风,2级,-0.5,3
2019-02-11,3,0,多云,东南风,3级,1.5,3
2019-02-12,3,0,阴,西北风,2级,1.5,3
2019-02-13,3,1,雾,东南风,1级,2.0,2
2019-02-14,3,1,阴,东南风,1级,2.0,2
2019-02-15,4,2,雾,北风,1级,3.0,2
2019-02-16,6,0,阴,东北风,3级,3.0,6
2019-02-17,5,0,阴,西南风,1级,2.5,5
2019-02-18,2,-2,雨夹雪,东南风,2级,0.0,4
2019-02-19,4,0,雾,东南风,1级,2.0,4
2019-02-20,8,2,雨夹雪,东北风,3级,5.0,6
2019-02-21,6,0,阴,东北风,1级,3.0,6
2019-02-22,11,3,多云,东南风,1级,7.0,8
2019-02-23,11,3,多云,西北风,1级,7.0,8
2019-02-24,11,4,多云,东南风,1级,7.5,7
2019-02-25,14,6,多云,西北风,2级,10.0,8
2019-02-26,8,7,阴,西北风,2级,7.5,1
2019-02-27,10,3,阴,西南风,2级,6.5,7
2019-02-28,13,6,阴,东南风,2级,9.5,7
2019-01-01,2,-1,多云,西南风,2级,0.5,3
2019-01-02,4,-2,多云,西南风,1级,1.0,6
2019-01-03,4,2,多云,东南风,1级,3.0,2
2019-01-04,5,2,阴,西北风,2级,3.5,3
2019-01-05,6,-1,多云,东南风,2级,2.5,7
2019-01-06,3,3,雾,西北风,2级,3.0,0
2019-01-07,5,1,雾,西南风,1级,3.0,4
2019-01-08,6,1,雾,西北风,2级,3.5,5
2019-01-09,1,0,雨夹雪,西南风,1级,0.5,1
2019-01-10,2,1,多云,西北风,1级,1.5,1
2019-01-11,5,-1,阴,东北风,1级,2.0,6
