日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-09-02,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-09-03,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-09-04,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-09-05,17,0,零散阵雨,,,8.5,17
2019-09-06,18,0,阵雨,南风,2级,9.0,18
2019-09-07,19,0,雨,东北偏东风,2级,9.5,19
2019-09-08,15,0,零散阵雨,西南偏西风,3级,7.5,15
2019-09-09,26,13,局部多云,北风,2级,19.5,13
2019-09-10,27,11,阴,东北风,2级,19.0,16
2019-09-11,22,9,少云,东北风,2级,15.5,13
2019-09-12,13,0,局部多云,,,6.5,13
2019-09-13,16,0,雨,西南偏南风,3级,8.0,16
2019-09-14,8,0,局部多云,,2级,4.0,8
2019-09-15,9,0,局部多云,西南偏西风,1级,4.5,9
2019-09-16,6,0,少云,北风,2级,3.0,6
2019-09-17,9,0,局部多云,西南风,2级,4.5,9
2019-09-18,19,4,晴,东北风,2级,11.5,15
2019-09-19,6,0,局部多云,西北风,2级,3.0,6
2019-09-20,8,0,少云,,,4.0,8
2019-09-21,6,0,晴,北风,2级,3.0,6
2019-09-22,7,0,局部多云,东北偏北风,3级,3.5,7
2019-09-23,6,0,晴,北风,2级,3.0,6
2019-09-24,6,0,晴,西北偏西风,2级,3.0,6
2019-09-25,8,0,晴,南风,2级,4.0,8
2019-09-26,28,11,晴,东北风,3级,19.5,17
2019-09-27,11,0,少云,西南偏南风,2级,5.5,11
2019-09-28,11,0,晴,西南偏南风,2级,5.5,11
2019-09-29,10,0,晴,西南风,2级,5.0,10
2019-09-30,10,0,晴,西南风,2级,5.0,10
2019-08-01,29,20,零散雷雨,西南风,2级,24.5,9
2019-08-02,26,19,雷雨,西南风,1级,22.5,7
2019-08-03,28,19,零散雷雨,西南偏南风,1级,23.5,9
2019-08-04,29,20,局部多云,西南偏南风,2级,24.5,9
2019-08-05,29,20,局部多云,西南偏南风,2级,24.5,9
2019-08-06,29,21,局部多云,西南偏南风,3级,25.0,8
2019-08-07,28,21,零散雷雨,西南风,2级,24.5,7
2019-08-08,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-09,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-10,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-11,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-12,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-13,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-14,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-15,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-16,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-17,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-18,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-19,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-20,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-21,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-22,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-23,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-24,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-25,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-26,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-27,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-28,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-29,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-30,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-08-31,29,21,局部雷雨,西南偏西风,2级,25.0,8
2019-07-01,21,13,阵雨,西北风,2级,17.0,8
2019-07-02,26,14,零散雷雨,西风,2级,20.0,12
2019-07-03,27,16,零散雷雨,西南风,2级,21.5,11
2019-07-04,27,16,零散雷雨,西南风,2级,21.5,11
2019-07-05,28,16,局部多云,西南偏南风,2级,22.0,12
2019-07-06,28,16,局部多云,西南偏南风,2级,22.0,12
2019-07-07,28,17,局部多云,西南风,2级,22.5,11
2019-07-08,29,18,局部多云,西南风,2级,23.5,11
2019-07-09,29,18,局部多云,西南风,2级,23.5,11
2019-07-10,29,18,局部多云,西南风,2级,23.5,11
2019-07-11,29,18,局部多云,西南风,2级,23.5,11
2019-07-12,24,17,雷雨,西南偏西风,1级,20.5,7
2019-07-13,25,16,雷雨,西风,1级,20.5,9
2019-07-14,24,17,雷雨,西南风,1级,20.5,7
2019-07-15,24,17,雷雨,西南偏南风,2级,20.5,7
2019-07-16,26,18,雷雨,西南偏南风,2级,22.0,8
2019-07-17,27,18,零散雷雨,西南风,2级,22.5,9
2019-07-18,28,18,局部多云,西南偏西风,2级,23.0,10
2019-07-19,29,19,局部多云,西南偏西风,2级,24.0,10
2019-07-20,29,19,局部多云,西南风,2级,24.0,10
2019-07-21,28,19,局部雷雨,西南风,2级,23.5,9
2019-07-22,28,19,局部雷雨,西南风,2级,23.5,9
2019-07-23,28,19,局部雷雨,西南风,2级,23.5,9
2019-07-24,28,19,局部雷雨,西南风,2级,23.5,9
2019-07-25,28,19,局部雷雨,西南风,2级,23.5,9
2019-07-26,28,19,局部雷雨,西南风,2级,23.5,9
2019-07-27,28,19,局部雷雨,西南风,2级,23.5,9
2019-07-28,28,19,局部雷雨,西南风,2级,23.5,9
2019-07-29,28,19,局部雷雨,西南风,2级,23.5,9
2019-07-30,26,22,雷雨,西南偏南风,3级,24.0,4
2019-07-31,30,21,局部多云,西南偏南风,3级,25.5,9
2019-06-01,0,0,,,,0.0,0
2019-06-02,0,0,,,,0.0,0
2019-06-03,0,0,,,,0.0,0
2019-06-04,0,0,,,,0.0,0
2019-06-05,0,0,,,,0.0,0
2019-06-06,0,0,,,,0.0,0
2019-06-07,0,0,,,,0.0,0
2019-06-08,0,0,,,,0.0,0
2019-06-09,0,0,,,,0.0,0
2019-06-10,0,0,,,,0.0,0
2019-06-11,0,0,,,,0.0,0
2019-06-12,0,0,,,,0.0,0
2019-06-13,0,0,,,,0.0,0
2019-06-14,0,0,,,,0.0,0
2019-06-15,0,0,,,,0.0,0
2019-06-16,0,0,,,,0.0,0
2019-06-17,0,0,,,,0.0,0
2019-06-18,0,0,,,,0.0,0
2019-06-19,0,0,,,,0.0,0
2019-06-20,0,0,,,,0.0,0
2019-06-21,0,0,,,,0.0,0
2019-06-22,0,0,,,,0.0,0
2019-06-23,0,0,,,,0.0,0
2019-06-24,0,0,,,,0.0,0
2019-06-25,0,0,,,,0.0,0
2019-06-26,0,0,,,,0.0,0
2019-06-27,29,16,少云,西南风,2级,22.5,13
2019-06-28,25,16,多云,西南偏南风,3级,20.5,9
2019-06-29,24,16,雷雨,西南风,2级,20.0,8
2019-06-30,23,13,阵雨,西北偏西风,2级,18.0,10
2019-05-01,0,0,晴,北风,小于3级,0.0,0
2019-05-02,1,0,晴,西南风,小于3级,0.5,1
2019-05-03,7,0,晴,西南风,3～4级,3.5,7
2019-05-04,3,0,多云,西南风,3～4级,1.5,3
2019-05-05,0,-3,晴,西北风,小于3级,-1.5,3
