日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,15,多云,东北风,2级,21.0,12
2019-09-02,23,12,阴,东北风,1级,17.5,11
2019-09-03,27,17,晴,东北风,1级,22.0,10
2019-09-04,29,18,多云,西南风,2级,23.5,11
2019-09-05,29,19,阴,东南风,1级,24.0,10
2019-09-06,28,18,阴,东南风,2级,23.0,10
2019-09-07,25,20,阴,东北风,3级,22.5,5
2019-09-08,27,11,阴,西北风,2级,19.0,16
2019-09-09,22,10,阴,西北风,2级,16.0,12
2019-09-10,19,9,阴,西北风,1级,14.0,10
2019-09-11,23,11,晴,西南风,2级,17.0,12
2019-09-12,23,14,阴,东南风,2级,18.5,9
2019-09-13,20,10,阴,西北风,2级,15.0,10
2019-09-14,22,12,晴,西南风,2级,17.0,10
2019-09-15,23,7,多云,北风,3级,15.0,16
2019-09-16,17,7,晴,西南风,2级,12.0,10
2019-09-17,21,5,多云,西北风,3级,13.0,16
2019-09-18,14,4,晴,西北风,2级,9.0,10
2019-09-19,16,4,多云,西北风,2级,10.0,12
2019-09-20,19,7,多云,西南风,2级,13.0,12
2019-09-21,17,5,阴,西北风,2级,11.0,12
2019-09-22,22,7,晴,西南风,1级,14.5,15
2019-09-23,24,7,晴,东北风,3级,15.5,17
2019-09-24,20,8,晴,西南风,1级,14.0,12
2019-09-25,24,9,晴,东北风,1级,16.5,15
2019-09-26,24,14,晴,东南风,1级,19.0,10
2019-09-27,28,14,晴,西南风,2级,21.0,14
2019-09-28,26,12,晴,西南风,5级,19.0,14
2019-09-29,17,7,晴,东北风,1级,12.0,10
2019-09-30,24,17,多云,西南风,5级,20.5,7
2019-08-01,28,19,多云,西北风,3级,23.5,9
2019-08-02,28,20,多云,西南风,1级,24.0,8
2019-08-03,29,20,阴,西南风,1级,24.5,9
2019-08-04,29,20,晴,西南风,3级,24.5,9
2019-08-05,29,21,阴,东南风,1级,25.0,8
2019-08-06,28,21,小雨,东南风,3级,24.5,7
2019-08-07,27,21,阴,东北风,2级,24.0,6
2019-08-08,22,17,小雨,西北风,1级,19.5,5
2019-08-09,20,17,阴,西南风,1级,18.5,3
2019-08-10,20,20,小雨,东南风,3级,20.0,0
2019-08-11,21,18,小雨,东北风,2级,19.5,3
2019-08-12,24,18,阴,东北风,1级,21.0,6
2019-08-13,25,20,阴,东北风,2级,22.5,5
2019-08-14,23,20,中雨,西北风,1级,21.5,3
2019-08-15,24,19,阴,东南风,3级,21.5,5
2019-08-16,21,17,中雨,东北风,2级,19.0,4
2019-08-17,18,16,暴雨,西北风,2级,17.0,2
2019-08-18,22,14,阴,西北风,2级,18.0,8
2019-08-19,23,13,阴,西南风,1级,18.0,10
2019-08-20,23,19,阴,东南风,2级,21.0,4
2019-08-21,24,17,小雨,西南风,2级,20.5,7
2019-08-22,19,15,小雨,东北风,2级,17.0,4
2019-08-23,23,14,小雨,西北风,1级,18.5,9
2019-08-24,24,15,阴,西北风,1级,19.5,9
2019-08-25,25,16,小雨,西南风,1级,20.5,9
2019-08-26,25,18,阴,东南风,2级,21.5,7
2019-08-27,25,15,多云,东南风,1级,20.0,10
2019-08-28,19,15,大雨,西北风,2级,17.0,4
2019-08-29,22,15,阴,东北风,2级,18.5,7
2019-08-30,22,13,阴,西北风,2级,17.5,9
2019-08-31,25,15,多云,西南风,1级,20.0,10
2019-07-01,24,16,小雨,东南风,1级,20.0,8
2019-07-02,24,16,小雨,东南风,2级,20.0,8
2019-07-03,23,15,雷阵雨,西南风,1级,19.0,8
2019-07-04,26,18,多云,东南风,2级,22.0,8
2019-07-05,26,20,小雨,东南风,2级,23.0,6
2019-07-06,30,21,阴,东北风,2级,25.5,9
2019-07-07,30,21,多云,西北风,2级,25.5,9
2019-07-08,30,21,阴,东北风,1级,25.5,9
2019-07-09,30,21,多云,东北风,2级,25.5,9
2019-07-10,29,20,阴,东南风,3级,24.5,9
2019-07-11,28,19,多云,东南风,2级,23.5,9
2019-07-12,27,17,阴,东南风,1级,22.0,10
2019-07-13,27,18,多云,东北风,1级,22.5,9
2019-07-14,26,19,阴,东南风,3级,22.5,7
2019-07-15,27,20,阴,东北风,1级,23.5,7
2019-07-16,29,20,多云,西南风,4级,24.5,9
2019-07-17,28,19,阴,西南风,2级,23.5,9
2019-07-18,29,21,阴,西南风,2级,25.0,8
2019-07-19,31,22,多云,西南风,2级,26.5,9
2019-07-20,31,23,阴,东南风,2级,27.0,8
2019-07-21,28,21,小雨,西南风,1级,24.5,7
2019-07-22,29,21,阴,西南风,1级,25.0,8
2019-07-23,26,20,暴雨,东南风,2级,23.0,6
2019-07-24,28,20,阴,西南风,3级,24.0,8
2019-07-25,24,18,小雨,北风,微风,21.0,6
2019-07-26,27,19,小雨,西北风,1级,23.0,8
2019-07-27,28,23,小雨,东南风,2级,25.5,5
2019-07-28,30,24,多云,西南风,3级,27.0,6
2019-07-29,28,22,阴,西南风,2级,25.0,6
2019-07-30,24,21,小雨,东南风,1级,22.5,3
2019-07-31,30,21,多云,西南风,2级,25.5,9
2019-06-01,24,15,多云,西南风,3级,19.5,9
2019-06-02,23,10,多云,西北风,2级,16.5,13
2019-06-03,24,14,阴,东北风,2级,19.0,10
2019-06-04,26,14,多云,东南风,2级,20.0,12
2019-06-05,25,12,阴,西南风,1级,18.5,13
2019-06-06,26,16,晴,东南风,2级,21.0,10
2019-06-07,25,17,多云,东南风,3级,21.0,8
2019-06-08,22,16,阴,东北风,2级,19.0,6
2019-06-09,23,15,阴,东南风,3级,19.0,8
2019-06-10,25,16,多云,西南风,1级,20.5,9
2019-06-11,27,16,阴,东南风,2级,21.5,11
2019-06-12,28,18,晴,东南风,2级,23.0,10
2019-06-13,23,14,小雨,西南风,2级,18.5,9
2019-06-14,21,10,小雨,西北风,3级,15.5,11
2019-06-15,20,10,阴,东南风,1级,15.0,10
2019-06-16,22,10,晴,西北风,2级,16.0,12
2019-06-17,24,13,晴,东南风,3级,18.5,11
2019-06-18,24,14,晴,东南风,1级,19.0,10
2019-06-19,29,12,阴,东北风,4级,20.5,17
2019-06-20,21,13,多云,北风,微风,17.0,8
2019-06-21,23,14,多云,西北风,1级,18.5,9
2019-06-22,26,15,小雨,西北风,2级,20.5,11
2019-06-23,28,17,晴,东南风,1级,22.5,11
2019-06-24,31,22,多云,东南风,3级,26.5,9
2019-06-25,30,22,多云,西南风,3级,26.0,8
2019-06-26,31,21,多云,西南风,4级,26.0,10
2019-06-27,29,17,多云,西北风,3级,23.0,12
2019-06-28,21,16,中雨,东南风,4级,18.5,5
2019-06-29,18,15,阴,东南风,1级,16.5,3
2019-06-30,17,15,小雨,北风,2级,16.0,2
2019-05-01,14,4,多云,西南风,1级,9.0,10
2019-05-02,19,4,晴,西北风,1级,11.5,15
2019-05-03,26,11,晴,东北风,1级,18.5,15
2019-05-04,29,5,多云,西北风,3级,17.0,24
2019-05-05,10,2,阴,西北风,1级,6.0,8
2019-05-06,16,5,多云,西南风,2级,10.5,11
2019-05-07,22,10,多云,西南风,1级,16.0,12
2019-05-08,24,5,阴,西北风,2级,14.5,19
2019-05-09,23,11,阴,西南风,1级,17.0,12
2019-05-10,30,13,多云,东南风,3级,21.5,17
2019-05-11,30,13,阴,东北风,2级,21.5,17
2019-05-12,29,15,多云,东南风,2级,22.0,14
2019-05-13,17,11,阴,西南风,3级,14.0,6
2019-05-14,19,8,阴,西北风,3级,13.5,11
2019-05-15,27,14,多云,西南风,4级,20.5,13
2019-05-16,23,13,阴,东南风,2级,18.0,10
2019-05-17,23,13,阴,东北风,1级,18.0,10
2019-05-18,16,9,阴,西北风,2级,12.5,7
2019-05-19,14,8,阴,东南风,3级,11.0,6
