日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,19,晴,东南风,3级,25.0,12
2019-09-02,31,19,晴,东南风,3级,25.0,12
2019-09-03,31,18,晴,东南风,3级,24.5,13
2019-09-04,31,19,晴,东北风,3级,25.0,12
2019-09-05,31,19,晴,东南风,4级,25.0,12
2019-09-06,31,19,晴,东南风,3级,25.0,12
2019-09-07,31,21,晴,东南风,3级,26.0,10
2019-09-08,34,21,晴,东南风,3级,27.5,13
2019-09-09,31,20,多云,东南风,3级,25.5,11
2019-09-10,24,19,小雨,西北风,4级,21.5,5
2019-09-11,20,16,中雨,西北风,3级,18.0,4
2019-09-12,20,17,小雨,东北风,2级,18.5,3
2019-09-13,24,18,阴,西北风,2级,21.0,6
2019-09-14,26,19,多云,东北风,1级,22.5,7
2019-09-15,26,17,多云,东南风,4级,21.5,9
2019-09-16,25,16,多云,北风,4级,20.5,9
2019-09-17,26,18,多云,东南风,3级,22.0,8
2019-09-18,25,17,多云,东北风,5级,21.0,8
2019-09-19,24,17,多云,东南风,3级,20.5,7
2019-09-20,24,15,多云,东北风,2级,19.5,9
2019-09-21,26,16,晴,东北风,5级,21.0,10
2019-09-22,27,17,晴,东南风,3级,22.0,10
2019-09-23,29,17,晴,东南风,3级,23.0,12
2019-09-24,30,18,晴,东北风,3级,24.0,12
2019-09-25,30,18,晴,东北风,2级,24.0,12
2019-09-26,28,16,晴,东南风,3级,22.0,12
2019-09-27,29,17,晴,东北风,2级,23.0,12
2019-09-28,29,17,晴,东南风,3级,23.0,12
2019-09-29,31,18,晴,东南风,3级,24.5,13
2019-09-30,30,18,晴,东南风,4级,24.0,12
2019-08-01,31,23,雷阵雨,东北风,3级,27.0,8
2019-08-02,29,23,雷阵雨,东北风,4级,26.0,6
2019-08-03,29,23,多云,东北风,1级,26.0,6
2019-08-04,28,23,中雨,西北风,3级,25.5,5
2019-08-05,28,24,雷阵雨,东北风,3级,26.0,4
2019-08-06,30,24,雷阵雨,东南风,2级,27.0,6
2019-08-07,31,24,雷阵雨,西北风,2级,27.5,7
2019-08-08,33,24,多云,东北风,2级,28.5,9
2019-08-09,32,24,雷阵雨,东南风,3级,28.0,8
