日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,13,晴,西南风,2级,19.0,12
2019-09-01,24,13,晴,东南风,3级,18.5,11
2019-09-02,25,14,晴,东南风,1级,19.5,11
2019-09-02,25,14,晴,东南风,3级,19.5,11
2019-09-03,24,14,多云,东南风,2级,19.0,10
2019-09-03,24,14,多云,东南风,3级,19.0,10
2019-09-04,25,13,晴,东南风,1级,19.0,12
2019-09-04,24,14,晴,东南风,4级,19.0,10
2019-09-05,25,14,多云,西南风,2级,19.5,11
2019-09-05,24,14,晴,西南风,3级,19.0,10
2019-09-06,26,15,多云,东南风,1级,20.5,11
2019-09-06,26,15,多云,西南风,4级,20.5,11
2019-09-07,26,16,阴,西南风,1级,21.0,10
2019-09-07,25,16,小雨,西南风,1级,20.5,9
2019-09-08,26,15,多云,东北风,2级,20.5,11
2019-09-08,24,14,阴,西南风,3级,19.0,10
2019-09-09,14,12,阴,东北风,2级,13.0,2
2019-09-09,18,13,中雨,西北风,3级,15.5,5
2019-09-10,16,13,阴,东南风,2级,14.5,3
2019-09-10,17,12,小雨,东南风,3级,14.5,5
2019-09-11,14,14,阴,东南风,3级,14.0,0
2019-09-11,16,13,中雨,东南风,4级,14.5,3
2019-09-12,16,12,阴,西北风,4级,14.0,4
2019-09-12,18,11,中雨,东南风,3级,14.5,7
2019-09-13,18,8,阴,西南风,2级,13.0,10
2019-09-13,17,8,多云,西北风,4级,12.5,9
2019-09-14,19,9,多云,东南风,1级,14.0,10
2019-09-14,19,10,多云,西南风,2级,14.5,9
2019-09-15,20,8,多云,西北风,1级,14.0,12
2019-09-15,21,8,多云,西北风,3级,14.5,13
2019-09-16,21,11,多云,东南风,3级,16.0,10
2019-09-16,21,11,多云,西南风,3级,16.0,10
2019-09-17,22,9,阴,东北风,3级,15.5,13
2019-09-17,23,9,多云,西北风,2级,16.0,14
2019-09-18,21,11,阴,东南风,2级,16.0,10
2019-09-18,21,11,阴,东北风,3级,16.0,10
2019-09-19,13,10,阴,西南风,3级,11.5,3
2019-09-19,16,11,小雨,西南风,4级,13.5,5
2019-09-20,13,9,阴,西北风,1级,11.0,4
2019-09-20,17,9,多云,东北风,3级,13.0,8
2019-09-21,19,9,晴,东南风,1级,14.0,10
2019-09-21,19,10,晴,东北风,3级,14.5,9
2019-09-22,20,10,晴,东南风,1级,15.0,10
2019-09-22,21,10,晴,西南风,2级,15.5,11
2019-09-23,21,11,晴,东南风,1级,16.0,10
2019-09-23,20,11,晴,西北风,3级,15.5,9
2019-09-24,21,11,晴,东南风,1级,16.0,10
2019-09-24,23,11,晴,西南风,3级,17.0,12
2019-09-25,22,11,晴,西南风,1级,16.5,11
2019-09-25,21,11,晴,东南风,3级,16.0,10
2019-09-26,21,10,晴,东南风,2级,15.5,11
2019-09-26,22,11,晴,东南风,2级,16.5,11
2019-09-27,20,10,晴,东南风,2级,15.0,10
2019-09-27,22,10,晴,西南风,2级,16.0,12
2019-09-28,21,11,晴,东南风,2级,16.0,10
2019-09-28,22,11,晴,西南风,2级,16.5,11
2019-09-29,23,12,晴,东南风,3级,17.5,11
2019-09-29,22,12,晴,西南风,4级,17.0,10
2019-09-30,23,13,多云,东南风,3级,18.0,10
2019-09-30,24,13,晴,西南风,5级,18.5,11
2019-08-01,29,17,多云,东南风,4级,23.0,12
2019-08-01,29,17,多云,东南风,2级,23.0,12
2019-08-02,25,17,多云,东南风,2级,21.0,8
2019-08-02,27,17,多云,东南风,3级,22.0,10
2019-08-03,19,15,小雨,东南风,4级,17.0,4
2019-08-03,25,17,小雨,东南风,2级,21.0,8
2019-08-04,20,16,小雨,东南风,3级,18.0,4
2019-08-04,22,15,小雨,西北风,2级,18.5,7
2019-08-05,24,18,大雨,东南风,3级,21.0,6
2019-08-05,26,18,阵雨,东南风,3级,22.0,8
2019-08-06,26,16,阴,东南风,微风,21.0,10
2019-08-06,27,17,阵雨,东南风,2级,22.0,10
2019-08-07,25,17,多云,东北风,2级,21.0,8
2019-08-07,27,17,阵雨,东北风,3级,22.0,10
2019-08-08,26,16,阴,西北风,3级,21.0,10
2019-08-08,26,16,多云,西南风,4级,21.0,10
2019-08-09,26,16,小雨,西北风,2级,21.0,10
2019-08-09,26,15,小雨,西南风,3级,20.5,11
2019-08-10,23,14,多云,东北风,3级,18.5,9
2019-08-10,25,14,晴,西北风,3级,19.5,11
2019-08-11,23,15,晴,东北风,1级,19.0,8
2019-08-11,25,15,晴,东北风,3级,20.0,10
2019-08-12,25,15,晴,东北风,2级,20.0,10
2019-08-12,26,15,晴,西北风,3级,20.5,11
2019-08-13,24,16,多云,西北风,1级,20.0,8
2019-08-13,26,14,多云,东北风,2级,20.0,12
2019-08-14,27,17,阴,东南风,2级,22.0,10
2019-08-14,28,18,晴,西南风,2级,23.0,10
2019-08-15,30,12,晴,东北风,3级,21.0,18
2019-08-15,31,12,晴,西南风,3级,21.5,19
2019-08-16,21,12,晴,西北风,1级,16.5,9
2019-08-16,22,11,晴,东北风,3级,16.5,11
2019-08-17,24,15,晴,东南风,1级,19.5,9
2019-08-17,24,15,晴,东北风,3级,19.5,9
2019-08-18,26,17,晴,东南风,1级,21.5,9
2019-08-18,27,18,晴,西南风,3级,22.5,9
2019-08-19,25,17,阴,西北风,微风,21.0,8
2019-08-19,25,18,小雨,西南风,4级,21.5,7
2019-08-20,24,12,阴,西北风,1级,18.0,12
2019-08-20,23,11,多云,西北风,4级,17.0,12
2019-08-21,21,14,多云,东北风,2级,17.5,7
2019-08-21,22,14,多云,东北风,3级,18.0,8
2019-08-22,21,15,阴,东南风,1级,18.0,6
2019-08-22,22,15,多云,东北风,2级,18.5,7
2019-08-23,21,14,多云,东南风,1级,17.5,7
2019-08-23,22,13,阴,东南风,3级,17.5,9
2019-08-24,18,14,多云,东南风,2级,16.0,4
2019-08-24,22,14,多云,东北风,3级,18.0,8
2019-08-25,24,16,雾,东南风,2级,20.0,8
2019-08-25,25,16,多云,西南风,2级,20.5,9
2019-08-26,22,14,阴,西北风,1级,18.0,8
2019-08-26,23,12,小雨,东北风,2级,17.5,11
2019-08-27,22,12,多云,西北风,2级,17.0,10
2019-08-27,23,11,多云,东北风,3级,17.0,12
2019-08-28,22,11,晴,东北风,3级,16.5,11
2019-08-28,24,11,晴,西北风,4级,17.5,13
2019-08-29,21,11,晴,东北风,1级,16.0,10
2019-08-29,22,11,晴,东北风,3级,16.5,11
2019-08-30,22,13,晴,东南风,1级,17.5,9
2019-08-30,23,13,晴,东北风,2级,18.0,10
2019-08-31,24,12,晴,东南风,2级,18.0,12
2019-08-31,24,13,晴,东南风,3级,18.5,11
2019-07-01,27,17,多云,东北风,3级,22.0,10
2019-07-01,28,18,晴,西南风,3级,23.0,10
2019-07-02,27,17,晴,东北风,3级,22.0,10
2019-07-02,29,17,晴,东北风,4级,23.0,12
2019-07-03,30,19,晴,东北风,3级,24.5,11
2019-07-03,30,19,晴,西南风,2级,24.5,11
2019-07-04,29,20,阴,东南风,2级,24.5,9
2019-07-04,31,20,晴,西南风,4级,25.5,11
2019-07-05,22,11,小雨,东北风,3级,16.5,11
2019-07-05,25,13,阵雨,西北风,2级,19.0,12
2019-07-06,21,13,多云,东北风,3级,17.0,8
2019-07-06,23,13,晴,东北风,4级,18.0,10
2019-07-07,26,16,晴,东北风,2级,21.0,10
2019-07-07,26,16,晴,东北风,3级,21.0,10
2019-07-08,24,16,阴,东北风,3级,20.0,8
2019-07-08,25,16,阴,东南风,3级,20.5,9
2019-07-09,21,14,小雨,东北风,2级,17.5,7
2019-07-09,22,15,阵雨,西北风,2级,18.5,7
2019-07-10,24,15,多云,东南风,2级,19.5,9
2019-07-10,25,15,多云,东北风,2级,20.0,10
2019-07-11,26,17,多云,东南风,2级,21.5,9
2019-07-11,26,17,小雨,东南风,2级,21.5,9
2019-07-12,28,17,多云,东北风,3级,22.5,11
2019-07-12,28,19,多云,东南风,2级,23.5,9
2019-07-13,29,18,晴,西南风,2级,23.5,11
2019-07-13,30,18,晴,西北风,3级,24.0,12
2019-07-14,30,20,多云,东南风,2级,25.0,10
2019-07-14,29,20,晴,东北风,3级,24.5,9
2019-07-15,25,16,阴,西南风,2级,20.5,9
