日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,13,晴,东北风,1级,20.0,14
2019-09-02,28,14,晴,东南风,2级,21.0,14
2019-09-03,27,15,晴,东南风,2级,21.0,12
2019-09-04,27,16,多云,东南风,3级,21.5,11
2019-09-05,28,15,多云,东北风,1级,21.5,13
2019-09-06,30,17,晴,西南风,1级,23.5,13
2019-09-07,30,18,多云,西北风,3级,24.0,12
2019-09-08,25,17,多云,东北风,4级,21.0,8
2019-09-09,20,13,阴,西南风,1级,16.5,7
2019-09-10,23,16,多云,东南风,3级,19.5,7
2019-09-11,26,18,阴,北风,2级,22.0,8
2019-09-12,21,10,阴,西南风,1级,15.5,11
2019-09-13,20,10,多云,西南风,1级,15.0,10
2019-09-14,21,12,多云,西南风,1级,16.5,9
2019-09-15,24,11,多云,东南风,1级,17.5,13
2019-09-16,25,12,阴,西南风,1级,18.5,13
2019-09-17,26,13,阴,东南风,1级,19.5,13
2019-09-18,24,12,多云,西南风,2级,18.0,12
2019-09-19,16,9,阴,东北风,1级,12.5,7
2019-09-20,24,10,晴,东北风,1级,17.0,14
2019-09-21,24,9,晴,北风,1级,16.5,15
2019-09-22,25,10,晴,西北风,1级,17.5,15
2019-09-23,25,10,晴,北风,微风,17.5,15
2019-09-24,26,9,晴,西北风,1级,17.5,17
2019-09-25,26,9,晴,东北风,1级,17.5,17
2019-09-26,25,9,多云,东北风,1级,17.0,16
2019-09-27,26,10,多云,东北风,微风,18.0,16
2019-09-28,28,12,晴,南风,微风,20.0,16
2019-09-29,27,10,晴,东北风,1级,18.5,17
2019-09-30,28,14,晴,东南风,1级,21.0,14
2019-08-01,33,20,晴,东南风,2级,26.5,13
2019-08-02,31,18,多云,东南风,4级,24.5,13
2019-08-03,24,17,多云,东北风,2级,20.5,7
2019-08-04,30,18,阴,西北风,1级,24.0,12
2019-08-05,32,19,晴,西北风,1级,25.5,13
2019-08-06,33,19,晴,西北风,2级,26.0,14
2019-08-07,32,20,晴,东北风,2级,26.0,12
2019-08-08,28,16,阴,东北风,2级,22.0,12
2019-08-09,34,17,晴,西北风,1级,25.5,17
2019-08-10,30,17,晴,东北风,2级,23.5,13
2019-08-11,29,17,晴,东北风,1级,23.0,12
2019-08-12,30,18,晴,西北风,1级,24.0,12
2019-08-13,24,16,阴,东南风,2级,20.0,8
2019-08-14,31,17,晴,东南风,1级,24.0,14
2019-08-15,35,17,晴,东北风,1级,26.0,18
2019-08-16,23,14,阴,西北风,1级,18.5,9
2019-08-17,29,16,晴,东北风,2级,22.5,13
2019-08-18,31,19,晴,东北风,3级,25.0,12
2019-08-19,33,18,多云,东北风,3级,25.5,15
2019-08-20,26,14,多云,东南风,3级,20.0,12
2019-08-21,28,17,多云,南风,微风,22.5,11
2019-08-22,24,17,阴,西南风,2级,20.5,7
2019-08-23,20,15,阴,西北风,2级,17.5,5
2019-08-24,25,15,阴,西南风,2级,20.0,10
2019-08-25,31,18,多云,东北风,1级,24.5,13
2019-08-26,28,17,阴,西南风,2级,22.5,11
2019-08-27,26,13,小雨,南风,1级,19.5,13
2019-08-28,29,13,多云,南风,微风,21.0,16
2019-08-29,28,12,晴,东北风,1级,20.0,16
2019-08-30,29,13,晴,西北风,1级,21.0,16
2019-08-31,30,12,晴,东南风,4级,21.0,18
2019-07-01,32,18,晴,东北风,1级,25.0,14
2019-07-02,33,18,多云,北风,1级,25.5,15
2019-07-03,33,20,多云,西北风,2级,26.5,13
2019-07-04,32,19,晴,东南风,2级,25.5,13
2019-07-05,28,15,多云,东北风,3级,21.5,13
2019-07-06,26,14,晴,东北风,1级,20.0,12
2019-07-07,29,16,多云,西北风,1级,22.5,13
2019-07-08,21,14,小雨,西南风,3级,17.5,7
2019-07-09,26,15,阴,西北风,1级,20.5,11
2019-07-10,28,17,多云,东北风,1级,22.5,11
2019-07-11,31,18,晴,西北风,2级,24.5,13
2019-07-12,32,20,阴,西北风,1级,26.0,12
2019-07-13,33,19,晴,东南风,1级,26.0,14
2019-07-14,28,20,阴,西北风,1级,24.0,8
2019-07-15,23,17,小雨,东南风,3级,20.0,6
2019-07-16,27,19,阴,东北风,2级,23.0,8
2019-07-17,31,20,多云,东南风,3级,25.5,11
2019-07-18,31,20,阴,西南风,2级,25.5,11
2019-07-19,28,18,阴,西南风,1级,23.0,10
2019-07-20,35,22,晴,西北风,1级,28.5,13
2019-07-21,26,17,阴,西南风,2级,21.5,9
