日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,25,阴,西北风,1级,27.0,4
2019-09-01,29,25,阴,东北风,2级,27.0,4
2019-09-02,29,25,阴,东北风,4级,27.0,4
2019-09-02,29,25,阴,东北风,4级,27.0,4
2019-09-03,32,25,多云,西北风,3级,28.5,7
2019-09-03,32,25,多云,东北风,3级,28.5,7
2019-09-04,31,26,阴,西北风,2级,28.5,5
2019-09-04,31,26,阴,东北风,2级,28.5,5
2019-09-05,31,27,多云,西北风,2级,29.0,4
2019-09-05,31,27,多云,东北风,3级,29.0,4
2019-09-06,35,26,多云,西南风,1级,30.5,9
2019-09-06,35,26,多云,东南风,3级,30.5,9
2019-09-07,36,26,晴,西南风,3级,31.0,10
2019-09-07,36,26,晴,西南风,3级,31.0,10
2019-09-08,35,26,多云,东南风,3级,30.5,9
2019-09-08,35,26,多云,西南风,4级,30.5,9
2019-09-09,33,26,阴,东南风,3级,29.5,7
2019-09-09,33,26,阴,东南风,3级,29.5,7
2019-09-10,27,25,阴,西北风,1级,26.0,2
2019-09-10,27,25,阴,西北风,1级,26.0,2
2019-09-11,33,25,阴,东北风,1级,29.0,8
2019-09-11,33,25,阴,东北风,3级,29.0,8
2019-09-12,34,25,多云,西北风,1级,29.5,9
2019-09-12,34,25,多云,西南风,1级,29.5,9
2019-09-13,35,25,多云,西南风,2级,30.0,10
2019-09-13,35,25,多云,西南风,3级,30.0,10
2019-09-14,35,25,多云,西南风,1级,30.0,10
2019-09-14,35,25,多云,东北风,8级,30.0,10
2019-09-15,34,24,阴,东南风,3级,29.0,10
2019-09-15,34,24,阴,西南风,1级,29.0,10
2019-09-16,35,25,阴,西南风,2级,30.0,10
2019-09-16,35,25,阴,西南风,1级,30.0,10
2019-09-17,34,26,阴,西北风,2级,30.0,8
2019-09-17,34,26,阴,西南风,2级,30.0,8
2019-09-18,34,25,多云,西北风,2级,29.5,9
2019-09-18,34,25,多云,西北风,2级,29.5,9
2019-09-19,32,24,多云,西北风,3级,28.0,8
2019-09-19,32,24,多云,西北风,2级,28.0,8
2019-09-20,32,24,多云,东北风,2级,28.0,8
2019-09-20,32,24,多云,东北风,3级,28.0,8
2019-09-21,31,23,晴,西北风,3级,27.0,8
2019-09-21,31,23,晴,西北风,3级,27.0,8
2019-09-22,30,21,多云,东北风,2级,25.5,9
2019-09-22,30,21,多云,东北风,2级,25.5,9
2019-09-23,31,20,多云,西北风,4级,25.5,11
2019-09-23,31,20,多云,东北风,2级,25.5,11
2019-09-24,32,20,多云,东北风,2级,26.0,12
2019-09-24,32,20,多云,西北风,2级,26.0,12
2019-09-25,33,20,晴,东北风,1级,26.5,13
2019-09-25,33,20,晴,东北风,2级,26.5,13
2019-09-26,32,21,晴,东北风,2级,26.5,11
2019-09-26,32,21,晴,西北风,2级,26.5,11
2019-09-27,32,21,多云,东北风,1级,26.5,11
2019-09-27,32,21,多云,西北风,2级,26.5,11
2019-09-28,33,21,晴,北风,微风,27.0,12
2019-09-28,33,21,晴,北风,微风,27.0,12
2019-09-29,34,21,晴,南风,2级,27.5,13
2019-09-29,34,21,晴,东北风,2级,27.5,13
2019-09-30,34,21,多云,西南风,2级,27.5,13
2019-09-30,34,21,多云,西南风,4级,27.5,13
2019-08-01,28,23,中雨,西北风,4级,25.5,5
2019-08-01,28,23,中雨,东北风,4级,25.5,5
2019-08-02,26,24,大暴雨,东北风,6级,25.0,2
2019-08-02,26,24,大暴雨,东北风,7级,25.0,2
2019-08-03,26,26,大雨,东北风,3级,26.0,0
2019-08-03,26,26,大雨,东北风,2级,26.0,0
2019-08-04,31,25,阴,东北风,1级,28.0,6
2019-08-04,31,25,阴,东北风,2级,28.0,6
2019-08-05,33,25,多云,西南风,2级,29.0,8
2019-08-05,33,25,多云,西南风,3级,29.0,8
2019-08-06,35,25,多云,西南风,2级,30.0,10
2019-08-06,35,25,多云,西南风,3级,30.0,10
2019-08-07,36,26,多云,西南风,3级,31.0,10
2019-08-07,36,27,多云,西南风,3级,31.5,9
2019-08-08,34,27,阴,西北风,2级,30.5,7
2019-08-08,34,27,阴,西北风,1级,30.5,7
2019-08-09,35,26,多云,西北风,2级,30.5,9
2019-08-09,35,26,多云,西南风,2级,30.5,9
2019-08-10,35,27,多云,西南风,3级,31.0,8
2019-08-10,35,27,多云,东南风,4级,31.0,8
2019-08-11,35,28,多云,东北风,2级,31.5,7
2019-08-11,35,28,多云,西南风,4级,31.5,7
2019-08-12,36,28,阴,西南风,4级,32.0,8
2019-08-12,36,28,阴,西南风,5级,32.0,8
2019-08-13,35,29,多云,东南风,3级,32.0,6
2019-08-13,35,29,多云,东南风,3级,32.0,6
2019-08-14,36,26,多云,西南风,2级,31.0,10
2019-08-14,36,26,多云,东南风,3级,31.0,10
2019-08-15,36,26,阴,西南风,2级,31.0,10
2019-08-15,36,26,阴,西南风,3级,31.0,10
2019-08-16,35,25,小雨,西北风,1级,30.0,10
2019-08-16,35,25,小雨,东北风,2级,30.0,10
2019-08-17,29,24,小雨,东南风,2级,26.5,5
2019-08-17,29,25,小雨,东南风,3级,27.0,4
2019-08-18,32,25,中雨,东南风,2级,28.5,7
2019-08-18,32,25,中雨,东南风,3级,28.5,7
2019-08-19,34,26,阴,西南风,2级,30.0,8
2019-08-19,34,26,阴,西北风,1级,30.0,8
2019-08-20,34,25,阴,东南风,3级,29.5,9
2019-08-20,34,25,阴,东南风,3级,29.5,9
2019-08-21,31,25,中雨,东北风,3级,28.0,6
2019-08-21,31,25,中雨,东南风,2级,28.0,6
2019-08-22,32,25,小雨,西北风,2级,28.5,7
2019-08-22,32,25,小雨,东北风,1级,28.5,7
2019-08-23,34,25,多云,西南风,2级,29.5,9
2019-08-23,34,25,多云,东北风,2级,29.5,9
2019-08-24,35,26,多云,西北风,1级,30.5,9
2019-08-24,35,26,多云,西南风,2级,30.5,9
2019-08-25,35,27,多云,西南风,3级,31.0,8
2019-08-25,35,27,多云,西南风,3级,31.0,8
2019-08-26,27,25,暴雨,东北风,2级,26.0,2
2019-08-26,27,25,暴雨,西南风,1级,26.0,2
2019-08-27,31,25,大雨,西北风,2级,28.0,6
2019-08-27,31,25,大雨,西南风,2级,28.0,6
