日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,15,小雨,西南风,2级,20.0,10
2019-09-02,27,15,晴,东北风,4级,21.0,12
2019-09-03,27,14,晴,西北风,3级,20.5,13
2019-09-04,26,14,晴,西南风,3级,20.0,12
2019-09-05,28,15,晴,西北风,3级,21.5,13
2019-09-06,29,17,晴,西南风,3级,23.0,12
2019-09-07,29,16,晴,东北风,3级,22.5,13
2019-09-08,29,17,晴,东北风,3级,23.0,12
2019-09-09,29,16,多云,东南风,3级,22.5,13
2019-09-10,20,15,小雨,东北风,2级,17.5,5
2019-09-11,17,13,小雨,东北风,3级,15.0,4
2019-09-12,20,14,小雨,东南风,1级,17.0,6
2019-09-13,19,14,小雨,西北风,5级,16.5,5
2019-09-14,22,11,中雨,西北风,2级,16.5,11
2019-09-15,19,12,阴,西北风,2级,15.5,7
2019-09-16,22,11,多云,东北风,4级,16.5,11
2019-09-17,21,13,小雨,西北风,1级,17.0,8
2019-09-18,21,12,多云,东北风,4级,16.5,9
2019-09-19,19,10,小雨,东北风,2级,14.5,9
2019-09-20,21,11,多云,东北风,3级,16.0,10
2019-09-21,23,10,晴,东北风,4级,16.5,13
2019-09-22,25,12,晴,东北风,3级,18.5,13
2019-09-23,25,13,晴,西北风,2级,19.0,12
2019-09-24,25,13,晴,北风,3级,19.0,12
2019-09-25,25,12,晴,东北风,3级,18.5,13
2019-09-26,25,13,多云,北风,3级,19.0,12
2019-09-27,24,12,多云,西南风,2级,18.0,12
2019-09-28,25,13,多云,东南风,3级,19.0,12
2019-09-29,26,13,多云,西南风,3级,19.5,13
2019-09-30,26,13,晴,西南风,3级,19.5,13
2019-08-01,31,19,小雨,东南风,5级,25.0,12
2019-08-02,28,19,小雨,东北风,4级,23.5,9
2019-08-03,25,17,小雨,东北风,2级,21.0,8
2019-08-04,23,18,中雨,东南风,3级,20.5,5
2019-08-05,27,18,雷阵雨,东南风,3级,22.5,9
2019-08-06,28,19,小雨,东北风,2级,23.5,9
2019-08-07,29,19,小雨,东北风,2级,24.0,10
2019-08-08,30,20,多云,西北风,1级,25.0,10
2019-08-09,28,20,中雨,西北风,2级,24.0,8
2019-08-10,28,19,小雨,东北风,2级,23.5,9
2019-08-11,28,18,小雨,西北风,5级,23.0,10
2019-08-12,29,18,小雨,西北风,3级,23.5,11
2019-08-13,31,20,小雨,西南风,3级,25.5,11
2019-08-14,30,19,小雨,西北风,2级,24.5,11
2019-08-15,32,18,晴,西北风,2级,25.0,14
2019-08-16,30,18,晴,北风,4级,24.0,12
2019-08-17,27,18,晴,西北风,3级,22.5,9
2019-08-18,29,17,阴,西南风,4级,23.0,12
2019-08-19,29,18,小雨,西南风,5级,23.5,11
2019-08-20,27,18,小雨,西南风,4级,22.5,9
2019-08-21,25,18,小雨,东北风,4级,21.5,7
2019-08-22,25,18,阴,东北风,3级,21.5,7
2019-08-23,26,17,阴,东北风,2级,21.5,9
2019-08-24,23,17,小雨,东南风,1级,20.0,6
2019-08-25,23,17,小雨,西北风,2级,20.0,6
2019-08-26,24,17,小雨,西北风,2级,20.5,7
2019-08-27,28,16,小雨,西北风,2级,22.0,12
2019-08-28,29,15,多云,西北风,3级,22.0,14
2019-08-29,28,15,晴,东北风,5级,21.5,13
2019-08-30,27,15,晴,西北风,3级,21.0,12
2019-08-31,27,16,多云,西北风,2级,21.5,11
2019-07-01,31,20,多云,西南风,2级,25.5,11
2019-07-02,32,21,晴,西南风,3级,26.5,11
2019-07-03,33,20,多云,西南风,3级,26.5,13
2019-07-04,32,21,多云,西南风,5级,26.5,11
2019-07-05,32,19,多云,西南风,4级,25.5,13
2019-07-06,29,17,晴,西北风,4级,23.0,12
2019-07-07,27,15,晴,北风,3级,21.0,12
2019-07-08,25,17,阴,东北风,2级,21.0,8
2019-07-09,24,16,小雨,西北风,4级,20.0,8
2019-07-10,22,16,中雨,西北风,2级,19.0,6
2019-07-11,23,16,小雨,西南风,2级,19.5,7
2019-07-12,25,17,雷阵雨,东北风,2级,21.0,8
2019-07-13,30,18,多云,东北风,4级,24.0,12
2019-07-14,29,19,雷阵雨,东北风,2级,24.0,10
2019-07-15,29,18,小雨,西南风,3级,23.5,11
2019-07-16,27,19,阴,东南风,2级,23.0,8
2019-07-17,27,18,多云,东北风,2级,22.5,9
2019-07-18,30,20,多云,东北风,3级,25.0,10
2019-07-19,30,21,阴,西北风,2级,25.5,9
2019-07-20,29,21,小雨,东北风,3级,25.0,8
2019-07-21,32,19,晴,西北风,3级,25.5,13
2019-07-22,30,22,小雨,西南风,4级,26.0,8
2019-07-23,32,21,多云,西北风,2级,26.5,11
2019-07-24,34,23,多云,东北风,3级,28.5,11
2019-07-25,34,23,多云,东南风,2级,28.5,11
2019-07-26,33,23,晴,西南风,3级,28.0,10
2019-07-27,33,22,雷阵雨,东北风,3级,27.5,11
2019-07-28,33,23,小雨,西北风,2级,28.0,10
2019-07-29,32,19,大雨,西南风,4级,25.5,13
2019-07-30,35,21,晴,东北风,1级,28.0,14
2019-07-31,34,21,小雨,东北风,2级,27.5,13
2019-06-01,30,19,晴,西北风,3级,24.5,11
2019-06-02,31,19,多云,西北风,3级,25.0,12
2019-06-03,32,20,多云,西南风,2级,26.0,12
2019-06-04,32,16,阴,西南风,4级,24.0,16
2019-06-05,24,15,大雨,东北风,4级,19.5,9
2019-06-06,26,16,小雨,东北风,3级,21.0,10
2019-06-07,30,17,多云,西南风,2级,23.5,13
2019-06-08,31,17,小雨,西北风,3级,24.0,14
2019-06-09,30,17,晴,东北风,3级,23.5,13
2019-06-10,30,17,晴,西南风,3级,23.5,13
2019-06-11,29,18,多云,东南风,4级,23.5,11
2019-06-12,30,18,多云,西南风,5级,24.0,12
2019-06-13,30,18,多云,西南风,2级,24.0,12
2019-06-14,30,19,晴,西北风,3级,24.5,11
2019-06-15,28,19,多云,西南风,4级,23.5,9
2019-06-16,29,18,多云,西南风,4级,23.5,11
2019-06-17,30,19,多云,西南风,3级,24.5,11
