日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,25,阴,东北风,4级,27.5,5
2019-09-02,27,25,阴,东北风,5级,26.0,2
2019-09-03,32,25,雷阵雨,东北风,6级,28.5,7
2019-09-04,27,25,阴,东北风,3级,26.0,2
2019-09-05,30,26,阴,东北风,3级,28.0,4
2019-09-06,32,26,多云,东南风,3级,29.0,6
2019-09-07,33,26,阴,西南风,1级,29.5,7
2019-09-08,33,27,多云,西北风,1级,30.0,6
2019-09-09,32,27,阴,东南风,3级,29.5,5
2019-09-10,31,26,阴,东南风,4级,28.5,5
2019-09-11,33,26,多云,东北风,1级,29.5,7
2019-09-12,33,26,阴,西南风,3级,29.5,7
2019-09-13,32,27,多云,东南风,2级,29.5,5
2019-09-14,32,26,阴,东南风,2级,29.0,6
2019-09-15,31,26,阴,西南风,2级,28.5,5
2019-09-16,31,26,阴,东南风,3级,28.5,5
2019-09-17,30,26,阴,东南风,2级,28.0,4
2019-09-18,32,26,多云,西南风,3级,29.0,6
2019-09-19,31,25,阴,西南风,2级,28.0,6
2019-09-20,32,24,晴,东北风,2级,28.0,8
2019-09-21,31,22,多云,东北风,3级,26.5,9
2019-09-22,31,22,多云,西北风,3级,26.5,9
2019-09-23,30,23,晴,东北风,3级,26.5,7
2019-09-24,30,23,阴,东南风,3级,26.5,7
2019-09-25,31,23,晴,东南风,2级,27.0,8
2019-09-26,31,23,多云,东南风,3级,27.0,8
2019-09-27,31,23,晴,东南风,2级,27.0,8
2019-09-28,32,23,多云,西南风,1级,27.5,9
2019-09-29,32,23,晴,西南风,2级,27.5,9
2019-09-30,34,24,晴,西南风,3级,29.0,10
2019-08-01,26,24,暴雨,东南风,4级,25.0,2
2019-08-02,27,25,暴雨,东南风,5级,26.0,2
2019-08-03,27,25,中雨,东北风,3级,26.0,2
2019-08-04,30,26,大雨,西北风,1级,28.0,4
2019-08-05,33,26,多云,西南风,2级,29.5,7
2019-08-06,34,27,阴,西北风,4级,30.5,7
2019-08-07,34,27,多云,东南风,2级,30.5,7
2019-08-08,35,26,阴,西北风,2级,30.5,9
2019-08-09,35,27,阴,西南风,1级,31.0,8
2019-08-10,33,28,小雨,西南风,3级,30.5,5
2019-08-11,33,27,阴,西南风,3级,30.0,6
2019-08-12,34,27,阴,西南风,3级,30.5,7
2019-08-13,33,27,阴,北风,微风,30.0,6
2019-08-14,33,27,多云,西南风,3级,30.0,6
2019-08-15,33,27,中雨,西北风,4级,30.0,6
2019-08-16,33,26,阴,西北风,4级,29.5,7
2019-08-17,27,25,大雨,东南风,2级,26.0,2
2019-08-18,30,25,小雨,西南风,2级,27.5,5
2019-08-19,32,25,阴,东南风,2级,28.5,7
2019-08-20,31,26,小雨,东南风,3级,28.5,5
2019-08-21,31,26,小雨,东南风,2级,28.5,5
2019-08-22,31,26,阴,东南风,3级,28.5,5
2019-08-23,33,27,多云,西南风,2级,30.0,6
2019-08-24,35,27,多云,西南风,3级,31.0,8
2019-08-25,32,26,阴,东南风,2级,29.0,6
2019-08-26,29,25,大雨,东南风,2级,27.0,4
2019-08-27,31,26,小雨,东南风,3级,28.5,5
2019-08-28,35,27,阴,西北风,3级,31.0,8
2019-08-29,30,25,阴,东北风,4级,27.5,5
2019-08-30,30,24,阴,东北风,3级,27.0,6
2019-08-31,29,24,阴,东北风,2级,26.5,5
2019-07-01,34,27,中雨,东南风,3级,30.5,7
2019-07-02,33,25,小雨,东北风,5级,29.0,8
2019-07-03,30,25,大雨,东南风,3级,27.5,5
2019-07-04,31,28,阴,东南风,3级,29.5,3
2019-07-05,30,27,阴,东南风,2级,28.5,3
2019-07-06,31,27,阴,西南风,3级,29.0,4
2019-07-07,32,27,多云,东南风,3级,29.5,5
2019-07-08,31,27,阴,东南风,3级,29.0,4
2019-07-09,30,26,阴,东北风,1级,28.0,4
2019-07-10,29,25,暴雨,东南风,2级,27.0,4
2019-07-11,32,27,阴,西南风,3级,29.5,5
2019-07-12,32,27,小雨,西南风,3级,29.5,5
2019-07-13,30,28,阴,西南风,3级,29.0,2
2019-07-14,30,27,中雨,西南风,3级,28.5,3
2019-07-15,30,27,阴,西南风,2级,28.5,3
2019-07-16,32,28,阴,西南风,2级,30.0,4
2019-07-17,35,28,阴,西南风,2级,31.5,7
2019-07-18,37,27,多云,西南风,2级,32.0,10
2019-07-19,33,28,多云,东南风,2级,30.5,5
2019-07-20,30,28,小雨,东南风,2级,29.0,2
2019-07-21,28,26,暴雨,东北风,2级,27.0,2
2019-07-22,30,27,阴,东南风,3级,28.5,3
2019-07-23,30,26,小雨,东南风,2级,28.0,4
2019-07-24,29,26,中雨,东南风,3级,27.5,3
2019-07-25,30,26,小雨,东南风,2级,28.0,4
2019-07-26,32,27,多云,西南风,3级,29.5,5
2019-07-27,32,27,阴,东南风,3级,29.5,5
2019-07-28,31,26,阴,东南风,3级,28.5,5
2019-07-29,31,25,中雨,东北风,2级,28.0,6
2019-07-30,31,25,大雨,东北风,3级,28.0,6
2019-07-31,29,24,小雨,东北风,7级,26.5,5
2019-06-01,29,25,阴,西南风,3级,27.0,4
2019-06-02,28,24,阴,西南风,3级,26.0,4
2019-06-03,29,25,阴,西南风,2级,27.0,4
2019-06-04,30,26,阴,东北风,2级,28.0,4
2019-06-05,30,26,阴,东南风,3级,28.0,4
2019-06-06,31,28,阴,东南风,3级,29.5,3
2019-06-07,32,27,阴,东南风,4级,29.5,5
2019-06-08,31,27,阴,东南风,4级,29.0,4
2019-06-09,31,28,多云,东南风,3级,29.5,3
2019-06-10,31,27,阴,西南风,2级,29.0,4
2019-06-11,31,26,阴,西北风,3级,28.5,5
2019-06-12,32,25,中雨,东南风,2级,28.5,7
2019-06-13,32,26,暴雨,西南风,2级,29.0,6
2019-06-14,31,26,多云,东南风,2级,28.5,5
2019-06-15,31,25,阴,东南风,3级,28.0,6
2019-06-16,30,25,小雨,东南风,4级,27.5,5
2019-06-17,30,26,中雨,东南风,2级,28.0,4
2019-06-18,30,27,小雨,东南风,4级,28.5,3
2019-06-19,31,27,阴,东南风,3级,29.0,4
2019-06-20,31,27,大雨,东南风,2级,29.0,4
2019-06-21,31,28,阴,西南风,3级,29.5,3
2019-06-22,31,28,阴,东南风,3级,29.5,3
2019-06-23,31,25,阴,东南风,3级,28.0,6
2019-06-24,30,26,小雨,东北风,3级,28.0,4
2019-06-25,30,26,阴,东北风,1级,28.0,4
2019-06-26,31,26,阵雨,西南风,3级,28.5,5
2019-06-27,33,27,阵雨,东南风,3级,30.0,6
2019-06-28,33,28,阴,东南风,4级,30.5,5
2019-06-29,33,28,阴,东南风,3级,30.5,5
2019-06-30,33,27,阴,西北风,1级,30.0,6
2019-05-01,26,22,阴,东北风,5级,24.0,4
2019-05-02,24,21,阴,东北风,3级,22.5,3
2019-05-03,22,20,阴,东北风,3级,21.0,2
2019-05-04,23,22,阴,东北风,4级,22.5,1
2019-05-05,22,20,阴,东北风,4级,21.0,2
2019-05-06,22,19,阴,东北风,4级,20.5,3
2019-05-07,21,20,阴,东北风,3级,20.5,1
2019-05-08,19,19,阴,东北风,4级,19.0,0
2019-05-09,26,21,阴,东南风,1级,23.5,5
2019-05-10,28,23,多云,东南风,3级,25.5,5
2019-05-11,28,24,多云,东南风,3级,26.0,4
2019-05-12,28,23,多云,东南风,3级,25.5,5
2019-05-13,29,25,多云,东南风,3级,27.0,4
2019-05-14,29,26,多云,东南风,3级,27.5,3
2019-05-15,30,27,阴,西南风,3级,28.5,3
2019-05-16,32,28,阴,西南风,3级,30.0,4
2019-05-17,32,27,多云,西南风,4级,29.5,5
2019-05-18,32,28,阴,西南风,3级,30.0,4
2019-05-19,31,26,阴,东南风,3级,28.5,5
2019-05-20,31,24,阴,东北风,3级,27.5,7
2019-05-21,27,23,阴,东北风,2级,25.0,4
2019-05-22,28,24,阴,东南风,3级,26.0,4
2019-05-23,29,25,阴,东南风,4级,27.0,4
2019-05-24,28,25,阴,东北风,2级,26.5,3
2019-05-25,25,24,阴,东南风,1级,24.5,1
