日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,18,少云,东北偏东风,3级,23.0,10
2019-09-02,28,18,少云,东北偏东风,3级,23.0,10
2019-09-03,28,18,少云,东北偏东风,3级,23.0,10
2019-09-04,28,18,少云,东北偏东风,3级,23.0,10
2019-09-05,28,18,少云,东北偏东风,3级,23.0,10
2019-09-06,28,18,少云,东北偏东风,3级,23.0,10
2019-09-07,28,18,少云,东北偏东风,3级,23.0,10
2019-09-08,28,18,少云,东北偏东风,3级,23.0,10
2019-09-09,28,18,少云,东北偏东风,3级,23.0,10
2019-09-10,12,7,阴,西南风,2级,9.5,5
2019-09-11,28,18,少云,东北偏东风,3级,23.0,10
2019-09-12,28,18,少云,东北偏东风,3级,23.0,10
2019-09-13,28,18,少云,东北偏东风,3级,23.0,10
2019-09-14,28,18,少云,东北偏东风,3级,23.0,10
2019-09-15,28,18,少云,东北偏东风,3级,23.0,10
2019-09-16,28,18,少云,东北偏东风,3级,23.0,10
2019-09-17,28,18,少云,东北偏东风,3级,23.0,10
2019-09-18,28,18,少云,东北偏东风,3级,23.0,10
2019-09-19,28,18,少云,东北偏东风,3级,23.0,10
2019-09-20,28,18,少云,东北偏东风,3级,23.0,10
2019-09-21,28,18,少云,东北偏东风,3级,23.0,10
2019-09-22,28,18,少云,东北偏东风,3级,23.0,10
2019-09-23,28,18,少云,东北偏东风,3级,23.0,10
2019-09-24,28,18,少云,东北偏东风,3级,23.0,10
2019-09-25,28,18,少云,东北偏东风,3级,23.0,10
2019-09-26,22,6,阴,东北风,2级,14.0,16
2019-09-27,28,18,少云,东北偏东风,3级,23.0,10
2019-09-28,28,18,少云,东北偏东风,3级,23.0,10
2019-09-29,28,18,少云,东北偏东风,3级,23.0,10
2019-09-30,28,18,少云,东北偏东风,3级,23.0,10
2019-08-01,38,24,晴,东风,3级,31.0,14
2019-08-02,23,0,刮风,,,11.5,23
2019-08-03,22,0,局部多云,东风,3级,11.0,22
2019-08-04,24,0,局部多云,东南风,3级,12.0,24
2019-08-05,23,0,局部多云,东风,3级,11.5,23
2019-08-06,23,0,局部多云,,,11.5,23
2019-08-07,24,0,少云,东南偏东风,3级,12.0,24
2019-08-08,25,0,少云,东风,3级,12.5,25
2019-08-09,27,0,局部多云,东风,3级,13.5,27
2019-08-10,25,0,局部多云,东北偏东风,3级,12.5,25
2019-08-11,23,0,局部多云,东风,2级,11.5,23
2019-08-12,24,0,局部多云,东南风,3级,12.0,24
2019-08-13,23,0,局部多云,东风,3级,11.5,23
2019-08-14,23,0,局部多云,东北偏东风,3级,11.5,23
2019-08-15,22,0,局部多云,东风,3级,11.0,22
2019-08-16,22,0,局部多云,东风,3级,11.0,22
2019-08-17,22,0,局部多云,东风,3级,11.0,22
2019-08-18,22,0,局部多云,东风,3级,11.0,22
2019-08-19,22,0,局部多云,东风,3级,11.0,22
2019-08-20,22,0,局部多云,东风,3级,11.0,22
2019-08-21,22,0,局部多云,东风,3级,11.0,22
2019-08-22,22,0,局部多云,东风,3级,11.0,22
2019-08-23,29,19,少云,东南偏东风,3级,24.0,10
2019-08-24,29,18,局部多云,东风,3级,23.5,11
2019-08-25,29,19,局部多云,东风,2级,24.0,10
2019-08-26,29,20,少云,东风,3级,24.5,9
2019-08-27,29,21,局部多云,东风,2级,25.0,8
2019-08-28,29,19,少云,东南偏东风,2级,24.0,10
2019-08-29,29,19,局部多云,东风,2级,24.0,10
2019-08-30,30,19,少云,东南偏东风,3级,24.5,11
2019-08-31,29,19,晴,东风,3级,24.0,10
2019-07-01,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-02,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-03,27,11,晴,西南风,3级,19.0,16
2019-07-04,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-05,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-06,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-07,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-08,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-09,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-10,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-11,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-12,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-13,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-14,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-15,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-16,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-17,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-18,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-19,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-20,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-21,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-22,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-23,27,19,局部多云,西南偏南风,3级,23.0,8
2019-07-24,38,24,晴,东南风,3级,31.0,14
2019-07-25,39,22,晴,西北风,4级,30.5,17
2019-07-26,34,22,晴,东南偏东风,3级,28.0,12
2019-07-27,36,23,晴,东南偏东风,3级,29.5,13
2019-07-28,35,23,少云,东南风,3级,29.0,12
2019-07-29,36,23,晴,东风,3级,29.5,13
2019-07-30,37,24,晴,东风,3级,30.5,13
2019-07-31,38,24,晴,东南偏南风,3级,31.0,14
