日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,22,7,多云,西南风,1级,14.5,15
2019-09-02,23,9,多云,西南风,2级,16.0,14
2019-09-03,27,12,晴,东南风,3级,19.5,15
2019-09-04,29,12,晴,东南风,3级,20.5,17
2019-09-05,28,10,晴,西南风,2级,19.0,18
2019-09-06,28,11,晴,西南风,2级,19.5,17
2019-09-07,27,7,多云,西北风,2级,17.0,20
2019-09-08,15,2,阴,西北风,4级,8.5,13
2019-09-09,13,1,晴,西北风,1级,7.0,12
2019-09-10,15,1,晴,东南风,2级,8.0,14
2019-09-11,22,7,晴,西南风,1级,14.5,15
2019-09-12,20,8,多云,东南风,3级,14.0,12
2019-09-13,14,0,阴,东南风,微风,7.0,14
2019-09-14,19,6,晴,西南风,2级,12.5,13
2019-09-15,10,-4,阴,西北风,3级,3.0,14
2019-09-16,15,2,晴,东南风,2级,8.5,13
2019-09-17,7,-5,阴,西北风,3级,1.0,12
2019-09-18,12,-3,晴,西南风,1级,4.5,15
2019-09-19,17,1,多云,西南风,2级,9.0,16
2019-09-20,15,-2,阴,西南风,3级,6.5,17
2019-09-21,15,1,阴,东南风,1级,8.0,14
2019-09-22,23,4,晴,东南风,3级,13.5,19
2019-09-23,19,0,晴,南风,微风,9.5,19
2019-09-24,21,3,多云,东南风,3级,12.0,18
2019-09-25,25,3,晴,西南风,1级,14.0,22
2019-09-26,27,5,晴,东南风,2级,16.0,22
2019-09-27,26,8,晴,东南风,2级,17.0,18
2019-09-28,17,-5,阴,西北风,2级,6.0,22
2019-09-29,17,3,晴,东南风,5级,10.0,14
2019-09-30,25,5,多云,东南风,2级,15.0,20
2019-08-01,24,12,晴,西北风,微风,18.0,12
2019-08-02,27,14,多云,东南风,2级,20.5,13
2019-08-03,29,14,晴,东南风,1级,21.5,15
2019-08-04,31,15,晴,西风,1级,23.0,16
2019-08-05,27,14,阴,东南风,微风,20.5,13
2019-08-06,20,14,阴,东南风,3级,17.0,6
2019-08-07,19,14,阴,东北风,2级,16.5,5
2019-08-08,18,13,小雨,西南风,1级,15.5,5
2019-08-09,20,12,小雨,东北风,1级,16.0,8
2019-08-10,18,14,阴,西北风,1级,16.0,4
2019-08-11,18,10,小雨,西北风,1级,14.0,8
2019-08-12,22,11,阴,东南风,2级,16.5,11
2019-08-13,22,10,多云,东南风,1级,16.0,12
2019-08-14,23,10,阴,西北风,3级,16.5,13
2019-08-15,22,11,阴,东南风,2级,16.5,11
2019-08-16,19,11,小雨,南风,微风,15.0,8
2019-08-17,19,10,小雨,西南风,1级,14.5,9
2019-08-18,19,9,小雨,西南风,1级,14.0,10
2019-08-19,22,12,多云,东南风,2级,17.0,10
2019-08-20,18,11,中雨,西南风,1级,14.5,7
2019-08-21,12,10,中雨,西北风,3级,11.0,2
2019-08-22,17,10,中雨,西北风,1级,13.5,7
2019-08-23,20,8,阴,南风,微风,14.0,12
2019-08-24,20,10,阴,东南风,1级,15.0,10
2019-08-25,21,13,大雨,东南风,1级,17.0,8
2019-08-26,18,8,中雨,西南风,1级,13.0,10
2019-08-27,14,6,小雨,西南风,2级,10.0,8
2019-08-28,17,8,小雨,西南风,1级,12.5,9
2019-08-29,17,6,阴,西南风,2级,11.5,11
2019-08-30,20,5,多云,东南风,2级,12.5,15
2019-08-31,21,7,多云,东南风,2级,14.0,14
2019-07-01,23,7,小雨,东南风,3级,15.0,16
2019-07-02,24,8,阴,东北风,1级,16.0,16
2019-07-03,26,12,多云,西南风,2级,19.0,14
2019-07-04,29,14,阴,东北风,微风,21.5,15
2019-07-05,15,10,中雨,西北风,3级,12.5,5
2019-07-06,12,7,小雨,西北风,1级,9.5,5
2019-07-07,23,10,晴,西南风,2级,16.5,13
2019-07-08,26,13,晴,西南风,1级,19.5,13
2019-07-09,26,15,中雨,西南风,2级,20.5,11
2019-07-10,26,12,阴,东南风,2级,19.0,14
2019-07-11,25,11,阴,东南风,1级,18.0,14
2019-07-12,26,11,小雨,西南风,2级,18.5,15
2019-07-13,24,11,阴,东北风,微风,17.5,13
2019-07-14,25,11,阴,西北风,微风,18.0,14
2019-07-15,28,14,多云,西北风,1级,21.0,14
2019-07-16,26,14,阴,东南风,2级,20.0,12
2019-07-17,26,11,多云,东南风,2级,18.5,15
2019-07-18,29,18,阴,东南风,2级,23.5,11
2019-07-19,28,17,小雨,西北风,1级,22.5,11
2019-07-20,26,14,小雨,西北风,4级,20.0,12
2019-07-21,23,11,多云,西北风,2级,17.0,12
2019-07-22,24,14,晴,西南风,2级,19.0,10
2019-07-23,19,12,中雨,西南风,2级,15.5,7
2019-07-24,20,12,阴,西南风,2级,16.0,8
2019-07-25,20,11,阴,北风,微风,15.5,9
2019-07-26,25,14,多云,南风,微风,19.5,11
2019-07-27,27,17,阴,东南风,4级,22.0,10
2019-07-28,29,15,阴,西南风,2级,22.0,14
2019-07-29,28,14,阴,东南风,4级,21.0,14
2019-07-30,24,12,小雨,东南风,2级,18.0,12
2019-07-31,20,10,小雨,西南风,2级,15.0,10
2019-06-01,24,2,阴,西北风,3级,13.0,22
2019-06-02,20,5,多云,西南风,2级,12.5,15
2019-06-03,20,5,阴,西南风,2级,12.5,15
2019-06-04,21,4,晴,西南风,5级,12.5,17
2019-06-05,16,3,晴,东南风,3级,9.5,13
2019-06-06,23,8,阴,西南风,2级,15.5,15
2019-06-07,15,7,阴,西南风,3级,11.0,8
2019-06-08,14,9,阴,东北风,1级,11.5,5
2019-06-09,19,5,阴,东南风,1级,12.0,14
2019-06-10,23,6,多云,西南风,3级,14.5,17
2019-06-11,26,11,多云,东南风,2级,18.5,15
2019-06-12,26,7,雷阵雨,西北风,2级,16.5,19
2019-06-13,19,5,多云,西北风,4级,12.0,14
2019-06-14,15,4,阴,东北风,2级,9.5,11
2019-06-15,20,2,晴,东南风,3级,11.0,18
2019-06-16,20,5,多云,东南风,1级,12.5,15
2019-06-17,25,5,晴,东南风,1级,15.0,20
2019-06-18,26,9,晴,西南风,2级,17.5,17
2019-06-19,29,9,晴,东南风,2级,19.0,20
2019-06-20,24,9,多云,西南风,2级,16.5,15
2019-06-21,24,8,晴,西北风,1级,16.0,16
2019-06-22,28,10,晴,东南风,3级,19.0,18
2019-06-23,32,16,晴,东南风,3级,24.0,16
2019-06-24,33,16,阴,西南风,2级,24.5,17
2019-06-25,22,16,小雨,东南风,3级,19.0,6
2019-06-26,23,13,中雨,西南风,2级,18.0,10
2019-06-27,25,10,多云,东南风,2级,17.5,15
2019-06-28,15,8,中雨,东南风,4级,11.5,7
2019-06-29,14,6,阴,西北风,1级,10.0,8
2019-06-30,21,7,阴,西南风,1级,14.0,14
2019-05-01,16,-2,多云,东南风,1级,7.0,18
2019-05-02,22,4,晴,东南风,2级,13.0,18
2019-05-03,23,3,多云,东北风,1级,13.0,20
2019-05-04,15,-5,阴,西北风,3级,5.0,20
2019-05-05,7,-5,阴,西北风,3级,1.0,12
2019-05-06,13,0,多云,西北风,2级,6.5,13
2019-05-07,18,0,多云,西北风,2级,9.0,18
2019-05-08,13,0,多云,西北风,2级,6.5,13
2019-05-09,19,4,多云,东南风,1级,11.5,15
2019-05-10,21,4,阴,西南风,1级,12.5,17
2019-05-11,19,6,阴,东南风,4级,12.5,13
2019-05-12,19,2,阴,东南风,3级,10.5,17
2019-05-13,7,-3,阴,东南风,2级,2.0,10
2019-05-14,14,4,多云,东南风,2级,9.0,10
2019-05-15,22,3,阴,西南风,5级,12.5,19
2019-05-16,14,0,晴,西北风,微风,7.0,14
2019-05-17,18,-3,多云,西北风,1级,7.5,21
2019-05-18,13,0,多云,东北风,微风,6.5,13
2019-05-19,7,0,阴,西南风,1级,3.5,7
2019-05-20,11,0,阴,西北风,5级,5.5,11
2019-05-21,16,1,多云,西北风,1级,8.5,15
2019-05-22,21,4,晴,西北风,2级,12.5,17
2019-05-23,28,12,晴,西南风,3级,20.0,16
2019-05-24,31,11,晴,东南风,2级,21.0,20
2019-05-25,16,4,阴,北风,1级,10.0,12
2019-05-26,15,0,阴,东南风,1级,7.5,15
2019-05-27,14,-1,晴,西北风,2级,6.5,15
2019-05-28,15,-1,晴,西北风,3级,7.0,16
2019-05-29,19,0,多云,西北风,3级,9.5,19
2019-05-30,7,0,雨夹雪,东北风,1级,3.5,7
2019-05-31,13,2,阴,西南风,3级,7.5,11
2019-04-01,0,-16,阴,西北风,1级,-8.0,16
2019-04-02,3,-10,多云,西南风,微风,-3.5,13
2019-04-03,8,-5,阴,南风,2级,1.5,13
2019-04-04,0,-13,阴,西北风,5级,-6.5,13
2019-04-05,2,-12,晴,东南风,1级,-5.0,14
2019-04-06,0,-12,阴,西北风,3级,-6.0,12
2019-04-07,0,-11,阴,东南风,微风,-5.5,11
2019-04-08,2,-9,晴,北风,微风,-3.5,11
2019-04-09,5,-10,多云,西南风,1级,-2.5,15
2019-04-10,6,-10,晴,西南风,1级,-2.0,16
2019-04-11,9,-3,晴,东南风,2级,3.0,12
2019-04-12,12,-9,阴,西北风,4级,1.5,21
2019-04-13,4,-11,晴,西北风,3级,-3.5,15
2019-04-14,12,-2,多云,西北风,微风,5.0,14
2019-04-15,18,-1,晴,东南风,2级,8.5,19
2019-04-16,14,-1,多云,东南风,1级,6.5,15
2019-04-17,7,-8,阴,西北风,6级,-0.5,15
2019-04-18,5,-12,阴,西南风,2级,-3.5,17
2019-04-19,13,-5,晴,东南风,4级,4.0,18
2019-04-20,4,-9,阴,西北风,1级,-2.5,13
2019-04-21,10,-9,多云,东南风,2级,0.5,19
2019-04-22,18,-6,多云,西北风,4级,6.0,24
2019-04-23,7,-11,多云,西北风,4级,-2.0,18
2019-04-24,6,-9,阴,东南风,1级,-1.5,15
2019-04-25,10,-9,晴,西南风,1级,0.5,19
2019-04-26,12,-3,晴,东南风,2级,4.5,15
2019-04-27,19,0,阴,西南风,1级,9.5,19
2019-04-28,17,-2,多云,南风,2级,7.5,19
2019-04-29,17,0,晴,东南风,3级,8.5,17
2019-04-30,14,-5,阴,西北风,5级,4.5,19
2019-03-01,5,-13,阴,西南风,2级,-4.0,18
2019-03-02,3,-17,晴,西南风,1级,-7.0,20
2019-03-03,4,-14,阴,西南风,2级,-5.0,18
2019-03-04,3,-14,阴,西南风,1级,-5.5,17
2019-03-05,-1,-18,阴,东南风,1级,-9.5,17
2019-03-06,-2,-18,阴,西南风,微风,-10.0,16
2019-03-07,5,-14,晴,西南风,2级,-4.5,19
2019-03-08,8,-14,阴,西北风,2级,-3.0,22
2019-03-09,-1,-12,阴,东南风,1级,-6.5,11
2019-03-10,2,-16,阴,东南风,2级,-7.0,18
2019-03-11,-5,-23,阴,西北风,6级,-14.0,18
2019-03-12,-8,-22,阴,西北风,4级,-15.0,14
2019-03-13,-2,-17,阴,西北风,4级,-9.5,15
2019-03-14,-2,-21,阴,西南风,1级,-11.5,19
2019-03-15,-2,-11,阴,西南风,2级,-6.5,9
2019-03-16,0,-11,阴,西南风,1级,-5.5,11
2019-03-17,12,-7,多云,东南风,微风,2.5,19
2019-03-18,10,-3,阴,西南风,1级,3.5,13
2019-03-19,9,-8,多云,西北风,3级,0.5,17
2019-03-20,-1,-15,阴,西北风,3级,-8.0,14
2019-03-21,-4,-16,多云,东南风,1级,-10.0,12
2019-03-22,-3,-18,阴,西北风,2级,-10.5,15
2019-03-23,0,-13,多云,西南风,1级,-6.5,13
2019-03-24,2,-13,晴,西北风,2级,-5.5,15
2019-03-25,-4,-20,晴,西北风,3级,-12.0,16
2019-03-26,-1,-18,阴,西北风,2级,-9.5,17
2019-03-27,-3,-18,多云,西北风,2级,-10.5,15
2019-03-28,-2,-12,多云,东南风,2级,-7.0,10
2019-03-29,-2,-18,阴,西北风,3级,-10.0,16
2019-03-30,-2,-17,晴,西北风,3级,-9.5,15
2019-03-31,-1,-16,阴,西北风,1级,-8.5,15
2019-02-01,-8,-23,晴,西南风,1级,-15.5,15
2019-02-02,-4,-30,阴,东南风,1级,-17.0,26
2019-02-03,-23,-34,阴,西南风,1级,-28.5,11
2019-02-04,-19,-35,小雪,西北风,微风,-27.0,16
2019-02-05,-23,-37,多云,东北风,1级,-30.0,14
2019-02-06,-26,-37,多云,西北风,3级,-31.5,11
2019-02-07,-24,-36,阴,东北风,2级,-30.0,12
2019-02-08,-20,-34,阴,东南风,1级,-27.0,14
2019-02-09,-18,-33,多云,西南风,1级,-25.5,15
2019-02-10,-16,-34,阴,东南风,1级,-25.0,18
2019-02-11,-19,-35,阴,东南风,微风,-27.0,16
2019-02-12,-18,-32,多云,东南风,1级,-25.0,14
2019-02-13,-15,-32,多云,东南风,1级,-23.5,17
2019-02-14,-11,-27,多云,东南风,1级,-19.0,16
2019-02-15,-14,-29,阴,东南风,1级,-21.5,15
2019-02-16,-9,-23,阴,东南风,1级,-16.0,14
2019-02-17,-5,-22,阴,西南风,2级,-13.5,17
2019-02-18,-4,-20,晴,西南风,2级,-12.0,16
2019-02-19,-4,-22,阴,南风,微风,-13.0,18
2019-02-20,-2,-21,多云,东南风,1级,-11.5,19
2019-02-21,-2,-19,多云,南风,微风,-10.5,17
2019-02-22,0,-17,阴,西南风,1级,-8.5,17
2019-02-23,0,-18,晴,西北风,3级,-9.0,18
2019-02-24,-5,-19,多云,西北风,4级,-12.0,14
2019-02-25,-3,-19,阴,西南风,3级,-11.0,16
2019-02-26,1,-16,阴,西南风,1级,-7.5,17
2019-02-27,1,-19,多云,西南风,1级,-9.0,20
2019-02-28,0,-16,阴,东南风,1级,-8.0,16
2019-01-01,-18,-30,阴,东南风,1级,-24.0,12
2019-01-02,-17,-29,多云,西南风,2级,-23.0,12
2019-01-03,-16,-30,阴,西南风,1级,-23.0,14
2019-01-04,-18,-33,小雪,西北风,1级,-25.5,15
2019-01-05,-20,-32,阴,西南风,1级,-26.0,12
2019-01-06,-16,-31,晴,东南风,1级,-23.5,15
2019-01-07,-19,-33,阴,西北风,3级,-26.0,14
2019-01-08,-16,-29,阴,东南风,2级,-22.5,13
2019-01-09,-9,-25,晴,西南风,1级,-17.0,16
