日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,19,晴,西南风,3级,24.5,11
2019-09-02,28,16,阴,西北风,5级,22.0,12
2019-09-03,29,16,小雨,东北风,1级,22.5,13
2019-09-04,25,16,阴,西北风,3级,20.5,9
2019-09-05,24,17,阴,东南风,1级,20.5,7
2019-09-06,18,11,阴,西北风,2级,14.5,7
2019-09-07,24,14,阴,东南风,1级,19.0,10
2019-09-08,25,15,晴,西北风,2级,20.0,10
2019-09-09,26,15,阴,东北风,1级,20.5,11
2019-09-10,17,8,阴,东北风,2级,12.5,9
2019-09-11,24,12,多云,东北风,2级,18.0,12
2019-09-12,18,12,晴,西北风,1级,15.0,6
2019-09-13,20,11,多云,东北风,2级,15.5,9
2019-09-14,26,13,晴,西北风,微风,19.5,13
2019-09-15,26,14,多云,东北风,1级,20.0,12
2019-09-16,19,12,阴,西南风,2级,15.5,7
2019-09-17,22,9,多云,西风,2级,15.5,13
2019-09-18,24,9,晴,东南风,微风,16.5,15
2019-09-19,25,9,多云,西北风,1级,17.0,16
2019-09-20,27,10,晴,东北风,微风,18.5,17
2019-09-21,28,10,晴,西南风,1级,19.0,18
2019-09-22,28,10,晴,东北风,1级,19.0,18
2019-09-23,30,11,晴,北风,微风,20.5,19
2019-09-24,28,10,晴,北风,微风,19.0,18
2019-09-25,30,11,晴,西北风,2级,20.5,19
2019-09-26,31,9,多云,东南风,微风,20.0,22
2019-09-27,31,11,晴,南风,微风,21.0,20
2019-09-28,31,10,晴,东南风,1级,20.5,21
2019-09-29,31,12,晴,西南风,1级,21.5,19
2019-09-30,28,11,多云,西南风,1级,19.5,17
2019-08-01,30,21,多云,西南风,2级,25.5,9
2019-08-02,34,21,多云,西北风,2级,27.5,13
2019-08-03,32,19,小雨,西北风,1级,25.5,13
2019-08-04,27,20,多云,东南风,2级,23.5,7
2019-08-05,32,20,多云,东北风,4级,26.0,12
2019-08-06,33,20,多云,西南风,2级,26.5,13
2019-08-07,34,21,多云,西南风,3级,27.5,13
2019-08-08,36,20,晴,西北风,2级,28.0,16
2019-08-09,37,21,多云,西北风,1级,29.0,16
2019-08-10,30,19,多云,东北风,2级,24.5,11
2019-08-11,33,17,晴,东北风,2级,25.0,16
2019-08-12,34,20,多云,西北风,2级,27.0,14
2019-08-13,35,20,浮尘,西北风,2级,27.5,15
2019-08-14,35,19,多云,西北风,3级,27.0,16
2019-08-15,35,19,阴,东北风,2级,27.0,16
2019-08-16,33,21,多云,东北风,3级,27.0,12
2019-08-17,27,19,阴,西北风,3级,23.0,8
2019-08-18,30,18,多云,西南风,3级,24.0,12
2019-08-19,25,15,阴,东北风,2级,20.0,10
2019-08-20,25,16,阴,东北风,3级,20.5,9
2019-08-21,22,13,小雨,西北风,2级,17.5,9
2019-08-22,24,16,雾,东北风,2级,20.0,8
2019-08-23,28,18,晴,东北风,2级,23.0,10
2019-08-24,28,18,晴,西北风,1级,23.0,10
2019-08-25,25,16,多云,西北风,1级,20.5,9
2019-08-26,30,16,晴,西北风,1级,23.0,14
2019-08-27,30,18,多云,西北风,3级,24.0,12
2019-08-28,29,19,多云,西北风,2级,24.0,10
2019-08-29,31,18,晴,西北风,2级,24.5,13
2019-08-30,27,20,晴,西南风,2级,23.5,7
2019-08-31,25,18,多云,西南风,1级,21.5,7
2019-07-01,32,16,多云,西南风,4级,24.0,16
2019-07-02,33,18,晴,东北风,2级,25.5,15
2019-07-03,35,21,晴,东北风,2级,28.0,14
2019-07-04,27,15,阴,东北风,3级,21.0,12
2019-07-05,31,16,晴,东北风,2级,23.5,15
2019-07-06,33,19,晴,东北风,2级,26.0,14
2019-07-07,33,17,多云,西北风,2级,25.0,16
2019-07-08,29,17,阴,东北风,1级,23.0,12
2019-07-09,31,19,晴,西北风,2级,25.0,12
2019-07-10,24,19,小雨,西南风,1级,21.5,5
2019-07-11,33,18,多云,东北风,2级,25.5,15
2019-07-12,34,17,晴,东北风,1级,25.5,17
2019-07-13,35,20,多云,西北风,2级,27.5,15
2019-07-14,29,16,阴,东北风,3级,22.5,13
2019-07-15,32,17,晴,东北风,5级,24.5,15
2019-07-16,32,16,多云,西北风,2级,24.0,16
2019-07-17,35,18,晴,西北风,3级,26.5,17
2019-07-18,35,23,阴,西北风,3级,29.0,12
2019-07-19,29,18,多云,西南风,2级,23.5,11
2019-07-20,33,18,晴,西北风,1级,25.5,15
2019-07-21,33,19,多云,西南风,2级,26.0,14
2019-07-22,33,19,晴,西风,2级,26.0,14
2019-07-23,35,18,晴,东北风,2级,26.5,17
2019-07-24,35,21,多云,东南风,2级,28.0,14
2019-07-25,34,18,晴,东北风,6级,26.0,16
2019-07-26,32,16,晴,东北风,3级,24.0,16
2019-07-27,31,20,晴,东北风,2级,25.5,11
2019-07-28,32,22,多云,东北风,2级,27.0,10
2019-07-29,32,20,多云,东南风,1级,26.0,12
2019-07-30,35,22,晴,东北风,2级,28.5,13
2019-07-31,34,20,多云,东南风,2级,27.0,14
2019-06-01,33,14,晴,西北风,2级,23.5,19
2019-06-02,33,17,阴,东北风,2级,25.0,16
2019-06-03,29,17,浮尘,西北风,5级,23.0,12
2019-06-04,29,14,阴,东北风,2级,21.5,15
2019-06-05,27,14,阴,东北风,2级,20.5,13
2019-06-06,27,15,阴,西南风,3级,21.0,12
2019-06-07,24,14,阴,东南风,1级,19.0,10
2019-06-08,30,15,多云,东南风,3级,22.5,15
2019-06-09,27,14,阴,东北风,1级,20.5,13
2019-06-10,27,16,阴,东北风,3级,21.5,11
2019-06-11,19,15,阴,西南风,2级,17.0,4
2019-06-12,23,12,小雨,东南风,3级,17.5,11
2019-06-13,26,11,晴,西北风,2级,18.5,15
2019-06-14,30,13,晴,西北风,5级,21.5,17
2019-06-15,30,14,晴,西北风,2级,22.0,16
2019-06-16,31,14,阴,东北风,3级,22.5,17
2019-06-17,32,16,多云,东北风,2级,24.0,16
2019-06-18,28,15,阴,西北风,4级,21.5,13
2019-06-19,22,16,阴,西北风,2级,19.0,6
2019-06-20,29,17,阴,东南风,1级,23.0,12
2019-06-21,19,15,小雨,东南风,2级,17.0,4
2019-06-22,28,16,多云,东北风,4级,22.0,12
2019-06-23,26,15,阴,东北风,3级,20.5,11
2019-06-24,29,14,阴,东北风,2级,21.5,15
2019-06-25,25,16,阴,西南风,4级,20.5,9
2019-06-26,30,13,小雨,东北风,3级,21.5,17
2019-06-27,28,15,多云,东北风,3级,21.5,13
2019-06-28,30,16,多云,西南风,2级,23.0,14
2019-06-29,29,16,阴,西风,2级,22.5,13
