日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,17,晴,东南风,2级,24.0,14
2019-09-02,25,16,多云,东北风,3级,20.5,9
2019-09-03,29,17,小雨,西南风,2级,23.0,12
2019-09-04,23,16,阴,东北风,1级,19.5,7
2019-09-05,27,17,多云,东南风,2级,22.0,10
2019-09-06,18,11,阴,西南风,1级,14.5,7
2019-09-07,23,16,多云,东南风,2级,19.5,7
2019-09-08,24,15,多云,东南风,2级,19.5,9
2019-09-09,26,12,晴,东北风,1级,19.0,14
2019-09-10,16,10,阴,东北风,2级,13.0,6
2019-09-11,22,10,晴,东北风,2级,16.0,12
2019-09-12,18,12,晴,西南风,1级,15.0,6
2019-09-13,21,12,阴,西南风,2级,16.5,9
2019-09-14,24,12,多云,西北风,1级,18.0,12
2019-09-15,27,13,多云,东北风,2级,20.0,14
2019-09-16,20,11,阴,东南风,2级,15.5,9
2019-09-17,22,10,阴,西南风,2级,16.0,12
2019-09-18,23,10,晴,西南风,3级,16.5,13
2019-09-19,23,10,多云,东风,2级,16.5,13
2019-09-20,26,12,晴,东南风,2级,19.0,14
2019-09-21,27,11,晴,东南风,1级,19.0,16
2019-09-22,27,11,晴,东南风,2级,19.0,16
2019-09-23,29,13,晴,东南风,2级,21.0,16
2019-09-24,27,13,晴,西南风,2级,20.0,14
2019-09-25,29,12,晴,东南风,2级,20.5,17
2019-09-26,29,14,晴,东北风,2级,21.5,15
2019-09-27,28,13,晴,东北风,2级,20.5,15
2019-09-28,29,14,晴,西南风,1级,21.5,15
2019-09-29,30,14,多云,东北风,2级,22.0,16
2019-09-30,26,14,多云,西风,2级,20.0,12
2019-08-01,32,20,小雨,西南风,2级,26.0,12
2019-08-02,33,20,多云,西北风,2级,26.5,13
2019-08-03,33,21,多云,西北风,1级,27.0,12
2019-08-04,31,19,多云,东南风,2级,25.0,12
2019-08-05,33,20,阴,东北风,4级,26.5,13
2019-08-06,33,21,多云,西南风,2级,27.0,12
2019-08-07,33,21,多云,西南风,3级,27.0,12
2019-08-08,35,20,晴,西北风,2级,27.5,15
2019-08-09,36,20,多云,西北风,1级,28.0,16
2019-08-10,29,20,小雨,东北风,2级,24.5,9
2019-08-11,32,19,晴,东北风,2级,25.5,13
2019-08-12,33,22,扬沙,西北风,2级,27.5,11
2019-08-13,34,21,浮尘,西北风,2级,27.5,13
2019-08-14,32,21,阴,西北风,3级,26.5,11
2019-08-15,34,20,阴,东北风,2级,27.0,14
2019-08-16,32,22,多云,东北风,3级,27.0,10
2019-08-17,25,17,阴,西北风,5级,21.0,8
2019-08-18,30,19,晴,西南风,3级,24.5,11
2019-08-19,22,15,阴,西北风,2级,18.5,7
