日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,21,10,多云,西北风,1级,15.5,11
2019-09-02,25,14,多云,西南风,2级,19.5,11
2019-09-03,26,15,多云,东南风,2级,20.5,11
2019-09-04,28,16,雾,东南风,2级,22.0,12
2019-09-05,29,17,多云,东北风,4级,23.0,12
2019-09-06,24,17,阴,西南风,1级,20.5,7
2019-09-07,28,16,雾,东北风,1级,22.0,12
2019-09-08,25,6,多云,西北风,2级,15.5,19
2019-09-09,19,6,多云,西北风,3级,12.5,13
2019-09-10,21,6,晴,西北风,1级,13.5,15
2019-09-11,23,12,晴,西南风,2级,17.5,11
2019-09-12,25,12,阴,东南风,3级,18.5,13
2019-09-13,22,8,阴,西北风,2级,15.0,14
2019-09-14,23,10,多云,西南风,3级,16.5,13
2019-09-15,20,2,多云,西北风,3级,11.0,18
2019-09-16,19,6,晴,西南风,2级,12.5,13
2019-09-17,15,3,多云,西北风,5级,9.0,12
2019-09-18,14,2,晴,西北风,2级,8.0,12
2019-09-19,18,6,阴,西南风,2级,12.0,12
2019-09-20,18,4,阴,西北风,2级,11.0,14
2019-09-21,19,7,多云,东南风,1级,13.0,12
2019-09-22,26,7,晴,西南风,2级,16.5,19
2019-09-23,26,7,晴,西南风,1级,16.5,19
2019-09-24,21,5,多云,西南风,2级,13.0,16
2019-09-25,22,7,晴,东北风,1级,14.5,15
2019-09-26,24,9,晴,东南风,2级,16.5,15
2019-09-27,30,11,晴,西南风,2级,20.5,19
2019-09-28,26,4,多云,西北风,2级,15.0,22
2019-09-29,17,3,多云,东南风,2级,10.0,14
2019-09-30,18,7,阴,东北风,2级,12.5,11
2019-08-01,29,17,多云,西南风,2级,23.0,12
2019-08-02,29,19,晴,东南风,1级,24.0,10
2019-08-03,29,20,多云,东南风,1级,24.5,9
2019-08-04,31,19,多云,西南风,2级,25.0,12
2019-08-05,26,16,阴,东北风,4级,21.0,10
2019-08-06,16,15,暴雨,东南风,1级,15.5,1
2019-08-07,16,15,暴雨,西北风,2级,15.5,1
2019-08-08,16,13,小雨,东北风,3级,14.5,3
2019-08-09,19,13,小雨,东北风,2级,16.0,6
2019-08-10,18,15,小雨,东北风,2级,16.5,3
2019-08-11,21,14,小雨,东北风,2级,17.5,7
2019-08-12,25,15,晴,东北风,1级,20.0,10
2019-08-13,26,15,多云,西南风,1级,20.5,11
2019-08-14,27,14,阴,西南风,微风,20.5,13
2019-08-15,27,17,阴,西北风,2级,22.0,10
2019-08-16,23,16,小雨,东北风,2级,19.5,7
2019-08-17,21,13,雾,西北风,2级,17.0,8
2019-08-18,22,11,多云,东北风,2级,16.5,11
2019-08-19,24,15,多云,东南风,2级,19.5,9
2019-08-20,18,15,中雨,东南风,4级,16.5,3
2019-08-21,20,15,中雨,东北风,2级,17.5,5
2019-08-22,23,15,阴,北风,2级,19.0,8
2019-08-23,24,13,阴,西北风,1级,18.5,11
2019-08-24,23,14,阴,西北风,1级,18.5,9
2019-08-25,26,15,阴,东南风,1级,20.5,11
2019-08-26,20,13,中雨,西北风,2级,16.5,7
2019-08-27,24,12,阴,西北风,3级,18.0,12
2019-08-28,19,14,小雨,西北风,2级,16.5,5
2019-08-29,20,12,小雨,西北风,2级,16.0,8
2019-08-30,25,12,晴,西北风,2级,18.5,13
2019-08-31,25,13,多云,西南风,2级,19.0,12
2019-07-01,30,16,阴,东南风,3级,23.0,14
2019-07-02,26,15,小雨,东南风,1级,20.5,11
2019-07-03,27,15,阵雨,东南风,2级,21.0,12
2019-07-04,27,16,多云,西南风,3级,21.5,11
2019-07-05,15,13,中雨,东北风,3级,14.0,2
2019-07-06,18,16,中雨,东南风,1级,17.0,2
2019-07-07,27,17,多云,西南风,1级,22.0,10
2019-07-08,28,18,多云,西北风,3级,23.0,10
2019-07-09,30,19,阴,西南风,2级,24.5,11
2019-07-10,30,19,阴,西北风,2级,24.5,11
2019-07-11,26,18,阴,西南风,2级,22.0,8
2019-07-12,27,18,阴,西北风,2级,22.5,9
2019-07-13,27,18,阴,东南风,1级,22.5,9
