日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,24,19,阴,东北风,1级,21.5,5
2019-09-02,21,19,阴,东南风,微风,20.0,2
2019-09-03,23,19,小雨,东南风,微风,21.0,4
2019-09-04,22,20,阴,东北风,1级,21.0,2
2019-09-05,24,21,阴,东北风,2级,22.5,3
2019-09-06,24,21,阴,东北风,1级,22.5,3
2019-09-07,24,21,阴,西南风,1级,22.5,3
2019-09-08,27,21,阴,东南风,微风,24.0,6
2019-09-09,27,22,阴,东南风,1级,24.5,5
2019-09-10,29,21,阴,西北风,1级,25.0,8
2019-09-11,29,22,阴,西南风,1级,25.5,7
2019-09-12,27,20,阴,东南风,1级,23.5,7
2019-09-13,20,17,阴,东北风,1级,18.5,3
2019-09-14,19,16,阴,西南风,1级,17.5,3
2019-09-15,20,17,阴,西南风,微风,18.5,3
2019-09-16,23,18,阴,东北风,微风,20.5,5
2019-09-17,19,17,阴,西南风,2级,18.0,2
2019-09-18,23,17,小雨,东南风,1级,20.0,6
2019-09-19,18,16,阴,西南风,1级,17.0,2
2019-09-20,21,17,阴,西南风,2级,19.0,4
2019-09-21,28,17,阴,东南风,1级,22.5,11
2019-09-22,27,18,阴,西南风,1级,22.5,9
2019-09-23,20,16,阴,西南风,2级,18.0,4
2019-09-24,17,14,阴,西南风,2级,15.5,3
2019-09-25,26,15,多云,西南风,1级,20.5,11
2019-09-26,22,16,多云,西南风,1级,19.0,6
2019-09-27,26,17,多云,东南风,1级,21.5,9
2019-09-28,25,18,阴,西南风,1级,21.5,7
2019-09-29,23,19,阴,西南风,1级,21.0,4
2019-09-30,21,19,阴,西南风,1级,20.0,2
2019-08-01,33,22,多云,东北风,1级,27.5,11
2019-08-02,29,21,小雨,东北风,1级,25.0,8
2019-08-03,30,21,小雨,东北风,1级,25.5,9
2019-08-04,31,21,阴,北风,微风,26.0,10
2019-08-05,27,21,中雨,西北风,1级,24.0,6
2019-08-06,28,21,小雨,东北风,1级,24.5,7
2019-08-07,32,21,多云,西北风,1级,26.5,11
2019-08-08,32,22,阴,东南风,1级,27.0,10
2019-08-09,30,22,小雨,西南风,1级,26.0,8
2019-08-10,34,23,晴,东南风,1级,28.5,11
2019-08-11,35,23,晴,东北风,1级,29.0,12
2019-08-12,34,24,多云,东南风,1级,29.0,10
2019-08-13,33,23,阴,西南风,1级,28.0,10
2019-08-14,34,22,阴,东南风,1级,28.0,12
2019-08-15,34,22,晴,东南风,1级,28.0,12
2019-08-16,34,23,晴,东南风,1级,28.5,11
2019-08-17,34,24,多云,西南风,1级,29.0,10
2019-08-18,31,23,阴,西南风,1级,27.0,8
2019-08-19,26,22,阴,东南风,1级,24.0,4
2019-08-20,24,22,小雨,西南风,1级,23.0,2
2019-08-21,25,22,大雨,西南风,1级,23.5,3
2019-08-22,26,22,暴雨,西南风,2级,24.0,4
2019-08-23,32,22,阴,东南风,微风,27.0,10
2019-08-24,33,23,阴,西南风,1级,28.0,10
2019-08-25,32,23,小雨,东北风,微风,27.5,9
2019-08-26,33,23,阴,西南风,1级,28.0,10
2019-08-27,26,21,阴,西南风,2级,23.5,5
2019-08-28,32,21,多云,东南风,1级,26.5,11
2019-08-29,28,21,阴,西南风,1级,24.5,7
2019-08-30,26,18,阴,西南风,1级,22.0,8
2019-08-31,22,18,阴,东南风,1级,20.0,4
2019-07-01,32,22,晴,东北风,1级,27.0,10
2019-07-02,28,21,多云,东南风,1级,24.5,7
2019-07-03,23,20,阵雨,西南风,1级,21.5,3
2019-07-04,25,20,中雨,北风,微风,22.5,5
2019-07-05,29,21,多云,西北风,1级,25.0,8
2019-07-06,27,20,小雨,北风,微风,23.5,7
2019-07-07,27,20,阵雨,西南风,1级,23.5,7
2019-07-08,27,20,阴,东南风,1级,23.5,7
2019-07-09,30,21,阴,东南风,1级,25.5,9
2019-07-10,30,20,大暴雨,西南风,2级,25.0,10
2019-07-11,24,19,中雨,西北风,1级,21.5,5
2019-07-12,25,20,小雨,西南风,2级,22.5,5
2019-07-13,29,21,阴,西南风,1级,25.0,8
2019-07-14,29,20,阴,西南风,2级,24.5,9
2019-07-15,25,21,小雨,东南风,1级,23.0,4
2019-07-16,29,22,小雨,东南风,微风,25.5,7
2019-07-17,30,23,阴,西南风,1级,26.5,7
2019-07-18,31,22,多云,西北风,1级,26.5,9
2019-07-19,30,23,阴,东北风,1级,26.5,7
2019-07-20,27,23,中雨,西南风,1级,25.0,4
2019-07-21,33,23,阴,东北风,1级,28.0,10
2019-07-22,24,23,阴,西南风,3级,23.5,1
2019-07-23,31,22,多云,东南风,1级,26.5,9
2019-07-24,32,23,多云,西北风,2级,27.5,9
2019-07-25,29,23,阴,西南风,1级,26.0,6
2019-07-26,32,24,小雨,东南风,1级,28.0,8
2019-07-27,32,24,多云,东南风,1级,28.0,8
2019-07-28,33,23,阴,西南风,2级,28.0,10
2019-07-29,24,21,中雨,西南风,1级,22.5,3
2019-07-30,27,21,阴,西北风,微风,24.0,6
2019-07-31,32,20,多云,南风,微风,26.0,12
2019-06-01,30,18,阴,东南风,1级,24.0,12
2019-06-02,32,19,晴,北风,微风,25.5,13
2019-06-03,33,21,多云,东南风,1级,27.0,12
2019-06-04,33,21,阴,东南风,1级,27.0,12
2019-06-05,30,21,阴,东南风,1级,25.5,9
2019-06-06,33,21,阴,东南风,1级,27.0,12
2019-06-07,32,20,多云,东北风,1级,26.0,12
2019-06-08,25,20,阴,西南风,1级,22.5,5
2019-06-09,30,20,阴,东南风,1级,25.0,10
2019-06-10,26,20,阴,东北风,微风,23.0,6
2019-06-11,25,19,阴,西南风,1级,22.0,6
2019-06-12,29,21,阵雨,西北风,1级,25.0,8
2019-06-13,32,21,多云,西南风,2级,26.5,11
2019-06-14,25,20,阴,西南风,1级,22.5,5
2019-06-15,23,19,小雨,西北风,微风,21.0,4
2019-06-16,24,19,阴,西南风,2级,21.5,5
2019-06-17,26,19,阵雨,西南风,1级,22.5,7
2019-06-18,27,20,多云,东南风,1级,23.5,7
2019-06-19,28,21,阴,西南风,1级,24.5,7
2019-06-20,31,22,阴,西北风,微风,26.5,9
2019-06-21,27,22,多云,东南风,1级,24.5,5
2019-06-22,26,21,阴,西北风,微风,23.5,5
2019-06-23,25,20,小雨,西南风,微风,22.5,5
2019-06-24,25,20,阴,西北风,1级,22.5,5
2019-06-25,24,20,小雨,西南风,微风,22.0,4
2019-06-26,26,21,阵雨,东北风,1级,23.5,5
2019-06-27,26,21,小雨,东南风,1级,23.5,5
2019-06-28,30,20,小雨,西南风,1级,25.0,10
2019-06-29,33,21,多云,南风,微风,27.0,12
2019-06-30,32,22,多云,东北风,1级,27.0,10
2019-05-01,22,17,阴,西南风,微风,19.5,5
2019-05-02,24,16,阴,西南风,1级,20.0,8
2019-05-03,17,16,阴,北风,微风,16.5,1
2019-05-04,23,16,阴,东南风,1级,19.5,7
2019-05-05,17,16,阴,西南风,1级,16.5,1
2019-05-06,18,13,阴,东南风,微风,15.5,5
2019-05-07,15,12,阴,西南风,微风,13.5,3
2019-05-08,20,14,阴,西南风,1级,17.0,6
2019-05-09,23,15,阴,南风,微风,19.0,8
2019-05-10,26,16,阴,东南风,1级,21.0,10
2019-05-11,26,17,阴,东北风,1级,21.5,9
2019-05-12,27,15,阴,西北风,2级,21.0,12
2019-05-13,25,16,阴,西南风,1级,20.5,9
2019-05-14,27,17,阴,西南风,1级,22.0,10
2019-05-15,26,17,阴,西北风,1级,21.5,9
2019-05-16,28,19,多云,西北风,2级,23.5,9
2019-05-17,28,19,阴,西南风,1级,23.5,9
2019-05-18,21,19,阴,西南风,1级,20.0,2
2019-05-19,19,14,阴,西南风,2级,16.5,5
2019-05-20,21,15,阴,西南风,2级,18.0,6
2019-05-21,27,18,阴,东北风,1级,22.5,9
2019-05-22,27,17,阴,西南风,1级,22.0,10
2019-05-23,28,19,多云,东北风,2级,23.5,9
2019-05-24,27,19,多云,西南风,2级,23.0,8
2019-05-25,30,21,多云,东南风,微风,25.5,9
2019-05-26,29,20,阴,西北风,微风,24.5,9
2019-05-27,22,15,阴,东北风,1级,18.5,7
2019-05-28,16,14,阴,东南风,1级,15.0,2
2019-05-29,18,16,阴,东北风,微风,17.0,2
2019-05-30,22,16,多云,东南风,1级,19.0,6
2019-05-31,29,16,多云,西北风,1级,22.5,13
2019-04-01,20,12,多云,西北风,1级,16.0,8
2019-04-02,14,12,阴,西南风,3级,13.0,2
2019-04-03,19,12,阴,东南风,1级,15.5,7
2019-04-04,20,11,阴,东南风,1级,15.5,9
2019-04-05,28,13,阴,东南风,1级,20.5,15
2019-04-06,29,13,晴,东南风,1级,21.0,16
2019-04-07,30,15,多云,西北风,微风,22.5,15
2019-04-08,28,17,阴,西南风,1级,22.5,11
2019-04-09,30,16,阴,西南风,3级,23.0,14
2019-04-10,17,15,阴,西北风,1级,16.0,2
2019-04-11,20,15,阴,西南风,1级,17.5,5
