日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,22,阴,东北风,2级,25.0,6
2019-09-02,24,22,阴,东北风,1级,23.0,2
2019-09-03,28,23,阴,东北风,1级,25.5,5
2019-09-04,30,24,多云,东北风,2级,27.0,6
2019-09-05,32,25,多云,西北风,1级,28.5,7
2019-09-06,32,24,晴,东北风,1级,28.0,8
2019-09-07,33,25,晴,东北风,2级,29.0,8
2019-09-08,33,25,晴,东北风,2级,29.0,8
2019-09-09,34,26,多云,东南风,1级,30.0,8
2019-09-10,35,27,多云,东北风,1级,31.0,8
2019-09-11,35,27,晴,东北风,1级,31.0,8
2019-09-12,36,28,晴,东北风,1级,32.0,8
2019-09-13,37,28,晴,东北风,1级,32.5,9
2019-09-14,35,27,晴,东北风,2级,31.0,8
2019-09-15,34,26,晴,东北风,3级,30.0,8
2019-09-16,32,24,晴,西北风,3级,28.0,8
2019-09-17,32,23,晴,东北风,2级,27.5,9
2019-09-18,31,22,多云,西北风,2级,26.5,9
2019-09-19,30,21,晴,东北风,2级,25.5,9
2019-09-20,30,21,晴,东北风,3级,25.5,9
2019-09-21,28,21,晴,东北风,2级,24.5,7
2019-09-22,29,20,晴,北风,1级,24.5,9
2019-09-23,31,19,晴,东北风,1级,25.0,12
2019-09-24,30,21,多云,西北风,1级,25.5,9
2019-09-25,31,22,晴,东南风,1级,26.5,9
2019-09-26,30,23,阴,西南风,1级,26.5,7
2019-09-27,30,21,多云,东北风,1级,25.5,9
2019-09-28,32,22,晴,西北风,1级,27.0,10
2019-09-29,33,23,晴,西北风,1级,28.0,10
2019-09-30,33,24,晴,西北风,1级,28.5,9
2019-08-01,36,29,多云,东北风,2级,32.5,7
2019-08-02,35,28,多云,东北风,2级,31.5,7
2019-08-03,34,29,晴,东北风,1级,31.5,5
2019-08-04,35,28,晴,东北风,2级,31.5,7
2019-08-05,35,29,多云,西北风,1级,32.0,6
2019-08-06,36,29,小雨,西北风,微风,32.5,7
2019-08-07,36,29,多云,东南风,1级,32.5,7
2019-08-08,36,29,阴,西北风,2级,32.5,7
2019-08-09,36,29,晴,北风,3级,32.5,7
2019-08-10,36,29,阴,西北风,3级,32.5,7
2019-08-11,37,28,多云,东北风,1级,32.5,9
2019-08-12,36,29,阴,西南风,1级,32.5,7
2019-08-13,36,28,多云,东北风,1级,32.0,8
2019-08-14,37,28,多云,西南风,1级,32.5,9
2019-08-15,34,27,大雨,西南风,2级,30.5,7
2019-08-16,35,28,晴,东南风,2级,31.5,7
2019-08-17,36,28,晴,西北风,1级,32.0,8
2019-08-18,36,28,晴,东北风,1级,32.0,8
2019-08-19,36,28,晴,东北风,2级,32.0,8
2019-08-20,35,28,晴,东北风,1级,31.5,7
2019-08-21,35,28,晴,东北风,2级,31.5,7
2019-08-22,36,28,晴,东北风,2级,32.0,8
2019-08-23,36,28,阴,东北风,2级,32.0,8
2019-08-24,36,28,多云,西北风,2级,32.0,8
2019-08-25,35,28,多云,东北风,2级,31.5,7
2019-08-26,35,29,多云,西南风,3级,32.0,6
2019-08-27,36,29,多云,西南风,1级,32.5,7
2019-08-28,36,27,阴,东北风,2级,31.5,9
2019-08-29,31,25,阴,东北风,2级,28.0,6
2019-08-30,31,25,阴,东北风,微风,28.0,6
2019-08-31,31,25,阴,东北风,2级,28.0,6
2019-07-01,34,27,多云,东北风,2级,30.5,7
2019-07-02,34,26,多云,东北风,2级,30.0,8
2019-07-03,32,25,雷阵雨,东北风,1级,28.5,7
2019-07-04,29,25,小雨,东北风,2级,27.0,4
2019-07-05,26,25,小雨,西南风,1级,25.5,1
2019-07-06,32,26,小雨,西南风,3级,29.0,6
2019-07-07,28,24,中雨,西南风,2级,26.0,4
2019-07-08,24,22,大雨,东北风,3级,23.0,2
2019-07-09,24,22,中雨,北风,1级,23.0,2
2019-07-10,29,23,多云,西南风,微风,26.0,6
2019-07-11,32,25,多云,东南风,2级,28.5,7
2019-07-12,26,23,大雨,东北风,2级,24.5,3
2019-07-13,24,22,大雨,西南风,1级,23.0,2
2019-07-14,27,24,阴,东南风,2级,25.5,3
