日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,14,晴,东北风,1级,21.0,14
2019-09-02,26,15,多云,东南风,4级,20.5,11
2019-09-03,27,15,多云,东风,3级,21.0,12
2019-09-04,25,14,多云,西北风,微风,19.5,11
2019-09-05,28,16,阴,东北风,2级,22.0,12
2019-09-06,29,16,多云,东北风,2级,22.5,13
2019-09-07,30,17,晴,东北风,1级,23.5,13
2019-09-08,31,15,多云,北风,4级,23.0,16
2019-09-09,18,14,阴,东南风,2级,16.0,4
2019-09-10,23,14,多云,西风,1级,18.5,9
2019-09-11,29,16,多云,东北风,2级,22.5,13
2019-09-12,16,10,阴,东北风,1级,13.0,6
2019-09-13,17,9,阴,东南风,1级,13.0,8
2019-09-14,21,12,多云,东南风,1级,16.5,9
2019-09-15,23,13,阴,东南风,1级,18.0,10
2019-09-16,21,13,阴,东北风,2级,17.0,8
2019-09-17,20,11,阴,东北风,1级,15.5,9
2019-09-18,17,11,小雨,东北风,1级,14.0,6
2019-09-19,18,10,阴,西北风,1级,14.0,8
2019-09-20,24,7,多云,西北风,1级,15.5,17
2019-09-21,24,9,晴,东北风,1级,16.5,15
2019-09-22,25,9,多云,东北风,1级,17.0,16
2019-09-23,24,11,多云,西北风,1级,17.5,13
2019-09-24,24,9,阴,西北风,2级,16.5,15
2019-09-25,25,8,晴,西北风,1级,16.5,17
2019-09-26,25,9,多云,西北风,2级,17.0,16
2019-09-27,25,10,晴,西北风,2级,17.5,15
2019-09-28,25,11,晴,东南风,1级,18.0,14
2019-09-29,27,12,晴,东北风,1级,19.5,15
2019-09-30,26,13,多云,东北风,2级,19.5,13
2019-08-01,32,20,多云,东南风,4级,26.0,12
2019-08-02,24,15,小雨,东北风,2级,19.5,9
2019-08-03,29,15,多云,东北风,2级,22.0,14
2019-08-04,31,18,多云,西南风,3级,24.5,13
2019-08-05,32,16,阴,西南风,3级,24.0,16
2019-08-06,34,17,晴,东北风,1级,25.5,17
2019-08-07,34,20,多云,东南风,2级,27.0,14
2019-08-08,24,14,小雨,西南风,2级,19.0,10
2019-08-09,30,17,晴,西南风,3级,23.5,13
2019-08-10,32,14,晴,东北风,2级,23.0,18
2019-08-11,32,15,晴,东北风,2级,23.5,17
2019-08-12,32,17,晴,东北风,2级,24.5,15
2019-08-13,26,14,阴,东北风,2级,20.0,12
2019-08-14,32,15,晴,东北风,1级,23.5,17
2019-08-15,36,16,晴,东北风,3级,26.0,20
2019-08-16,30,15,多云,东北风,2级,22.5,15
2019-08-17,32,18,阴,东南风,1级,25.0,14
2019-08-18,33,20,晴,东南风,4级,26.5,13
2019-08-19,33,17,多云,东北风,6级,25.0,16
2019-08-20,18,15,中雨,西南风,2级,16.5,3
2019-08-21,19,15,阴,东北风,2级,17.0,4
2019-08-22,18,16,小雨,东南风,1级,17.0,2
2019-08-23,19,16,小雨,西北风,1级,17.5,3
2019-08-24,26,16,阴,西南风,1级,21.0,10
2019-08-25,29,18,多云,西北风,3级,23.5,11
2019-08-26,23,14,小雨,西南风,1级,18.5,9
2019-08-27,27,16,多云,西北风,1级,21.5,11
2019-08-28,28,16,阴,西北风,1级,22.0,12
2019-08-29,29,16,晴,东北风,1级,22.5,13
2019-08-30,22,12,阴,东南风,1级,17.0,10
2019-08-31,27,13,多云,东北风,2级,20.0,14
2019-07-01,30,17,多云,东南风,2级,23.5,13
2019-07-02,28,15,多云,东南风,2级,21.5,13
2019-07-03,28,18,多云,西北风,微风,23.0,10
2019-07-04,31,18,晴,东南风,1级,24.5,13
2019-07-05,31,17,多云,西北风,3级,24.0,14
2019-07-06,29,17,晴,东北风,2级,23.0,12
2019-07-07,27,14,多云,西北风,3级,20.5,13
2019-07-08,24,13,小雨,东北风,4级,18.5,11
2019-07-09,25,14,阴,东北风,3级,19.5,11
2019-07-10,29,14,晴,东北风,2级,21.5,15
2019-07-11,28,17,多云,西南风,2级,22.5,11
2019-07-12,30,16,多云,东北风,2级,23.0,14
2019-07-13,32,19,晴,东北风,1级,25.5,13
2019-07-14,26,18,阴,东南风,1级,22.0,8
2019-07-15,20,16,小雨,东北风,1级,18.0,4
2019-07-16,29,16,阴,东北风,1级,22.5,13
2019-07-17,32,19,多云,东南风,1级,25.5,13
2019-07-18,29,19,多云,西北风,4级,24.0,10
2019-07-19,27,14,阴,西南风,3级,20.5,13
2019-07-20,34,20,晴,东北风,2级,27.0,14
2019-07-21,23,14,小雨,西南风,2级,18.5,9
2019-07-22,31,15,晴,东北风,1级,23.0,16
2019-07-23,31,17,晴,东北风,2级,24.0,14
2019-07-24,27,15,阴,西南风,2级,21.0,12
2019-07-25,34,18,晴,东南风,2级,26.0,16
2019-07-26,34,20,晴,东北风,1级,27.0,14
2019-07-27,31,20,晴,东北风,2级,25.5,11
2019-07-28,33,18,阴,西北风,3级,25.5,15
2019-07-29,30,16,小雨,西北风,2级,23.0,14
2019-07-30,33,17,晴,西南风,2级,25.0,16
2019-07-31,33,19,多云,西南风,3级,26.0,14
2019-06-01,28,12,多云,西南风,1级,20.0,16
2019-06-02,27,13,多云,西南风,1级,20.0,14
2019-06-03,29,11,多云,东北风,2级,20.0,18
2019-06-04,22,12,阴,西南风,2级,17.0,10
2019-06-05,28,14,晴,西北风,2级,21.0,14
2019-06-06,32,16,晴,东北风,1级,24.0,16
2019-06-07,27,14,阴,东北风,3级,20.5,13
2019-06-08,28,16,阴,东南风,1级,22.0,12
2019-06-09,29,17,多云,东南风,3级,23.0,12
2019-06-10,28,17,阴,东南风,1级,22.5,11
2019-06-11,26,15,阴,西北风,2级,20.5,11
2019-06-12,29,14,多云,东北风,2级,21.5,15
2019-06-13,31,18,晴,东南风,3级,24.5,13
2019-06-14,25,14,阴,东北风,2级,19.5,11
2019-06-15,22,14,阴,东北风,1级,18.0,8
2019-06-16,27,15,阴,东南风,1级,21.0,12
2019-06-17,28,15,晴,东南风,2级,21.5,13
2019-06-18,25,16,阴,西南风,2级,20.5,9
2019-06-19,26,17,小雨,东北风,2级,21.5,9
2019-06-20,28,17,阴,东北风,2级,22.5,11
2019-06-21,18,16,暴雨,东北风,2级,17.0,2
2019-06-22,26,17,多云,东北风,2级,21.5,9
2019-06-23,25,16,阴,西北风,2级,20.5,9
2019-06-24,30,18,多云,西北风,2级,24.0,12
2019-06-25,29,20,阴,西北风,2级,24.5,9
2019-06-26,20,14,中雨,西北风,3级,17.0,6
2019-06-27,19,12,小到中雨,西北风,2级,15.5,7
2019-06-28,26,14,阴,东北风,微风,20.0,12
2019-06-29,29,16,多云,西南风,2级,22.5,13
2019-06-30,29,14,多云,西南风,2级,21.5,15
2019-05-01,22,11,阴,东南风,1级,16.5,11
2019-05-02,24,11,多云,东南风,2级,17.5,13
2019-05-03,19,10,阴,东南风,2级,14.5,9
2019-05-04,26,13,多云,东北风,3级,19.5,13
2019-05-05,14,10,阴,东北风,3级,12.0,4
2019-05-06,14,8,阴,东北风,2级,11.0,6
2019-05-07,12,6,阴,东北风,2级,9.0,6
2019-05-08,15,7,阴,东北风,3级,11.0,8
2019-05-09,15,7,阴,西北风,2级,11.0,8
