日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,22,晴,西南风,4级,26.0,8
2019-09-02,30,22,晴,西南风,4级,26.0,8
2019-09-03,30,22,晴,东南风,3级,26.0,8
2019-09-04,30,21,多云,东北风,1级,25.5,9
2019-09-05,26,21,雷阵雨,西南风,4级,23.5,5
2019-09-06,28,21,多云,西南风,3级,24.5,7
2019-09-07,24,20,大雨,东北风,3级,22.0,4
2019-09-08,30,20,晴,西南风,3级,25.0,10
2019-09-09,28,20,晴,西北风,2级,24.0,8
2019-09-10,24,15,多云,西北风,4级,19.5,9
2019-09-11,24,16,多云,东北风,5级,20.0,8
2019-09-12,25,20,多云,西南风,3级,22.5,5
2019-09-13,22,16,中雨,西南风,3级,19.0,6
2019-09-14,24,14,多云,西北风,1级,19.0,10
2019-09-15,26,16,晴,西南风,4级,21.0,10
2019-09-16,21,10,晴,东北风,4级,15.5,11
2019-09-17,24,10,多云,西南风,4级,17.0,14
2019-09-18,19,14,晴,东北风,4级,16.5,5
2019-09-19,25,18,多云,西南风,3级,21.5,7
2019-09-20,25,16,晴,西南风,3级,20.5,9
2019-09-21,25,13,晴,西北风,3级,19.0,12
2019-09-22,23,12,晴,东北风,4级,17.5,11
2019-09-23,24,15,晴,东北风,3级,19.5,9
2019-09-24,25,14,晴,西北风,3级,19.5,11
2019-09-25,27,18,晴,西南风,3级,22.5,9
2019-09-26,28,16,晴,西南风,3级,22.0,12
2019-09-27,28,18,晴,西南风,3级,23.0,10
2019-09-28,28,19,晴,西南风,5级,23.5,9
2019-09-29,28,20,晴,西北风,2级,24.0,8
2019-09-30,29,20,晴,西南风,4级,24.5,9
2019-08-01,34,26,阵雨,西南风,2级,30.0,8
2019-08-02,31,22,阵雨,东南风,3级,26.5,9
2019-08-03,28,24,中到大雨,西南风,3级,26.0,4
2019-08-04,31,24,多云,西南风,3级,27.5,7
2019-08-05,32,25,多云,西南风,2级,28.5,7
2019-08-06,31,25,阵雨,东南风,2级,28.0,6
2019-08-07,31,25,多云,西南风,3级,28.0,6
2019-08-08,30,24,雷阵雨,西南风,3级,27.0,6
2019-08-09,32,25,多云,西南风,3级,28.5,7
2019-08-10,31,25,阵雨,东南风,4级,28.0,6
2019-08-11,26,21,中雨,东北风,3级,23.5,5
2019-08-12,28,22,中到大雨,东北风,4级,25.0,6
2019-08-13,28,23,大到暴雨,东北风,3级,25.5,5
2019-08-14,26,22,大雨,东北风,2级,24.0,4
2019-08-15,26,20,中到大雨,东北风,3级,23.0,6
2019-08-16,29,20,阵雨,西北风,3级,24.5,9
2019-08-17,25,19,阵雨,西南风,2级,22.0,6
2019-08-18,28,21,晴,西北风,3级,24.5,7
2019-08-19,30,22,晴,东北风,2级,26.0,8
2019-08-20,29,22,多云,东南风,2级,25.5,7
2019-08-21,29,20,多云,西南风,3级,24.5,9
2019-08-22,29,19,晴,西北风,3级,24.0,10
2019-08-23,27,19,晴,西北风,3级,23.0,8
2019-08-24,28,21,晴,东北风,3级,24.5,7
2019-08-25,29,23,晴,西北风,2级,26.0,6
2019-08-26,30,22,多云,西南风,4级,26.0,8
2019-08-27,28,20,多云,东北风,2级,24.0,8
2019-08-28,29,17,雷阵雨,西南风,4级,23.0,12
2019-08-29,24,17,雷阵雨,西南风,4级,20.5,7
2019-08-30,24,17,阵雨,西北风,3级,20.5,7
2019-08-31,29,21,晴,西北风,2级,25.0,8
2019-07-01,27,20,阵雨,西北风,2级,23.5,7
2019-07-02,30,22,晴,西南风,5级,26.0,8
2019-07-03,31,24,多云,西南风,4级,27.5,7
2019-07-04,34,25,晴,西南风,4级,29.5,9
2019-07-05,33,23,多云,东南风,3级,28.0,10
2019-07-06,32,23,多云,西南风,2级,27.5,9
2019-07-07,30,21,雷阵雨,东北风,1级,25.5,9
2019-07-08,29,21,多云,西南风,2级,25.0,8
2019-07-09,31,22,多云,东北风,3级,26.5,9
2019-07-10,31,21,多云,西南风,1级,26.0,10
2019-07-11,29,21,多云,东南风,2级,25.0,8
2019-07-12,29,22,阵雨,西南风,3级,25.5,7
2019-07-13,28,21,小到中雨,西南风,2级,24.5,7
2019-07-14,29,22,雷阵雨,西北风,2级,25.5,7
2019-07-15,29,22,阵雨,东南风,1级,25.5,7
2019-07-16,31,23,多云,西南风,3级,27.0,8
2019-07-17,30,23,阵雨,西南风,3级,26.5,7
2019-07-18,31,23,阵雨,西南风,2级,27.0,8
2019-07-19,33,24,多云,西南风,3级,28.5,9
2019-07-20,34,24,晴,西南风,2级,29.0,10
2019-07-21,33,26,晴,西南风,2级,29.5,7
2019-07-22,36,27,晴,西南风,3级,31.5,9
2019-07-23,30,25,小到中雨,东南风,3级,27.5,5
2019-07-24,34,26,阵雨,西南风,2级,30.0,8
2019-07-25,32,25,雷阵雨,西南风,2级,28.5,7
2019-07-26,34,25,晴,西南风,4级,29.5,9
2019-07-27,36,26,晴,西南风,4级,31.0,10
2019-07-28,34,27,多云,西南风,4级,30.5,7
2019-07-29,35,26,小雨,西南风,4级,30.5,9
2019-07-30,32,26,多云,西南风,4级,29.0,6
2019-07-31,34,26,多云,东南风,3级,30.0,8
2019-06-01,29,20,晴,西南风,2级,24.5,9
2019-06-02,29,19,多云,东南风,3级,24.0,10
2019-06-03,24,16,雷阵雨,东南风,3级,20.0,8
2019-06-04,28,19,阵雨,西南风,1级,23.5,9
2019-06-05,29,20,多云,西南风,3级,24.5,9
2019-06-06,28,18,多云,西北风,3级,23.0,10
2019-06-07,30,19,晴,西南风,4级,24.5,11
2019-06-08,26,17,雷阵雨,西南风,4级,21.5,9
2019-06-09,24,17,阵雨,西南风,1级,20.5,7
2019-06-10,25,17,雷阵雨,东南风,2级,21.0,8
2019-06-11,27,19,多云,东南风,3级,23.0,8
2019-06-12,29,21,多云,西南风,3级,25.0,8
2019-06-13,27,18,阵雨,东南风,2级,22.5,9
2019-06-14,27,16,阵雨,东南风,2级,21.5,11
