日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,32,18,晴,西北风,1级,25.0,14
2019-09-02,33,19,晴,东南风,2级,26.0,14
2019-09-03,33,20,晴,东南风,1级,26.5,13
2019-09-04,31,19,晴,东南风,2级,25.0,12
2019-09-05,32,19,晴,东南风,1级,25.5,13
2019-09-06,33,20,晴,东南风,2级,26.5,13
2019-09-07,35,21,晴,西南风,3级,28.0,14
2019-09-08,36,23,晴,东南风,1级,29.5,13
2019-09-09,31,20,阴,东北风,1级,25.5,11
2019-09-10,22,18,阴,西北风,2级,20.0,4
2019-09-11,24,18,阴,西北风,1级,21.0,6
2019-09-12,22,18,阴,东南风,1级,20.0,4
2019-09-13,26,17,阴,北风,微风,21.5,9
2019-09-14,28,16,晴,东南风,2级,22.0,12
2019-09-15,27,16,多云,东北风,1级,21.5,11
2019-09-16,27,15,晴,东南风,2级,21.0,12
2019-09-17,28,15,阴,东北风,2级,21.5,13
2019-09-18,25,14,晴,西南风,3级,19.5,11
2019-09-19,24,15,阴,东北风,1级,19.5,9
2019-09-20,29,16,多云,东南风,3级,22.5,13
2019-09-21,28,15,多云,西南风,2级,21.5,13
2019-09-22,28,16,多云,西南风,1级,22.0,12
2019-09-23,32,16,晴,西南风,1级,24.0,16
2019-09-24,33,15,晴,东南风,2级,24.0,18
2019-09-25,30,16,晴,东北风,微风,23.0,14
2019-09-26,29,16,晴,南风,微风,22.5,13
2019-09-27,27,15,多云,西南风,1级,21.0,12
2019-09-28,28,17,晴,南风,微风,22.5,11
2019-09-29,29,18,晴,南风,微风,23.5,11
2019-09-30,29,19,晴,西南风,微风,24.0,10
2019-08-01,34,24,多云,东南风,2级,29.0,10
2019-08-02,27,23,小雨,东南风,2级,25.0,4
2019-08-03,31,24,多云,东南风,1级,27.5,7
2019-08-04,29,24,阴,西南风,2级,26.5,5
2019-08-05,28,23,阴,东南风,2级,25.5,5
2019-08-06,31,24,阴,东南风,2级,27.5,7
2019-08-07,29,25,多云,东北风,1级,27.0,4
2019-08-08,33,25,晴,东南风,3级,29.0,8
2019-08-09,31,23,阴,东北风,2级,27.0,8
2019-08-10,27,23,小雨,北风,1级,25.0,4
2019-08-11,25,24,小雨,西北风,2级,24.5,1
2019-08-12,28,23,小雨,东北风,3级,25.5,5
2019-08-13,31,22,阴,东北风,2级,26.5,9
2019-08-14,32,22,多云,东北风,2级,27.0,10
2019-08-15,33,21,多云,东北风,1级,27.0,12
2019-08-16,29,21,晴,西北风,3级,25.0,8
2019-08-17,33,18,晴,东北风,1级,25.5,15
2019-08-18,32,20,晴,东南风,2级,26.0,12
2019-08-19,32,22,阴,西南风,2级,27.0,10
2019-08-20,23,19,中雨,东北风,2级,21.0,4
2019-08-21,31,18,晴,西北风,2级,24.5,13
2019-08-22,30,19,晴,西北风,1级,24.5,11
2019-08-23,30,20,多云,西北风,2级,25.0,10
2019-08-24,32,19,晴,西南风,4级,25.5,13
2019-08-25,32,19,晴,西南风,2级,25.5,13
2019-08-26,26,19,阴,北风,1级,22.5,7
2019-08-27,34,20,晴,西北风,3级,27.0,14
2019-08-28,31,20,多云,西北风,3级,25.5,11
2019-08-29,30,19,多云,西北风,2级,24.5,11
2019-08-30,32,17,晴,西南风,2级,24.5,15
2019-08-31,32,18,晴,东南风,1级,25.0,14
2019-07-01,33,22,晴,东南风,2级,27.5,11
2019-07-02,32,22,小雨,东北风,2级,27.0,10
2019-07-03,36,23,晴,西南风,3级,29.5,13
2019-07-04,38,26,晴,西南风,2级,32.0,12
2019-07-05,27,22,小雨,西南风,2级,24.5,5
2019-07-06,28,20,多云,东北风,3级,24.0,8
2019-07-07,28,20,小雨,西南风,2级,24.0,8
2019-07-08,31,22,多云,西南风,2级,26.5,9
2019-07-09,26,21,阴,西北风,微风,23.5,5
2019-07-10,29,20,阴,东南风,4级,24.5,9
2019-07-11,30,20,多云,东南风,2级,25.0,10
2019-07-12,34,22,多云,东南风,2级,28.0,12
2019-07-13,33,24,多云,东南风,1级,28.5,9
2019-07-14,33,22,多云,东南风,3级,27.5,11
2019-07-15,33,24,晴,东南风,3级,28.5,9
2019-07-16,32,24,阴,北风,2级,28.0,8
2019-07-17,26,25,中雨,西北风,1级,25.5,1
2019-07-18,32,25,多云,东南风,2级,28.5,7
2019-07-19,30,25,阴,东南风,1级,27.5,5
2019-07-20,27,24,阴,东北风,2级,25.5,3
2019-07-21,39,26,晴,东北风,1级,32.5,13
2019-07-22,30,26,阴,东南风,1级,28.0,4
2019-07-23,35,24,晴,东南风,2级,29.5,11
2019-07-24,35,25,中雨,西南风,1级,30.0,10
2019-07-25,37,27,晴,西北风,2级,32.0,10
2019-07-26,35,27,晴,西南风,3级,31.0,8
2019-07-27,36,27,多云,东南风,3级,31.5,9
2019-07-28,33,26,晴,西南风,3级,29.5,7
2019-07-29,27,22,中雨,西北风,1级,24.5,5
2019-07-30,33,23,晴,东北风,4级,28.0,10
2019-07-31,37,25,晴,东南风,2级,31.0,12
2019-06-01,29,17,阴,东南风,1级,23.0,12
2019-06-02,31,19,阴,东南风,1级,25.0,12
2019-06-03,31,20,多云,东南风,3级,25.5,11
2019-06-04,27,18,阴,东北风,2级,22.5,9
2019-06-05,29,20,阴,西南风,2级,24.5,9
2019-06-06,23,18,阴,东南风,2级,20.5,5
2019-06-07,29,19,晴,东南风,1级,24.0,10
2019-06-08,34,19,多云,东北风,4级,26.5,15
2019-06-09,30,17,晴,东南风,2级,23.5,13
2019-06-10,33,19,晴,东南风,3级,26.0,14
