日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,20,多云,东南风,2级,23.5,7
2019-09-02,28,21,阵雨,西南风,2级,24.5,7
2019-09-03,28,22,多云,东北风,3级,25.0,6
2019-09-04,28,22,阵雨,东北风,4级,25.0,6
2019-09-05,27,21,阵雨,东北风,1级,24.0,6
2019-09-06,29,22,晴,东北风,2级,25.5,7
2019-09-07,28,22,中雨,东北风,1级,25.0,6
2019-09-08,25,22,大雨,西北风,2级,23.5,3
2019-09-09,27,22,中雨,东南风,1级,24.5,5
2019-09-10,28,22,中雨,东北风,3级,25.0,6
2019-09-11,29,23,阵雨,西北风,2级,26.0,6
2019-09-12,32,22,多云,西南风,3级,27.0,10
2019-09-13,28,17,小雨,西北风,6级,22.5,11
2019-09-14,21,17,阴,东北风,1级,19.0,4
2019-09-15,20,16,阵雨,西北风,2级,18.0,4
2019-09-16,22,17,阴,东北风,2级,19.5,5
2019-09-17,20,18,阵雨,西北风,2级,19.0,2
2019-09-18,21,18,阴,东北风,3级,19.5,3
2019-09-19,19,17,阵雨,西北风,3级,18.0,2
2019-09-20,24,16,多云,西北风,3级,20.0,8
2019-09-21,29,16,晴,西南风,2级,22.5,13
2019-09-22,29,17,晴,西北风,2级,23.0,12
2019-09-23,28,18,阵雨,东北风,2级,23.0,10
2019-09-24,24,17,小雨,西北风,2级,20.5,7
2019-09-25,25,16,多云,西南风,3级,20.5,9
2019-09-26,26,17,晴,西南风,1级,21.5,9
2019-09-27,28,18,晴,东北风,1级,23.0,10
2019-09-28,29,19,多云,西北风,2级,24.0,10
2019-09-29,31,19,晴,西南风,2级,25.0,12
2019-09-30,29,20,多云,东南风,2级,24.5,9
2019-08-01,32,23,阵雨,西南风,3级,27.5,9
2019-08-02,34,25,阴,西南风,3级,29.5,9
2019-08-03,32,23,阵雨,西北风,3级,27.5,9
2019-08-04,31,23,阵雨,东北风,2级,27.0,8
2019-08-05,31,23,小雨,西北风,2级,27.0,8
2019-08-06,28,22,中雨,东北风,4级,25.0,6
2019-08-07,32,22,多云,东北风,2级,27.0,10
2019-08-08,31,24,阵雨,西北风,1级,27.5,7
2019-08-09,34,23,阵雨,西北风,2级,28.5,11
2019-08-10,34,23,晴,西南风,3级,28.5,11
2019-08-11,35,24,晴,西南风,2级,29.5,11
2019-08-12,35,24,晴,西南风,2级,29.5,11
2019-08-13,37,24,晴,东北风,3级,30.5,13
