日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,32,20,多云,东北风,3级,26.0,12
2019-09-02,29,21,多云,东南风,2级,25.0,8
2019-09-03,30,20,多云,东北风,1级,25.0,10
2019-09-04,30,19,晴,东北风,2级,24.5,11
2019-09-05,31,20,晴,西南风,2级,25.5,11
2019-09-06,33,20,晴,东北风,2级,26.5,13
2019-09-07,32,21,晴,东北风,2级,26.5,11
2019-09-08,34,21,晴,东南风,3级,27.5,13
2019-09-09,33,22,多云,东南风,3级,27.5,11
2019-09-10,28,21,小雨,东北风,3级,24.5,7
2019-09-11,24,19,小雨,东北风,4级,21.5,5
2019-09-12,25,19,小雨,东北风,3级,22.0,6
2019-09-13,28,19,小雨,东北风,3级,23.5,9
2019-09-14,26,17,阴,西北风,3级,21.5,9
2019-09-15,18,17,中雨,西北风,1级,17.5,1
2019-09-16,26,18,多云,东南风,2级,22.0,8
2019-09-17,22,16,小雨,西南风,2级,19.0,6
2019-09-18,27,17,多云,西北风,3级,22.0,10
2019-09-19,22,18,阴,西南风,2级,20.0,4
2019-09-20,25,16,多云,西南风,2级,20.5,9
2019-09-21,27,17,晴,东北风,3级,22.0,10
2019-09-22,27,15,晴,东北风,3级,21.0,12
2019-09-23,29,18,晴,西南风,3级,23.5,11
2019-09-24,30,17,多云,西北风,2级,23.5,13
2019-09-25,29,17,多云,西南风,1级,23.0,12
2019-09-26,29,18,多云,东南风,3级,23.5,11
2019-09-27,30,18,多云,东南风,3级,24.0,12
2019-09-28,30,19,晴,西南风,3级,24.5,11
2019-09-29,31,18,晴,西南风,2级,24.5,13
2019-09-30,33,19,晴,东北风,3级,26.0,14
2019-08-01,30,25,小雨,东南风,3级,27.5,5
2019-08-02,30,24,小雨,东北风,1级,27.0,6
2019-08-03,30,24,中雨,东北风,3级,27.0,6
2019-08-04,32,24,小雨,东北风,1级,28.0,8
2019-08-05,31,24,小雨,西南风,2级,27.5,7
2019-08-06,31,25,小雨,东北风,2级,28.0,6
2019-08-07,30,24,小雨,东北风,2级,27.0,6
2019-08-08,31,24,多云,东北风,2级,27.5,7
2019-08-09,33,24,小雨,东北风,2级,28.5,9
2019-08-10,27,23,中雨,东北风,3级,25.0,4
2019-08-11,29,23,多云,东北风,5级,26.0,6
2019-08-12,30,24,小雨,西南风,2级,27.0,6
2019-08-13,31,23,晴,东北风,1级,27.0,8
2019-08-14,33,23,多云,西北风,1级,28.0,10
2019-08-15,34,25,晴,西南风,4级,29.5,9
2019-08-16,31,22,多云,东北风,3级,26.5,9
2019-08-17,31,22,晴,西南风,3级,26.5,9
2019-08-18,32,24,晴,东北风,3级,28.0,8
2019-08-19,32,23,多云,西南风,3级,27.5,9
2019-08-20,33,24,多云,东南风,1级,28.5,9
2019-08-21,25,22,小雨,东北风,3级,23.5,3
2019-08-22,31,21,多云,西北风,2级,26.0,10
2019-08-23,32,24,多云,东北风,3级,28.0,8
2019-08-24,33,23,多云,东北风,3级,28.0,10
2019-08-25,30,23,多云,东北风,3级,26.5,7
2019-08-26,30,22,多云,东北风,3级,26.0,8
2019-08-27,29,23,小雨,东北风,1级,26.0,6
2019-08-28,32,21,多云,东北风,2级,26.5,11
2019-08-29,31,20,晴,东南风,2级,25.5,11
2019-08-30,32,20,多云,东北风,2级,26.0,12
2019-08-31,31,20,多云,东北风,3级,25.5,11
2019-07-01,35,23,晴,西南风,3级,29.0,12
2019-07-02,37,24,多云,西南风,3级,30.5,13
2019-07-03,37,26,阴,西南风,3级,31.5,11
2019-07-04,34,24,多云,西南风,4级,29.0,10
2019-07-05,37,25,晴,西南风,3级,31.0,12
2019-07-06,33,23,晴,西北风,2级,28.0,10
2019-07-07,31,21,多云,东北风,3级,26.0,10
2019-07-08,30,23,多云,东北风,2级,26.5,7
2019-07-09,30,23,多云,东北风,3级,26.5,7
2019-07-10,30,22,小雨,东南风,2级,26.0,8
2019-07-11,31,23,多云,东南风,1级,27.0,8
2019-07-12,30,22,多云,西南风,4级,26.0,8
2019-07-13,34,24,多云,西南风,3级,29.0,10
2019-07-14,36,25,多云,西南风,4级,30.5,11
2019-07-15,35,26,多云,东北风,2级,30.5,9
2019-07-16,34,25,阴,东南风,3级,29.5,9
2019-07-17,30,24,阴,西北风,1级,27.0,6
2019-07-18,33,24,多云,东北风,2级,28.5,9
2019-07-19,34,25,多云,东北风,2级,29.5,9
2019-07-20,37,27,多云,西南风,4级,32.0,10
2019-07-21,36,28,多云,东北风,2级,32.0,8
2019-07-22,37,27,多云,西南风,3级,32.0,10
2019-07-23,37,28,多云,西南风,2级,32.5,9
2019-07-24,38,28,多云,西南风,2级,33.0,10
2019-07-25,37,29,多云,西北风,3级,33.0,8
2019-07-26,37,27,小雨,东南风,3级,32.0,10
2019-07-27,34,26,小雨,西南风,2级,30.0,8
2019-07-28,36,27,小雨,东南风,3级,31.5,9
2019-07-29,36,27,多云,西南风,4级,31.5,9
2019-07-30,32,27,阴,西南风,2级,29.5,5
2019-07-31,33,26,多云,西南风,2级,29.5,7
2019-06-01,33,22,多云,西南风,5级,27.5,11
2019-06-02,38,25,多云,西南风,5级,31.5,13
2019-06-03,37,25,小雨,东南风,1级,31.0,12
2019-06-04,38,25,多云,西南风,5级,31.5,13
2019-06-05,30,20,小雨,东北风,4级,25.0,10
2019-06-06,27,19,多云,东北风,3级,23.0,8
2019-06-07,30,22,多云,西南风,3级,26.0,8
2019-06-08,34,24,多云,西南风,2级,29.0,10
2019-06-09,33,20,多云,东北风,3级,26.5,13
2019-06-10,33,20,多云,东南风,2级,26.5,13
2019-06-11,33,20,阴,西南风,3级,26.5,13
2019-06-12,34,22,多云,西南风,4级,28.0,12
2019-06-13,34,21,多云,东北风,1级,27.5,13
2019-06-14,36,24,多云,西南风,4级,30.0,12
2019-06-15,36,26,阴,西南风,3级,31.0,10
2019-06-16,35,24,多云,西南风,3级,29.5,11
2019-06-17,33,24,多云,西北风,1级,28.5,9
2019-06-18,35,24,多云,西南风,3级,29.5,11
2019-06-19,35,25,多云,西南风,2级,30.0,10
2019-06-20,25,21,小雨,西南风,2级,23.0,4
2019-06-21,33,24,多云,东北风,1级,28.5,9
2019-06-22,32,23,多云,东南风,2级,27.5,9
2019-06-23,35,23,多云,东南风,3级,29.0,12
2019-06-24,33,24,多云,东南风,2级,28.5,9
2019-06-25,32,22,多云,东南风,2级,27.0,10
2019-06-26,34,23,多云,西南风,2级,28.5,11
2019-06-27,34,24,多云,西南风,2级,29.0,10
2019-06-28,27,22,小雨,西北风,3级,24.5,5
2019-06-29,36,24,多云,西南风,3级,30.0,12
2019-06-30,34,23,多云,东北风,2级,28.5,11
2019-05-01,25,13,多云,东北风,1级,19.0,12
2019-05-02,26,11,晴,西南风,2级,18.5,15
2019-05-03,26,17,多云,西南风,4级,21.5,9
