日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,25,阴,东北风,3级,28.0,6
2019-09-02,27,25,阴,东北风,4级,26.0,2
2019-09-03,30,25,阵雨,东南风,5级,27.5,5
2019-09-04,29,24,阴,东北风,3级,26.5,5
2019-09-05,30,26,阴,东南风,4级,28.0,4
2019-09-06,31,25,多云,东南风,3级,28.0,6
2019-09-07,34,27,多云,东南风,2级,30.5,7
2019-09-08,33,27,阴,西南风,2级,30.0,6
2019-09-09,32,25,阴,东南风,2级,28.5,7
2019-09-10,32,27,阴,东南风,3级,29.5,5
2019-09-11,32,27,阴,西南风,2级,29.5,5
2019-09-12,32,27,阴,东南风,2级,29.5,5
2019-09-13,32,26,阴,东南风,2级,29.0,6
2019-09-14,32,27,阴,东南风,2级,29.5,5
2019-09-15,31,26,阴,东南风,2级,28.5,5
2019-09-16,31,27,阴,东南风,1级,29.0,4
2019-09-17,32,26,阴,东南风,2级,29.0,6
2019-09-18,33,25,多云,西南风,3级,29.0,8
2019-09-19,32,24,阴,西南风,1级,28.0,8
2019-09-20,31,24,晴,西北风,3级,27.5,7
2019-09-21,31,25,晴,西北风,4级,28.0,6
2019-09-22,30,24,多云,西北风,2级,27.0,6
2019-09-23,29,24,多云,东南风,2级,26.5,5
2019-09-24,30,24,多云,东南风,3级,27.0,6
2019-09-25,30,24,多云,东南风,2级,27.0,6
2019-09-26,30,24,多云,东南风,3级,27.0,6
2019-09-27,30,25,多云,东南风,3级,27.5,5
2019-09-28,31,25,多云,东南风,3级,28.0,6
2019-09-29,33,24,晴,东南风,2级,28.5,9
2019-09-30,35,26,晴,西南风,1级,30.5,9
2019-08-01,26,24,暴雨,东南风,5级,25.0,2
2019-08-02,29,25,大雨,东南风,4级,27.0,4
2019-08-03,29,25,阴,东南风,2级,27.0,4
2019-08-04,30,26,小雨,东南风,3级,28.0,4
2019-08-05,33,26,多云,东南风,3级,29.5,7
2019-08-06,32,28,阴,东南风,3级,30.0,4
2019-08-07,32,27,多云,东南风,1级,29.5,5
2019-08-08,33,27,阴,西南风,3级,30.0,6
2019-08-09,36,26,多云,西南风,3级,31.0,10
2019-08-10,35,27,多云,西南风,3级,31.0,8
2019-08-11,35,28,多云,西南风,3级,31.5,7
2019-08-12,35,28,阴,西南风,2级,31.5,7
2019-08-13,34,28,阴,西南风,3级,31.0,6
2019-08-14,34,28,中雨,西南风,3级,31.0,6
2019-08-15,31,27,中雨,西南风,1级,29.0,4
2019-08-16,34,26,阴,西北风,1级,30.0,8
2019-08-17,31,25,中雨,西南风,1级,28.0,6
2019-08-18,32,26,中雨,西北风,1级,29.0,6
2019-08-19,33,26,小雨,西南风,2级,29.5,7
2019-08-20,31,26,阴,东南风,4级,28.5,5
2019-08-21,32,26,阴,东南风,2级,29.0,6
2019-08-22,32,27,多云,西南风,2级,29.5,5
2019-08-23,32,28,中雨,东南风,2级,30.0,4
2019-08-24,35,27,多云,西风,3级,31.0,8
2019-08-25,30,26,中雨,西北风,1级,28.0,4
2019-08-26,30,26,中雨,西南风,1级,28.0,4
2019-08-27,31,27,小雨,东南风,3级,29.0,4
2019-08-28,34,27,多云,东南风,4级,30.5,7
2019-08-29,31,26,阴,东南风,4级,28.5,5
2019-08-30,27,25,阴,东南风,2级,26.0,2
2019-08-31,30,25,阴,东北风,3级,27.5,5
2019-07-01,32,27,阴,东北风,3级,29.5,5
2019-07-02,32,25,小雨,东北风,4级,28.5,7
2019-07-03,29,25,中雨,西南风,3级,27.0,4
2019-07-04,31,27,小雨,西南风,3级,29.0,4
2019-07-05,32,26,小雨,西南风,3级,29.0,6
2019-07-06,32,27,小雨,西南风,3级,29.5,5
2019-07-07,32,27,雷阵雨,西南风,3级,29.5,5
