日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,20,14,阴,东北风,1级,17.0,6
2019-09-02,19,13,阴,东北风,2级,16.0,6
2019-09-03,23,13,阵雨,东南风,2级,18.0,10
2019-09-04,21,15,阴,西南风,1级,18.0,6
2019-09-05,20,16,阴,西南风,1级,18.0,4
2019-09-06,22,16,阴,东南风,2级,19.0,6
2019-09-07,25,16,阴,东南风,2级,20.5,9
2019-09-08,22,16,阴,东南风,2级,19.0,6
2019-09-09,19,17,阴,东南风,2级,18.0,2
2019-09-10,23,16,阴,东南风,2级,19.5,7
2019-09-11,23,16,阴,东南风,3级,19.5,7
2019-09-12,22,16,阴,西南风,1级,19.0,6
2019-09-13,25,15,阴,东南风,3级,20.0,10
2019-09-14,26,13,多云,东南风,2级,19.5,13
2019-09-15,25,14,晴,东南风,2级,19.5,11
2019-09-16,26,14,多云,东南风,3级,20.0,12
2019-09-17,25,14,阴,东南风,2级,19.5,11
2019-09-18,21,14,阵雨,东北风,1级,17.5,7
2019-09-19,22,14,阴,西南风,1级,18.0,8
2019-09-20,15,11,阴,北风,2级,13.0,4
2019-09-21,15,8,阴,东北风,3级,11.5,7
2019-09-22,19,8,多云,东北风,2级,13.5,11
2019-09-23,19,9,多云,东南风,2级,14.0,10
2019-09-24,17,10,多云,东南风,2级,13.5,7
2019-09-25,14,10,阴,东北风,2级,12.0,4
2019-09-26,20,11,多云,东南风,2级,15.5,9
2019-09-27,18,9,阴,西北风,1级,13.5,9
2019-09-28,21,10,雾,东南风,2级,15.5,11
2019-09-29,23,12,多云,东南风,1级,17.5,11
2019-09-30,23,13,多云,东南风,2级,18.0,10
2019-08-01,26,15,阴,东南风,2级,20.5,11
2019-08-02,26,14,阴,东南风,2级,20.0,12
2019-08-03,25,15,阴,东南风,3级,20.0,10
2019-08-04,23,15,小雨,东北风,2级,19.0,8
2019-08-05,22,15,小雨,东南风,2级,18.5,7
2019-08-06,25,16,阴,东南风,2级,20.5,9
2019-08-07,23,15,中雨,西南风,1级,19.0,8
2019-08-08,26,15,阴,西南风,2级,20.5,11
2019-08-09,26,16,阴,东南风,2级,21.0,10
2019-08-10,24,12,小雨,东南风,1级,18.0,12
2019-08-11,27,14,晴,东南风,2级,20.5,13
2019-08-12,28,16,晴,东南风,2级,22.0,12
2019-08-13,29,15,阴,东南风,2级,22.0,14
2019-08-14,25,16,阴,东北风,5级,20.5,9
2019-08-15,27,11,阴,东南风,1级,19.0,16
2019-08-16,27,15,多云,东南风,3级,21.0,12
2019-08-17,26,15,晴,东南风,3级,20.5,11
2019-08-18,26,16,阴,东南风,2级,21.0,10
2019-08-19,27,15,阴,东南风,2级,21.0,12
2019-08-20,24,15,阴,东南风,2级,19.5,9
2019-08-21,26,15,阴,东南风,3级,20.5,11
2019-08-22,23,14,阴,东南风,3级,18.5,9
2019-08-23,22,13,多云,东南风,2级,17.5,9
2019-08-24,25,14,多云,东南风,1级,19.5,11
2019-08-25,27,13,晴,东南风,2级,20.0,14
2019-08-26,28,15,多云,东南风,2级,21.5,13
2019-08-27,23,16,阴,东北风,3级,19.5,7
2019-08-28,25,16,阴,东南风,2级,20.5,9
2019-08-29,24,14,阴,东北风,3级,19.0,10
2019-08-30,18,13,阴,东北风,2级,15.5,5
2019-08-31,19,14,阴,东北风,2级,16.5,5
2019-07-01,26,14,多云,东南风,2级,20.0,12
2019-07-02,27,15,多云,东北风,2级,21.0,12
2019-07-03,24,16,阵雨,东南风,2级,20.0,8
2019-07-04,24,16,阴,东南风,2级,20.0,8
2019-07-05,19,16,小雨,东北风,2级,17.5,3
2019-07-06,22,17,小雨,西南风,1级,19.5,5
2019-07-07,25,18,中雨,西南风,3级,21.5,7
2019-07-08,24,15,阴,西南风,1级,19.5,9
2019-07-09,18,15,中雨,东南风,2级,16.5,3
2019-07-10,17,15,小雨,东南风,1级,16.0,2
2019-07-11,20,17,阴,西南风,2级,18.5,3
2019-07-12,23,16,小雨,西南风,2级,19.5,7
2019-07-13,19,15,小雨,东北风,3级,17.0,4
2019-07-14,23,17,阴,西南风,2级,20.0,6
2019-07-15,23,17,小雨,南风,2级,20.0,6
2019-07-16,25,17,阴,东南风,2级,21.0,8
2019-07-17,26,16,阴,东南风,2级,21.0,10
2019-07-18,28,15,阴,东南风,2级,21.5,13
2019-07-19,21,15,小雨,西南风,2级,18.0,6
2019-07-20,22,18,中雨,东南风,2级,20.0,4
2019-07-21,23,17,阴,西南风,3级,20.0,6
2019-07-22,22,18,阴,东南风,3级,20.0,4
2019-07-23,21,16,小雨,东南风,2级,18.5,5
2019-07-24,22,16,阴,东南风,2级,19.0,6
2019-07-25,22,16,小雨,西风,1级,19.0,6
2019-07-26,25,16,阴,西南风,3级,20.5,9
2019-07-27,25,16,阴,东南风,2级,20.5,9
2019-07-28,26,16,阴,西南风,3级,21.0,10
