日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,20,多云,东南风,2级,25.5,11
2019-09-02,27,18,多云,西北风,1级,22.5,9
2019-09-03,28,18,小雨,东南风,2级,23.0,10
2019-09-04,28,19,多云,东南风,1级,23.5,9
2019-09-05,30,18,多云,东南风,1级,24.0,12
2019-09-06,31,18,晴,西南风,1级,24.5,13
2019-09-07,33,18,晴,东南风,2级,25.5,15
2019-09-08,34,18,晴,东南风,1级,26.0,16
2019-09-09,32,20,晴,东南风,2级,26.0,12
2019-09-10,28,21,多云,西北风,2级,24.5,7
2019-09-11,28,23,阴,西北风,3级,25.5,5
2019-09-12,27,21,多云,西北风,2级,24.0,6
2019-09-13,29,21,多云,西北风,2级,25.0,8
2019-09-14,24,18,阴,西北风,1级,21.0,6
2019-09-15,20,17,阴,西北风,3级,18.5,3
2019-09-16,19,17,阴,西北风,1级,18.0,2
2019-09-17,18,16,阴,西北风,2级,17.0,2
2019-09-18,27,18,多云,西南风,2级,22.5,9
2019-09-19,25,18,多云,东北风,2级,21.5,7
2019-09-20,27,17,阴,西南风,1级,22.0,10
2019-09-21,27,15,晴,西北风,1级,21.0,12
2019-09-22,30,14,晴,西南风,1级,22.0,16
2019-09-23,30,17,多云,西北风,1级,23.5,13
2019-09-24,32,18,阴,西北风,1级,25.0,14
2019-09-25,32,16,阴,西南风,1级,24.0,16
2019-09-26,31,14,晴,东南风,1级,22.5,17
2019-09-27,31,14,晴,东南风,2级,22.5,17
2019-09-28,31,16,晴,东南风,3级,23.5,15
2019-09-29,33,16,阴,东南风,2级,24.5,17
2019-09-30,34,19,多云,东南风,3级,26.5,15
2019-08-01,34,25,阴,西北风,2级,29.5,9
2019-08-02,29,24,阴,东北风,3级,26.5,5
2019-08-03,31,24,阴,东北风,1级,27.5,7
2019-08-04,32,24,阴,东南风,1级,28.0,8
2019-08-05,32,24,多云,西南风,1级,28.0,8
2019-08-06,33,24,阴,西北风,3级,28.5,9
2019-08-07,30,24,阴,东南风,2级,27.0,6
2019-08-08,33,24,阴,东北风,1级,28.5,9
2019-08-09,33,24,小雨,西南风,2级,28.5,9
2019-08-10,28,22,阴,西北风,1级,25.0,6
2019-08-11,26,23,多云,西北风,2级,24.5,3
2019-08-12,32,25,多云,东南风,2级,28.5,7
2019-08-13,32,23,阴,东南风,1级,27.5,9
2019-08-14,33,23,多云,东南风,1级,28.0,10
2019-08-15,36,25,晴,东南风,2级,30.5,11
2019-08-16,38,24,晴,东北风,3级,31.0,14
2019-08-17,33,24,多云,东南风,1级,28.5,9
2019-08-18,34,25,晴,东南风,2级,29.5,9
2019-08-19,34,22,多云,东南风,3级,28.0,12
2019-08-20,35,26,阴,东南风,2级,30.5,9
2019-08-21,26,23,小雨,东北风,2级,24.5,3
2019-08-22,28,23,多云,南风,微风,25.5,5
2019-08-23,33,22,多云,西南风,1级,27.5,11
2019-08-24,34,22,多云,东北风,2级,28.0,12
2019-08-25,32,21,晴,西北风,2级,26.5,11
2019-08-26,28,25,阴,西北风,1级,26.5,3
2019-08-27,26,21,中雨,西北风,1级,23.5,5
2019-08-28,32,21,多云,东南风,1级,26.5,11
2019-08-29,31,18,晴,东南风,微风,24.5,13
2019-08-30,29,19,多云,西南风,1级,24.0,10
2019-08-31,30,18,阴,东南风,1级,24.0,12
2019-07-01,34,21,多云,西北风,1级,27.5,13
2019-07-02,34,22,多云,西北风,1级,28.0,12
2019-07-03,35,22,阴,西南风,1级,28.5,13
2019-07-04,27,20,阴,西北风,1级,23.5,7
2019-07-05,32,23,晴,东南风,2级,27.5,9
2019-07-06,34,20,晴,东北风,1级,27.0,14
2019-07-07,32,21,晴,东北风,2级,26.5,11
2019-07-08,26,22,阴,东北风,1级,24.0,4
2019-07-09,28,20,多云,东南风,2级,24.0,8
2019-07-10,29,20,小雨,西北风,1级,24.5,9
2019-07-11,31,23,多云,西北风,1级,27.0,8
2019-07-12,27,21,小雨,东南风,1级,24.0,6
2019-07-13,32,21,多云,东南风,2级,26.5,11
2019-07-14,34,22,晴,东南风,2级,28.0,12
2019-07-15,32,23,多云,西南风,1级,27.5,9
2019-07-16,32,24,阴,东南风,1级,28.0,8
2019-07-17,31,23,阴,西北风,2级,27.0,8
2019-07-18,30,23,多云,西北风,1级,26.5,7
2019-07-19,33,23,多云,西南风,1级,28.0,10
2019-07-20,35,25,阴,东南风,1级,30.0,10
2019-07-21,36,26,多云,东南风,1级,31.0,10
2019-07-22,37,26,多云,东南风,2级,31.5,11
2019-07-23,32,26,中雨,东南风,2级,29.0,6
2019-07-24,34,26,小雨,北风,1级,30.0,8
2019-07-25,35,27,多云,东南风,1级,31.0,8
2019-07-26,35,27,晴,西南风,2级,31.0,8
2019-07-27,36,26,多云,东南风,3级,31.0,10
2019-07-28,37,28,多云,东南风,1级,32.5,9
2019-07-29,37,26,晴,西南风,5级,31.5,11
2019-07-30,34,27,中雨,西南风,2级,30.5,7
2019-07-31,32,26,阴,东南风,1级,29.0,6
2019-06-01,33,20,阴,西南风,2级,26.5,13
2019-06-02,37,22,晴,西南风,3级,29.5,15
2019-06-03,38,22,多云,东南风,2级,30.0,16
2019-06-04,36,26,晴,西南风,4级,31.0,10
2019-06-05,35,21,阴,西北风,3级,28.0,14
2019-06-06,25,19,阴,西南风,2级,22.0,6
2019-06-07,31,20,多云,东南风,2级,25.5,11
2019-06-08,33,22,多云,东北风,1级,27.5,11
2019-06-09,36,19,阴,西北风,2级,27.5,17
2019-06-10,32,19,多云,西南风,1级,25.5,13
