日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,16,晴,西南风,2级,22.5,13
2019-09-02,25,15,多云,东北风,2级,20.0,10
2019-09-03,28,18,晴,东南风,2级,23.0,10
2019-09-04,31,18,晴,西南风,2级,24.5,13
2019-09-05,30,17,晴,西南风,2级,23.5,13
2019-09-06,28,18,晴,西南风,2级,23.0,10
2019-09-07,27,18,多云,西北风,2级,22.5,9
2019-09-08,25,13,晴,西北风,2级,19.0,12
2019-09-09,22,11,多云,西北风,2级,16.5,11
2019-09-10,23,11,晴,西南风,2级,17.0,12
2019-09-11,25,13,晴,西南风,2级,19.0,12
2019-09-12,24,15,多云,西南风,3级,19.5,9
2019-09-13,22,10,阴,西北风,3级,16.0,12
2019-09-14,25,12,晴,西南风,2级,18.5,13
2019-09-15,28,7,晴,西南风,5级,17.5,21
2019-09-16,21,9,晴,西南风,3级,15.0,12
2019-09-17,23,6,多云,西南风,5级,14.5,17
2019-09-18,20,6,晴,西南风,3级,13.0,14
2019-09-19,22,9,阴,东南风,4级,15.5,13
2019-09-20,23,10,多云,西南风,2级,16.5,13
2019-09-21,22,11,多云,东南风,2级,16.5,11
2019-09-22,26,11,晴,西南风,2级,18.5,15
2019-09-23,31,10,晴,西南风,5级,20.5,21
2019-09-24,24,11,晴,西南风,3级,17.5,13
2019-09-25,31,11,晴,东南风,3级,21.0,20
2019-09-26,27,12,晴,西南风,2级,19.5,15
2019-09-27,29,12,多云,东南风,2级,20.5,17
2019-09-28,31,8,雾,西南风,5级,19.5,23
2019-09-29,19,8,阴,东南风,1级,13.5,11
2019-09-30,28,12,多云,西南风,4级,20.0,16
2019-08-01,31,20,晴,东南风,2级,25.5,11
2019-08-02,33,21,晴,东南风,2级,27.0,12
2019-08-03,31,20,阴,西南风,3级,25.5,11
2019-08-04,34,22,晴,西南风,3级,28.0,12
2019-08-05,31,21,阴,西南风,微风,26.0,10
2019-08-06,24,18,阴,东北风,3级,21.0,6
2019-08-07,24,18,阴,东北风,4级,21.0,6
2019-08-08,24,17,小雨,东北风,1级,20.5,7
2019-08-09,22,16,阴,东北风,4级,19.0,6
2019-08-10,18,17,小雨,东北风,1级,17.5,1
2019-08-11,22,17,阴,东北风,1级,19.5,5
2019-08-12,24,17,多云,东北风,2级,20.5,7
2019-08-13,24,17,多云,东北风,2级,20.5,7
2019-08-14,27,17,多云,东南风,1级,22.0,10
2019-08-15,28,18,阴,东北风,3级,23.0,10
2019-08-16,27,17,多云,西北风,4级,22.0,10
2019-08-17,25,16,阴,西南风,2级,20.5,9
2019-08-18,26,15,多云,西南风,1级,20.5,11
2019-08-19,26,17,多云,东北风,3级,21.5,9
2019-08-20,22,16,小雨,西南风,3级,19.0,6
2019-08-21,26,17,多云,西北风,4级,21.5,9
2019-08-22,25,16,阴,西北风,3级,20.5,9
2019-08-23,24,15,阴,西北风,2级,19.5,9
2019-08-24,27,17,阴,南风,微风,22.0,10
2019-08-25,21,18,暴雨,东南风,2级,19.5,3
2019-08-26,18,14,大雨,西南风,2级,16.0,4
2019-08-27,25,14,阴,西南风,2级,19.5,11
2019-08-28,22,15,阴,西北风,3级,18.5,7
2019-08-29,22,15,阴,东北风,2级,18.5,7
2019-08-30,25,14,晴,西北风,1级,19.5,11
2019-08-31,28,15,多云,西南风,2级,21.5,13
2019-07-01,29,18,晴,西南风,2级,23.5,11
2019-07-02,29,18,阴,西北风,2级,23.5,11
2019-07-03,30,20,多云,东南风,3级,25.0,10
2019-07-04,33,22,多云,西南风,2级,27.5,11
2019-07-05,26,17,小雨,东北风,3级,21.5,9
2019-07-06,19,15,中雨,东南风,2级,17.0,4
2019-07-07,29,19,晴,东南风,1级,24.0,10
2019-07-08,29,20,晴,东南风,2级,24.5,9
2019-07-09,29,21,阴,东北风,1级,25.0,8
2019-07-10,29,20,阴,东北风,2级,24.5,9
2019-07-11,26,19,阴,东北风,2级,22.5,7
2019-07-12,27,19,多云,西北风,2级,23.0,8
2019-07-13,27,19,阴,西北风,3级,23.0,8
2019-07-14,28,19,多云,东北风,2级,23.5,9
2019-07-15,30,21,晴,西南风,2级,25.5,9
2019-07-16,31,21,阴,西南风,2级,26.0,10
2019-07-17,28,21,小雨,东南风,1级,24.5,7
2019-07-18,32,22,晴,西南风,2级,27.0,10
2019-07-19,32,22,多云,东南风,3级,27.0,10
2019-07-20,30,22,阴,东南风,2级,26.0,8
2019-07-21,34,21,阴,西北风,2级,27.5,13
2019-07-22,34,22,晴,西南风,2级,28.0,12
2019-07-23,25,20,小雨,东南风,2级,22.5,5
2019-07-24,30,18,小雨,东北风,2级,24.0,12
2019-07-25,26,20,多云,东南风,2级,23.0,6
2019-07-26,29,21,多云,东风,1级,25.0,8
2019-07-27,31,24,多云,东北风,3级,27.5,7
2019-07-28,35,22,晴,西南风,4级,28.5,13
2019-07-29,30,20,多云,东南风,3级,25.0,10
2019-07-30,32,20,小雨,西南风,1级,26.0,12
2019-07-31,31,19,晴,西北风,2级,25.0,12
2019-06-01,28,14,多云,西南风,4级,21.0,14
2019-06-02,23,13,多云,东北风,3级,18.0,10
2019-06-03,23,13,阴,东北风,2级,18.0,10
2019-06-04,26,14,晴,西南风,3级,20.0,12
2019-06-05,27,14,晴,西北风,3级,20.5,13
2019-06-06,31,17,多云,东南风,4级,24.0,14
2019-06-07,27,14,阴,西南风,1级,20.5,13
2019-06-08,24,15,阴,东北风,2级,19.5,9
2019-06-09,23,15,阴,西北风,3级,19.0,8
