日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,21,14,阴,东北风,3级,17.5,7
2019-09-02,16,14,阴,西北风,1级,15.0,2
2019-09-03,23,15,小雨,东北风,1级,19.0,8
2019-09-04,26,16,阴,东北风,2级,21.0,10
2019-09-05,22,15,阴,东北风,1级,18.5,7
2019-09-06,25,16,多云,东南风,2级,20.5,9
2019-09-07,27,16,阴,东北风,3级,21.5,11
2019-09-08,21,17,阴,东北风,2级,19.0,4
2019-09-09,25,16,阴,东北风,2级,20.5,9
2019-09-10,21,17,阴,东北风,2级,19.0,4
2019-09-11,25,16,阴,东南风,1级,20.5,9
2019-09-12,27,15,多云,西南风,2级,21.0,12
2019-09-13,28,16,多云,东南风,2级,22.0,12
2019-09-14,27,15,阴,东北风,3级,21.0,12
2019-09-15,24,13,阴,东北风,4级,18.5,11
2019-09-16,23,15,阴,东北风,3级,19.0,8
2019-09-17,24,12,多云,东北风,3级,18.0,12
2019-09-18,21,15,阵雨,东北风,1级,18.0,6
2019-09-19,25,12,阴,东北风,2级,18.5,13
2019-09-20,14,10,阴,东北风,2级,12.0,4
2019-09-21,17,8,多云,东北风,2级,12.5,9
2019-09-22,20,8,多云,东北风,1级,14.0,12
2019-09-23,21,12,多云,西北风,3级,16.5,9
2019-09-24,14,11,阴,东北风,2级,12.5,3
2019-09-25,14,8,阴,东北风,2级,11.0,6
2019-09-26,21,9,多云,东北风,2级,15.0,12
2019-09-27,20,9,多云,东北风,1级,14.5,11
2019-09-28,23,11,多云,西南风,1级,17.0,12
2019-09-29,25,12,雾,东北风,2级,18.5,13
2019-09-30,23,13,多云,东北风,2级,18.0,10
2019-08-01,26,16,中雨,东北风,2级,21.0,10
2019-08-02,27,16,阴,东北风,2级,21.5,11
2019-08-03,27,16,阴,东南风,1级,21.5,11
2019-08-04,24,15,中雨,北风,微风,19.5,9
2019-08-05,25,16,阴,西南风,1级,20.5,9
2019-08-06,27,16,阴,东北风,2级,21.5,11
2019-08-07,26,15,阴,东北风,1级,20.5,11
2019-08-08,27,17,阴,东南风,2级,22.0,10
2019-08-09,25,17,阴,东北风,2级,21.0,8
2019-08-10,27,13,多云,东北风,1级,20.0,14
2019-08-11,29,15,晴,东北风,2级,22.0,14
2019-08-12,30,16,多云,东北风,1级,23.0,14
2019-08-13,30,17,阴,东北风,3级,23.5,13
2019-08-14,25,13,阴,东北风,2级,19.0,12
2019-08-15,29,15,阴,东北风,2级,22.0,14
2019-08-16,30,15,多云,东北风,2级,22.5,15
2019-08-17,30,16,多云,东北风,3级,23.0,14
2019-08-18,31,18,阴,东北风,3级,24.5,13
2019-08-19,30,17,阴,东南风,2级,23.5,13
2019-08-20,30,16,阴,东北风,3级,23.0,14
2019-08-21,28,16,阴,东北风,1级,22.0,12
2019-08-22,27,15,阴,东南风,1级,21.0,12
2019-08-23,24,14,阴,东北风,2级,19.0,10
2019-08-24,28,15,多云,东北风,2级,21.5,13
2019-08-25,30,15,多云,东北风,2级,22.5,15
2019-08-26,31,17,多云,东北风,3级,24.0,14
2019-08-27,27,16,多云,东北风,3级,21.5,11
2019-08-28,20,16,小雨,东北风,2级,18.0,4
2019-08-29,23,15,阴,东北风,3级,19.0,8
2019-08-30,24,13,阴,东北风,3级,18.5,11
2019-08-31,20,14,阴,东北风,2级,17.0,6
2019-07-01,26,14,多云,东北风,3级,20.0,12
2019-07-02,28,17,多云,东北风,3级,22.5,11
2019-07-03,24,16,中雨,东北风,2级,20.0,8
2019-07-04,22,16,阴,东北风,3级,19.0,6
2019-07-05,21,16,阴,北风,微风,18.5,5
2019-07-06,22,15,小雨,东北风,2级,18.5,7
