日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,20,阴,东北风,2级,23.5,7
2019-09-01,26,20,阴,东北风,3级,23.0,6
2019-09-02,29,21,多云,东北风,微风,25.0,8
2019-09-02,27,20,多云,东南风,2级,23.5,7
2019-09-03,30,21,多云,东北风,1级,25.5,9
2019-09-03,30,21,多云,东北风,3级,25.5,9
2019-09-04,32,20,晴,南风,微风,26.0,12
2019-09-04,32,20,多云,西北风,1级,26.0,12
2019-09-05,33,21,多云,北风,微风,27.0,12
2019-09-05,33,21,多云,西北风,2级,27.0,12
2019-09-06,34,23,晴,东南风,1级,28.5,11
2019-09-06,34,23,多云,西北风,2级,28.5,11
2019-09-07,36,26,晴,东南风,1级,31.0,10
2019-09-07,36,25,晴,西南风,3级,30.5,11
2019-09-08,35,25,阴,南风,微风,30.0,10
2019-09-08,36,25,晴,东南风,1级,30.5,11
2019-09-09,30,24,阴,东北风,2级,27.0,6
2019-09-09,34,24,阵雨,东北风,2级,29.0,10
2019-09-10,34,24,阴,南风,微风,29.0,10
2019-09-10,32,24,阵雨,南风,微风,28.0,8
2019-09-11,35,24,多云,东北风,2级,29.5,11
2019-09-11,33,24,阵雨,东南风,3级,28.5,9
2019-09-12,37,24,多云,东南风,1级,30.5,13
2019-09-12,36,25,多云,西南风,1级,30.5,11
2019-09-13,37,24,多云,南风,微风,30.5,13
2019-09-13,36,23,多云,西南风,1级,29.5,13
2019-09-14,33,25,多云,东北风,3级,29.0,8
2019-09-14,33,23,多云,东北风,3级,28.0,10
2019-09-15,29,22,多云,东南风,2级,25.5,7
2019-09-15,34,24,多云,东北风,3级,29.0,10
2019-09-16,31,22,多云,东北风,3级,26.5,9
2019-09-16,31,22,多云,东北风,1级,26.5,9
2019-09-17,30,21,阴,东北风,3级,25.5,9
2019-09-17,30,21,多云,东北风,3级,25.5,9
2019-09-18,26,19,阴,东北风,2级,22.5,7
2019-09-18,26,19,阴,东北风,1级,22.5,7
2019-09-19,26,19,阴,北风,微风,22.5,7
2019-09-19,25,19,阴,东北风,1级,22.0,6
2019-09-20,28,20,阴,东北风,1级,24.0,8
2019-09-20,29,20,多云,西北风,2级,24.5,9
2019-09-21,28,18,多云,南风,微风,23.0,10
2019-09-21,28,18,多云,东北风,2级,23.0,10
2019-09-22,29,16,多云,东南风,1级,22.5,13
2019-09-22,29,17,多云,东北风,3级,23.0,12
2019-09-23,30,15,晴,东南风,2级,22.5,15
2019-09-23,29,15,晴,东北风,3级,22.0,14
2019-09-24,31,17,阴,东南风,1级,24.0,14
2019-09-24,29,15,多云,东北风,2级,22.0,14
2019-09-25,31,18,阴,东南风,1级,24.5,13
2019-09-25,27,20,阴,西北风,3级,23.5,7
2019-09-26,32,18,阴,东南风,1级,25.0,14
2019-09-26,31,18,多云,东南风,2级,24.5,13
2019-09-27,32,18,晴,东南风,1级,25.0,14
2019-09-27,31,18,晴,东北风,2级,24.5,13
2019-09-28,33,17,晴,南风,微风,25.0,16
2019-09-28,33,18,晴,西南风,2级,25.5,15
2019-09-29,34,18,晴,东南风,2级,26.0,16
2019-09-29,33,17,晴,东北风,3级,25.0,16
2019-09-30,34,17,晴,东南风,1级,25.5,17
2019-09-30,34,18,晴,西南风,2级,26.0,16
2019-08-01,36,25,小雨,东北风,2级,30.5,11
2019-08-01,35,26,多云,西北风,3级,30.5,9
2019-08-02,32,25,多云,东北风,2级,28.5,7
2019-08-02,33,24,阵雨,东南风,2级,28.5,9
2019-08-03,34,25,中雨,东北风,微风,29.5,9
2019-08-03,34,25,多云,西北风,2级,29.5,9
2019-08-04,34,24,阴,北风,微风,29.0,10
2019-08-04,33,25,多云,东北风,3级,29.0,8
2019-08-05,36,25,多云,东南风,1级,30.5,11
2019-08-05,34,25,阵雨,西北风,2级,29.5,9
2019-08-06,35,25,多云,东北风,1级,30.0,10
2019-08-06,35,25,多云,东南风,2级,30.0,10
2019-08-07,33,25,阴,南风,微风,29.0,8
2019-08-07,34,24,阵雨,西北风,1级,29.0,10
2019-08-08,33,25,阴,北风,微风,29.0,8
2019-08-08,33,25,阵雨,东南风,1级,29.0,8
2019-08-09,34,25,阴,东南风,2级,29.5,9
2019-08-09,35,25,多云,东北风,3级,30.0,10
2019-08-10,31,25,小雨,东南风,2级,28.0,6
2019-08-10,34,25,阵雨,西北风,2级,29.5,9
2019-08-11,36,25,多云,东南风,2级,30.5,11
2019-08-11,36,25,多云,西北风,2级,30.5,11
2019-08-12,37,25,晴,东南风,2级,31.0,12
2019-08-12,37,25,多云,西南风,3级,31.0,12
2019-08-13,36,25,小雨,北风,微风,30.5,11
2019-08-13,37,25,多云,西北风,2级,31.0,12
2019-08-14,35,25,晴,东南风,2级,30.0,10
2019-08-14,37,25,晴,东北风,2级,31.0,12
2019-08-15,35,25,多云,东南风,2级,30.0,10
2019-08-15,37,25,多云,东北风,2级,31.0,12
2019-08-16,37,25,多云,东南风,2级,31.0,12
2019-08-16,37,25,多云,东南风,2级,31.0,12
2019-08-17,37,26,晴,东北风,2级,31.5,11
2019-08-17,38,25,晴,西北风,2级,31.5,13
2019-08-18,36,26,晴,东南风,2级,31.0,10
2019-08-18,37,26,晴,东北风,2级,31.5,11
2019-08-19,36,25,阴,东南风,1级,30.5,11
2019-08-19,37,26,多云,东北风,1级,31.5,11
2019-08-20,37,26,晴,东南风,1级,31.5,11
2019-08-20,37,25,晴,东北风,1级,31.0,12
2019-08-21,36,24,多云,东南风,1级,30.0,12
2019-08-21,37,25,晴,西南风,3级,31.0,12
2019-08-22,37,25,晴,西南风,3级,31.0,12
2019-08-22,37,25,晴,东北风,3级,31.0,12
2019-08-23,35,24,晴,东南风,2级,29.5,11
2019-08-23,37,25,晴,东北风,2级,31.0,12
2019-08-24,36,24,晴,东南风,1级,30.0,12
2019-08-24,36,25,晴,西北风,2级,30.5,11
2019-08-25,35,24,多云,东北风,2级,29.5,11
2019-08-25,35,25,多云,东北风,3级,30.0,10
2019-08-26,28,24,小雨,东南风,2级,26.0,4
2019-08-26,32,24,中雨,东北风,3级,28.0,8
2019-08-27,32,25,小雨,北风,微风,28.5,7
2019-08-27,33,25,阵雨,西南风,2级,29.0,8
2019-08-28,34,22,阴,东北风,3级,28.0,12
2019-08-28,34,23,阵雨,西北风,2级,28.5,11
2019-08-29,23,22,小雨,西北风,1级,22.5,1
2019-08-29,27,22,小雨,东北风,2级,24.5,5
2019-08-30,26,22,阴,西北风,1级,24.0,4
2019-08-30,28,21,阴,东北风,2级,24.5,7
2019-08-31,30,21,阴,东北风,2级,25.5,9
2019-08-31,31,22,多云,东北风,2级,26.5,9
2019-07-01,28,23,多云,东北风,1级,25.5,5
2019-07-01,32,23,多云,西北风,2级,27.5,9
2019-07-02,32,23,多云,东北风,1级,27.5,9
2019-07-02,32,23,多云,西北风,3级,27.5,9
2019-07-03,33,23,多云,东北风,2级,28.0,10
2019-07-03,33,23,多云,东北风,2级,28.0,10
2019-07-04,26,24,小雨,北风,微风,25.0,2
2019-07-04,30,24,阵雨,西南风,1级,27.0,6
2019-07-05,28,24,小雨,西南风,2级,26.0,4
2019-07-05,27,24,小雨,西南风,4级,25.5,3
2019-07-06,32,23,雾,西南风,3级,27.5,9
2019-07-06,29,24,小雨,西南风,2级,26.5,5
2019-07-07,26,21,大雨,东北风,2级,23.5,5
2019-07-07,26,21,大雨,西南风,1级,23.5,5
2019-07-08,23,19,小雨,西北风,2级,21.0,4
2019-07-08,25,20,暴雨,西北风,2级,22.5,5
2019-07-09,24,20,小雨,东南风,1级,22.0,4
