日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,23,阴,东南风,1级,26.0,6
2019-09-02,28,24,阴,西北风,微风,26.0,4
2019-09-03,29,24,小雨,西北风,1级,26.5,5
2019-09-04,32,24,阴,东北风,2级,28.0,8
2019-09-05,30,24,阴,北风,微风,27.0,6
2019-09-06,33,23,多云,北风,微风,28.0,10
2019-09-07,34,24,阴,东北风,3级,29.0,10
2019-09-08,32,23,阴,西南风,1级,27.5,9
2019-09-09,32,25,晴,东南风,1级,28.5,7
2019-09-10,33,24,阴,西北风,1级,28.5,9
2019-09-11,34,25,晴,东北风,1级,29.5,9
2019-09-12,33,25,多云,东南风,2级,29.0,8
2019-09-13,33,24,多云,东南风,2级,28.5,9
2019-09-14,34,23,多云,西南风,1级,28.5,11
2019-09-15,32,24,晴,西南风,1级,28.0,8
2019-09-16,34,23,晴,西北风,1级,28.5,11
2019-09-17,33,22,晴,东北风,2级,27.5,11
2019-09-18,32,22,晴,西北风,2级,27.0,10
2019-09-19,31,20,阴,东北风,2级,25.5,11
2019-09-20,31,20,晴,西北风,2级,25.5,11
2019-09-21,25,23,阴,西北风,1级,24.0,2
2019-09-22,27,20,多云,西南风,微风,23.5,7
2019-09-23,30,18,多云,南风,微风,24.0,12
2019-09-24,29,19,晴,西南风,1级,24.0,10
2019-09-25,29,19,晴,西南风,微风,24.0,10
2019-09-26,29,19,晴,东北风,微风,24.0,10
2019-09-27,29,20,多云,东南风,微风,24.5,9
2019-09-28,30,21,多云,西南风,1级,25.5,9
2019-09-29,33,23,多云,西北风,微风,28.0,10
2019-09-30,28,23,阴,西北风,1级,25.5,5
2019-08-01,33,26,中雨,东南风,2级,29.5,7
2019-08-02,34,26,阴,东北风,1级,30.0,8
2019-08-03,32,26,小雨,西北风,1级,29.0,6
2019-08-04,33,25,阴,东南风,2级,29.0,8
2019-08-05,33,25,阴,东南风,2级,29.0,8
2019-08-06,34,25,阴,东南风,3级,29.5,9
2019-08-07,34,26,多云,东南风,2级,30.0,8
2019-08-08,33,27,小雨,东北风,2级,30.0,6
2019-08-09,27,26,暴雨,西北风,4级,26.5,1
2019-08-10,28,25,小雨,东北风,1级,26.5,3
2019-08-11,38,26,多云,南风,微风,32.0,12
2019-08-12,37,25,多云,东南风,2级,31.0,12
2019-08-13,35,25,阴,西北风,1级,30.0,10
2019-08-14,36,25,多云,东北风,2级,30.5,11
2019-08-15,36,26,阴,西北风,1级,31.0,10
2019-08-16,34,25,多云,西南风,1级,29.5,9
2019-08-17,35,25,多云,东北风,2级,30.0,10
2019-08-18,35,25,晴,东北风,2级,30.0,10
2019-08-19,34,24,多云,东北风,2级,29.0,10
2019-08-20,33,24,多云,东北风,1级,28.5,9
2019-08-21,34,25,多云,西南风,1级,29.5,9
2019-08-22,31,26,小雨,西北风,1级,28.5,5
2019-08-23,35,26,小雨,西南风,1级,30.5,9
2019-08-24,32,26,多云,西北风,1级,29.0,6
2019-08-25,31,26,小雨,东南风,1级,28.5,5
2019-08-26,34,26,多云,西北风,1级,30.0,8
2019-08-27,34,25,多云,东南风,2级,29.5,9
2019-08-28,34,26,多云,东南风,2级,30.0,8
2019-08-29,34,23,阴,西北风,2级,28.5,11
2019-08-30,29,25,多云,南风,微风,27.0,4
2019-08-31,27,25,阴,东北风,1级,26.0,2
2019-07-01,34,25,阴,东北风,3级,29.5,9
2019-07-02,32,26,小雨,西北风,1级,29.0,6
2019-07-03,30,25,中雨,东北风,2级,27.5,5
2019-07-04,28,24,小雨,东南风,2级,26.0,4
2019-07-05,29,25,小雨,东北风,1级,27.0,4
2019-07-06,29,24,小雨,东北风,2级,26.5,5
2019-07-07,32,25,小雨,东北风,1级,28.5,7
2019-07-08,25,23,小雨,东南风,1级,24.0,2
2019-07-09,26,23,中雨,东北风,1级,24.5,3
2019-07-10,25,22,中雨,东南风,2级,23.5,3
2019-07-11,28,23,阴,东南风,1级,25.5,5
2019-07-12,31,25,阴,东南风,2级,28.0,6
2019-07-13,34,23,阴,南风,1级,28.5,11
2019-07-14,29,24,阴,东南风,1级,26.5,5
2019-07-15,28,25,阴,西南风,1级,26.5,3
2019-07-16,30,24,阴,东南风,1级,27.0,6
2019-07-17,33,26,阴,西北风,1级,29.5,7
2019-07-18,32,24,小雨,西北风,1级,28.0,8
2019-07-19,34,25,多云,东南风,微风,29.5,9
2019-07-20,35,26,阴,北风,微风,30.5,9
2019-07-21,33,26,阴,东北风,1级,29.5,7
2019-07-22,32,25,小雨,西南风,1级,28.5,7
2019-07-23,33,26,阴,东北风,1级,29.5,7
2019-07-24,33,26,阴,西北风,微风,29.5,7
2019-07-25,37,27,阴,东北风,2级,32.0,10
2019-07-26,37,27,阴,东北风,2级,32.0,10
2019-07-27,34,26,阴,西北风,微风,30.0,8
2019-07-28,34,25,阴,东北风,1级,29.5,9
2019-07-29,34,26,多云,东北风,1级,30.0,8
2019-07-30,35,26,阴,西南风,1级,30.5,9
2019-07-31,33,25,阴,东南风,1级,29.0,8
2019-06-01,21,18,阴,西北风,1级,19.5,3
2019-06-02,23,19,阴,东南风,1级,21.0,4
2019-06-03,25,21,阴,东南风,1级,23.0,4
2019-06-04,33,23,多云,东南风,1级,28.0,10
2019-06-05,32,24,晴,东南风,2级,28.0,8
2019-06-06,32,24,阴,东北风,1级,28.0,8
2019-06-07,24,21,阴,东南风,3级,22.5,3
2019-06-08,25,22,阴,西南风,1级,23.5,3
2019-06-09,30,22,阴,北风,微风,26.0,8
2019-06-10,29,21,多云,东南风,微风,25.0,8
2019-06-11,27,21,阴,东南风,2级,24.0,6
2019-06-12,25,21,小雨,东南风,1级,23.0,4
2019-06-13,20,20,暴雨,东北风,2级,20.0,0
2019-06-14,25,18,阴,西南风,微风,21.5,7
2019-06-15,29,18,阴,东北风,1级,23.5,11
2019-06-16,31,21,阴,东北风,1级,26.0,10
2019-06-17,26,23,小雨,西北风,1级,24.5,3
2019-06-18,29,23,阴,东南风,微风,26.0,6
