日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,23,14,阴,东北风,2级,18.5,9
2019-09-02,22,14,阴,东北风,2级,18.0,8
2019-09-03,23,15,阵雨,南风,2级,19.0,8
2019-09-04,23,17,阴,西南风,1级,20.0,6
2019-09-05,23,17,阴,东北风,1级,20.0,6
2019-09-06,23,18,阴,东南风,2级,20.5,5
2019-09-07,27,17,阴,西南风,1级,22.0,10
2019-09-08,23,18,阴,东南风,1级,20.5,5
2019-09-09,23,18,阴,西南风,1级,20.5,5
2019-09-10,24,18,阴,东北风,2级,21.0,6
2019-09-11,24,16,阴,东南风,2级,20.0,8
2019-09-12,24,17,阴,西南风,2级,20.5,7
2019-09-13,28,17,阴,东南风,3级,22.5,11
2019-09-14,28,15,多云,东南风,3级,21.5,13
2019-09-15,28,15,多云,东北风,1级,21.5,13
2019-09-16,27,15,多云,西南风,2级,21.0,12
2019-09-17,27,14,阴,东北风,2级,20.5,13
2019-09-18,24,15,阵雨,东南风,2级,19.5,9
2019-09-19,25,14,阴,东南风,3级,19.5,11
2019-09-20,17,11,阴,东北风,3级,14.0,6
2019-09-21,17,8,阴,西南风,2级,12.5,9
2019-09-22,22,9,晴,东南风,2级,15.5,13
2019-09-23,21,11,多云,西南风,2级,16.0,10
2019-09-24,19,12,阴,东南风,2级,15.5,7
2019-09-25,16,11,阴,东南风,1级,13.5,5
2019-09-26,23,12,多云,东南风,3级,17.5,11
2019-09-27,21,11,多云,北风,4级,16.0,10
2019-09-28,23,12,晴,西南风,1级,17.5,11
2019-09-29,25,14,多云,东南风,2级,19.5,11
2019-09-30,25,14,多云,东南风,3级,19.5,11
2019-08-01,28,16,阴,东南风,2级,22.0,12
2019-08-02,27,16,阴,东北风,2级,21.5,11
2019-08-03,26,16,阴,东南风,2级,21.0,10
2019-08-04,25,17,小雨,东北风,1级,21.0,8
2019-08-05,25,17,小雨,西南风,1级,21.0,8
2019-08-06,25,17,小雨,西南风,2级,21.0,8
2019-08-07,24,16,大雨,东北风,1级,20.0,8
2019-08-08,29,16,阴,东南风,2级,22.5,13
2019-08-09,27,17,阴,西北风,2级,22.0,10
2019-08-10,27,14,小雨,西南风,1级,20.5,13
