日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,23,20,阴,东北风,1级,21.5,3
2019-09-02,24,21,阴,西南风,1级,22.5,3
2019-09-03,24,19,雷阵雨,西南风,1级,21.5,5
2019-09-04,29,21,阴,东南风,微风,25.0,8
2019-09-05,32,22,阴,东南风,1级,27.0,10
2019-09-06,31,20,多云,西南风,1级,25.5,11
2019-09-07,32,19,晴,西北风,2级,25.5,13
2019-09-08,33,18,晴,北风,微风,25.5,15
2019-09-09,32,20,晴,西北风,1级,26.0,12
2019-09-10,33,21,晴,西南风,1级,27.0,12
2019-09-11,34,22,晴,西北风,2级,28.0,12
2019-09-12,35,22,多云,西北风,1级,28.5,13
2019-09-13,35,22,多云,东北风,2级,28.5,13
2019-09-14,33,20,晴,东北风,1级,26.5,13
2019-09-15,33,20,阴,东北风,2级,26.5,13
2019-09-16,30,18,晴,东南风,1级,24.0,12
2019-09-17,30,18,晴,东北风,3级,24.0,12
2019-09-18,27,17,多云,东北风,2级,22.0,10
2019-09-19,29,14,多云,东北风,3级,21.5,15
2019-09-20,29,16,多云,东北风,4级,22.5,13
2019-09-21,26,16,多云,西北风,1级,21.0,10
2019-09-22,27,14,阴,西北风,1级,20.5,13
2019-09-23,29,12,晴,西北风,1级,20.5,17
2019-09-24,29,15,多云,西南风,微风,22.0,14
2019-09-25,29,17,多云,东南风,1级,23.0,12
2019-09-26,26,16,阴,西北风,1级,21.0,10
2019-09-27,30,16,多云,东北风,1级,23.0,14
2019-09-28,31,16,晴,西北风,2级,23.5,15
2019-09-29,32,17,晴,北风,微风,24.5,15
2019-09-30,33,18,晴,西北风,1级,25.5,15
2019-08-01,36,24,多云,东北风,1级,30.0,12
2019-08-02,36,23,小雨,东北风,1级,29.5,13
2019-08-03,34,23,阴,西南风,1级,28.5,11
2019-08-04,33,23,小雨,西北风,1级,28.0,10
2019-08-05,34,24,多云,西南风,1级,29.0,10
2019-08-06,35,24,多云,西北风,1级,29.5,11
2019-08-07,35,23,多云,东北风,2级,29.0,12
