日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,25,阴,东北风,2级,28.0,6
2019-09-02,29,25,阴,东北风,1级,27.0,4
2019-09-03,31,26,阵雨,东南风,3级,28.5,5
2019-09-04,29,26,阴,东北风,2级,27.5,3
2019-09-05,30,26,阴,东北风,1级,28.0,4
2019-09-06,33,26,多云,东北风,2级,29.5,7
2019-09-07,35,27,多云,西南风,1级,31.0,8
2019-09-08,34,28,晴,西南风,1级,31.0,6
2019-09-09,32,27,阴,东南风,1级,29.5,5
2019-09-10,33,27,多云,东南风,1级,30.0,6
2019-09-11,33,28,多云,东南风,2级,30.5,5
2019-09-12,34,27,多云,南风,2级,30.5,7
2019-09-13,32,28,多云,东南风,2级,30.0,4
2019-09-14,32,28,阴,东北风,1级,30.0,4
2019-09-15,32,26,多云,东南风,2级,29.0,6
2019-09-16,31,27,阴,东北风,1级,29.0,4
2019-09-17,31,26,阴,西北风,1级,28.5,5
2019-09-18,33,26,多云,东南风,2级,29.5,7
2019-09-19,32,26,多云,西南风,2级,29.0,6
2019-09-20,31,25,多云,东北风,3级,28.0,6
2019-09-21,30,24,晴,东北风,3级,27.0,6
2019-09-22,29,24,晴,东北风,2级,26.5,5
2019-09-23,30,24,多云,东北风,2级,27.0,6
2019-09-24,31,24,多云,东北风,1级,27.5,7
2019-09-25,30,25,晴,东南风,1级,27.5,5
2019-09-26,30,24,多云,东北风,2级,27.0,6
2019-09-27,31,24,多云,西南风,2级,27.5,7
2019-09-28,32,24,多云,西南风,1级,28.0,8
2019-09-29,32,25,多云,西南风,1级,28.5,7
2019-09-30,33,26,多云,西南风,1级,29.5,7
2019-08-01,26,25,暴雨,东南风,4级,25.5,1
2019-08-02,29,26,中雨,东北风,3级,27.5,3
2019-08-03,28,25,中雨,东南风,2级,26.5,3
2019-08-04,31,27,阴,东南风,1级,29.0,4
2019-08-05,33,26,多云,东南风,2级,29.5,7
2019-08-06,31,27,小雨,东南风,1级,29.0,4
2019-08-07,33,28,多云,东南风,2级,30.5,5
2019-08-08,35,28,阴,西南风,4级,31.5,7
2019-08-09,36,27,多云,西南风,3级,31.5,9
2019-08-10,32,28,多云,西南风,4级,30.0,4
2019-08-11,32,28,阴,西南风,3级,30.0,4
2019-08-12,32,28,阴,西南风,3级,30.0,4
2019-08-13,32,28,阴,西南风,2级,30.0,4
2019-08-14,34,28,多云,西南风,2级,31.0,6
2019-08-15,32,27,多云,西南风,3级,29.5,5
2019-08-16,31,26,多云,西北风,1级,28.5,5
2019-08-17,31,26,小雨,西南风,2级,28.5,5
2019-08-18,31,27,中雨,东北风,1级,29.0,4
2019-08-19,32,26,小雨,东北风,1级,29.0,6
2019-08-20,32,27,多云,南风,1级,29.5,5
2019-08-21,32,27,多云,西南风,2级,29.5,5
2019-08-22,33,28,多云,东南风,1级,30.5,5
2019-08-23,30,28,暴雨,西南风,1级,29.0,2
2019-08-24,35,26,多云,西北风,2级,30.5,9
2019-08-25,30,25,中雨,西南风,3级,27.5,5
2019-08-26,29,26,大雨,东北风,2级,27.5,3
2019-08-27,32,27,小雨,东北风,1级,29.5,5
2019-08-28,34,26,阴,东南风,2级,30.0,8
2019-08-29,32,26,阴,东北风,2级,29.0,6
2019-08-30,29,26,阴,东南风,2级,27.5,3
2019-08-31,31,26,阴,东北风,1级,28.5,5
2019-07-01,34,27,阴,东北风,2级,30.5,7
2019-07-02,32,26,阴,东北风,2级,29.0,6
2019-07-03,29,25,中雨,东北风,2级,27.0,4
2019-07-04,31,27,小雨,东南风,2级,29.0,4
2019-07-05,31,27,小雨,西南风,3级,29.0,4
2019-07-06,31,27,小雨,东南风,2级,29.0,4
2019-07-07,32,27,多云,西南风,2级,29.5,5
2019-07-08,31,28,阴,西南风,3级,29.5,3
2019-07-09,30,27,阴,西南风,4级,28.5,3
2019-07-10,29,26,暴雨,东南风,1级,27.5,3
2019-07-11,30,27,阴,西南风,微风,28.5,3
2019-07-12,32,28,阴,西南风,4级,30.0,4
2019-07-13,31,28,阴,西南风,3级,29.5,3
2019-07-14,31,28,小雨,西南风,3级,29.5,3
2019-07-15,33,28,多云,东南风,2级,30.5,5
2019-07-16,33,28,阴,西北风,1级,30.5,5
2019-07-17,34,29,多云,西北风,2级,31.5,5
2019-07-18,35,28,阴,东南风,1级,31.5,7
2019-07-19,33,28,小雨,东北风,1级,30.5,5
2019-07-20,30,27,中雨,东北风,1级,28.5,3
2019-07-21,31,27,小雨,西南风,1级,29.0,4
2019-07-22,30,27,小雨,西北风,1级,28.5,3
2019-07-23,33,27,阴,东南风,1级,30.0,6
2019-07-24,33,27,阴,西南风,1级,30.0,6
2019-07-25,32,28,小雨,西南风,2级,30.0,4
2019-07-26,32,28,多云,西南风,3级,30.0,4
2019-07-27,33,27,阴,西南风,2级,30.0,6
2019-07-28,32,26,小雨,东北风,2级,29.0,6
2019-07-29,32,27,阴,东北风,2级,29.5,5
2019-07-30,31,25,小雨,东北风,2级,28.0,6
2019-07-31,28,25,大雨,东南风,2级,26.5,3
2019-06-01,29,25,阴,西南风,3级,27.0,4
2019-06-02,30,25,阴,西北风,1级,27.5,5
2019-06-03,29,25,阴,西北风,1级,27.0,4
2019-06-04,31,26,阴,东北风,1级,28.5,5
2019-06-05,32,26,阴,东南风,1级,29.0,6
2019-06-06,32,28,阴,东南风,2级,30.0,4
2019-06-07,31,27,阴,西南风,3级,29.0,4
2019-06-08,31,27,阴,西南风,3级,29.0,4
2019-06-09,31,28,阴,西南风,4级,29.5,3
2019-06-10,30,27,阴,东南风,2级,28.5,3
2019-06-11,28,25,阴,东南风,1级,26.5,3
2019-06-12,30,24,雷阵雨,东北风,2级,27.0,6
2019-06-13,30,25,中雨,西南风,2级,27.5,5
2019-06-14,32,26,阴,西北风,1级,29.0,6
2019-06-15,33,26,多云,东风,2级,29.5,7
2019-06-16,30,25,阴,东北风,4级,27.5,5
2019-06-17,31,26,雷阵雨,东北风,1级,28.5,5
2019-06-18,31,27,中雨,东南风,1级,29.0,4
2019-06-19,30,27,阴,西南风,2级,28.5,3
2019-06-20,31,27,多云,西南风,3级,29.0,4
2019-06-21,31,28,阴,西南风,4级,29.5,3
2019-06-22,31,28,阴,西南风,3级,29.5,3
2019-06-23,30,26,阴,东南风,1级,28.0,4
2019-06-24,30,28,小雨,西北风,1级,29.0,2
2019-06-25,30,27,小雨,东北风,1级,28.5,3
2019-06-26,31,27,阵雨,西南风,1级,29.0,4
2019-06-27,32,27,多云,东南风,2级,29.5,5
2019-06-28,32,29,多云,东南风,2级,30.5,3
2019-06-29,33,28,阴,西南风,2级,30.5,5
2019-06-30,33,27,阴,东南风,1级,30.0,6
2019-05-01,26,22,阴,东北风,3级,24.0,4
2019-05-02,24,21,阴,东北风,2级,22.5,3
2019-05-03,23,21,阴,东南风,2级,22.0,2
2019-05-04,23,20,阴,东北风,2级,21.5,3
2019-05-05,22,20,阴,东南风,3级,21.0,2
2019-05-06,23,20,阴,东北风,2级,21.5,3
2019-05-07,21,19,阴,东南风,2级,20.0,2
2019-05-08,22,19,阴,东北风,3级,20.5,3
2019-05-09,26,22,阴,西北风,1级,24.0,4
2019-05-10,26,23,多云,东南风,1级,24.5,3
2019-05-11,29,23,多云,东北风,2级,26.0,6
2019-05-12,30,23,多云,东北风,1级,26.5,7
2019-05-13,30,25,多云,东南风,2级,27.5,5
2019-05-14,30,25,阴,东南风,2级,27.5,5
2019-05-15,31,26,多云,东南风,2级,28.5,5
2019-05-16,31,27,阴,西南风,3级,29.0,4
2019-05-17,30,27,阴,西南风,4级,28.5,3
2019-05-18,31,28,阴,西南风,2级,29.5,3
2019-05-19,32,26,阴,西南风,2级,29.0,6
2019-05-20,30,25,阴,东北风,1级,27.5,5
2019-05-21,27,24,阴,东南风,2级,25.5,3
2019-05-22,30,23,阴,东南风,2级,26.5,7
2019-05-23,28,25,阴,东北风,3级,26.5,3
2019-05-24,28,25,阴,东南风,2级,26.5,3
2019-05-25,29,25,阴,东北风,1级,27.0,4
2019-05-26,28,24,阴,东北风,1级,26.0,4
2019-05-27,26,24,阴,东北风,1级,25.0,2
2019-05-28,27,24,阴,西南风,1级,25.5,3
2019-05-29,26,24,阴,东北风,3级,25.0,2
2019-05-30,26,24,阴,东北风,2级,25.0,2
2019-05-31,27,25,阴,东南风,1级,26.0,2
2019-04-01,22,19,阴,东北风,4级,20.5,3
2019-04-02,25,20,多云,东南风,2级,22.5,5
2019-04-03,28,21,多云,东北风,2级,24.5,7
2019-04-04,24,20,阴,东北风,1级,22.0,4
2019-04-05,28,21,多云,西北风,1级,24.5,7
2019-04-06,28,22,多云,西南风,1级,25.0,6
2019-04-07,27,23,多云,西南风,1级,25.0,4
2019-04-08,29,24,阴,东南风,3级,26.5,5
2019-04-09,29,24,多云,东南风,2级,26.5,5
2019-04-10,29,25,多云,西南风,1级,27.0,4
2019-04-11,29,22,多云,东南风,2级,25.5,7
2019-04-12,21,19,阴,东北风,3级,20.0,2
2019-04-13,22,20,阴,东北风,3级,21.0,2
2019-04-14,26,21,阴,东北风,1级,23.5,5
2019-04-15,24,21,阴,东北风,3级,22.5,3
2019-04-16,23,20,阴,东北风,1级,21.5,3
2019-04-17,26,22,多云,东南风,2级,24.0,4
2019-04-18,25,22,阴,东北风,1级,23.5,3
2019-04-19,29,24,阴,东北风,2级,26.5,5
2019-04-20,25,22,阴,东北风,1级,23.5,3
2019-04-21,29,25,阴,东南风,2级,27.0,4
2019-04-22,30,26,阴,东南风,2级,28.0,4
2019-04-23,30,25,多云,西南风,3级,27.5,5
2019-04-24,30,25,多云,东南风,1级,27.5,5
2019-04-25,30,25,多云,西南风,2级,27.5,5
2019-04-26,30,24,阴,东南风,2级,27.0,6
2019-04-27,28,23,阴,东北风,2级,25.5,5
2019-04-28,28,24,多云,东北风,2级,26.0,4
2019-04-29,30,25,多云,西南风,2级,27.5,5
2019-04-30,28,23,阴,西南风,1级,25.5,5
2019-03-01,24,20,阴,东北风,2级,22.0,4
2019-03-02,25,20,阴,东北风,2级,22.5,5
2019-03-03,24,15,阴,东北风,2级,19.5,9
2019-03-04,24,15,阴,东北风,1级,19.5,9
2019-03-05,26,17,阴,东南风,1级,21.5,9
2019-03-06,22,15,阴,东北风,2级,18.5,7
2019-03-07,16,14,阴,西北风,1级,15.0,2
2019-03-08,17,15,阴,东南风,3级,16.0,2
2019-03-09,18,15,阴,东南风,1级,16.5,3
2019-03-10,16,15,阴,东北风,2级,15.5,1
2019-03-11,22,16,多云,东南风,1级,19.0,6
2019-03-12,24,17,晴,东北风,2级,20.5,7
2019-03-13,25,18,阴,东南风,3级,21.5,7
2019-03-14,21,17,阴,东北风,3级,19.0,4
