城市,纬度,经度,聚类
阿巴嘎,44.58415018,119.7129779,1
阿坝,31.90551158,102.2314155,2
阿城,45.5542753,126.9643565,0
阿尔山,47.18305415,119.9506532,1
阿合奇,40.94295822,78.45253928,1
阿克塞,39.64004532,94.34676019,1
阿克苏,41.17502986,80.26694348,1
阿克陶,39.15388852,75.95372527,1
阿拉尔,40.55326389,81.28735423,1
阿拉山口,45.01109187,83.00750364,1
阿拉善右旗,39.22224097,101.6734639,1
阿拉善左旗,38.83909414,105.6725987,1
阿勒泰,47.85072787,88.1479262,1
阿里,32.50686602,80.11277692,2
阿旗,31.82240626,117.2083399,3
阿荣旗,48.13197125,123.46544,0
阿图什,39.72207913,76.17490641,1
阿瓦提,40.6493588,80.38184925,1
爱民,44.60235034,129.5983637,0
安达,46.42571923,125.3486223,0
安定,23.1036846,120.2402305,3
安多,32.27126802,91.68889068,2
安福,27.39907648,114.6264781,3
安国,38.42482832,115.333408,0
安化,28.38005375,111.2194927,3
安吉,30.64442479,119.6865634,3
安康,32.69051277,109.0356011,3
安龙,25.10399043,105.4495427,3
安陆,31.26141499,113.6955829,3
安宁,36.10975375,103.725535,1
安平,22.99280496,120.1748534,3
安庆,30.53095657,117.0636039,3
安丘,36.4838422,119.2256075,0
安仁,26.71568279,113.2754236,3
安塞,36.87009826,109.3354194,0
安顺,26.25925238,105.9544171,3
安图,43.11791695,128.9054485,0
安溪,25.06175955,118.1924254,3
安县,31.54075053,104.573555,3
安乡,29.41732043,112.1775062,3
安新,38.9417343,115.9424263,0
安阳,36.10594098,114.3995004,0
安义,28.85079427,115.5554415,3
安源,27.6213077,113.8774399,3
安远,25.14274343,115.4005591,3
安岳,30.10339273,105.3424542,3
安泽,36.15351438,112.2566128,0
鞍山,41.1150536,123.0013725,0
鞍山铁西,41.12547526,122.9754903,0
昂昂溪,47.16133224,123.8294063,0
昂仁,29.30106048,87.24242734,2
八步,24.41753104,111.5585674,3
八公山,32.63713732,116.8405643,3
八里罕,41.55444918,118.7666915,1
八宿,30.05902899,96.92436045,2
巴楚,39.79078838,78.5557014,1
巴东,31.04806425,110.3475753,3
巴里坤,43.7882287,87.64994364,1
巴林右旗,43.54013155,118.6703943,1
巴林左旗,43.97638259,119.3864433,1
巴仑台,42.75933446,86.31989004,1
巴马,24.1472648,107.2664813,3
巴南,29.40847474,106.5474543,3
巴青,31.92454942,94.05988156,2
巴塘,30.01166171,99.1167267,2
巴彦,46.09128266,127.410548,0
巴彦淖尔,40.74935949,107.3943981,1
巴音布鲁克,43.03379595,84.14074577,1
巴中,31.87288859,106.7515853,3
巴州,31.8576856,106.7755131,3
鲅鱼圈,40.23233985,122.1275735,0
霸州,39.1309206,116.3983973,0
灞桥,34.27912767,109.0714154,0
白城,45.62550436,122.8455906,0
白河,23.35498633,120.4683017,3
白碱滩,45.69395163,85.13951012,1
白朗,29.11185895,89.26874199,2
白山,41.93962721,126.4296301,0
白水,35.18328751,109.5975206,0
白塔,41.27604732,123.1811567,0
白下,27.63145765,115.068486,3
白杨沟,30.32500465,104.72408,3
白银,36.55082533,104.1444508,1
白玉,31.21531445,98.83110022,2
白云,26.6835885,106.6295968,3
白云鄂博,41.78248949,109.9840285,1
百色,23.90818593,106.6245893,3
柏乡,37.48875873,114.6994974,0
拜城,41.8007066,81.85851627,1
拜泉,47.6018673,126.1054215,0
班戈,31.39872762,90.01670773,2
班玛,32.93850393,100.7436046,2
蚌埠,32.9215237,117.3955133,3
蚌山,32.92337877,117.3794412,3
包河,31.79929347,117.3165763,3
包头,40.66292879,109.8465435,1
宝坻,39.72319448,117.3166007,0
宝丰,33.8747456,113.0614472,0
宝国吐,31.22707987,121.476206,3
宝鸡,34.36891564,107.2445754,0
宝清,46.33265182,132.2035941,0
宝山,31.41027947,121.496563,3
宝塔,36.59689044,109.499594,0
宝兴,30.37408211,102.8214842,2
宝应,33.24720546,119.3655557,0
保德,39.02833693,111.0925418,1
保定,38.87998777,115.4714638,0
保靖,28.70596887,109.6664736,3
保康,31.88384715,111.2674412,3
保山,25.13903879,99.17727329,3
碑林,34.23647394,108.9404977,0
北安,48.24741953,126.4973797,0
北碚,29.81115651,106.4022812,3
北辰,39.23034391,117.1414027,0
北川,31.9630841,104.3615856,3
北戴河,39.84100567,119.4915261,0
北关,36.11313161,114.3623819,0
北海,21.4868365,109.1265332,3
北湖,25.79053726,113.0174101,3
北京,39.91092455,116.4133837,0
北林区,46.64349267,126.9914489,0
北流,22.71395802,110.3605702,3
北仑,29.90465936,121.8505762,3
北票,41.80648257,120.7776277,0
北市,23.01344702,120.2161811,3
